Time,aX,aY,aZ,gX,gY,gZ
193306,-0.575,0.338,0.728,-18.62,3.64,-0.91
193315,-0.575,0.324,0.737,-22.19,4.2,-1.19
193325,-0.578,0.307,0.745,-22.61,4.97,-1.82
193334,-0.588,0.289,0.758,-19.25,4.2,-2.31
193344,-0.593,0.284,0.758,-12.95,1.47,-2.17
193354,-0.588,0.29,0.756,-6.65,-1.82,-1.68
193363,-0.586,0.302,0.751,-2.73,-3.22,-1.47
193373,-0.584,0.308,0.747,-1.26,-3.43,-1.05
193382,-0.58,0.309,0.743,-1.61,-3.43,-0.7
193392,-0.58,0.31,0.744,-2.31,-3.08,-0.28
193402,-0.578,0.311,0.748,-3.08,-2.73,-0.07
193411,-0.577,0.311,0.749,-3.71,-2.45,0.0
193421,-0.575,0.308,0.753,-4.13,-2.38,-0.14
193430,-0.577,0.306,0.755,-4.76,-1.75,-0.35
193440,-0.578,0.301,0.756,-4.62,-1.26,-0.56
193450,-0.579,0.297,0.758,-3.64,-1.33,-0.77
193459,-0.58,0.299,0.757,-2.24,-1.68,-0.77
193469,-0.579,0.299,0.755,-1.33,-1.54,-0.49
193478,-0.578,0.301,0.751,-0.84,-1.33,-0.42
193488,-0.579,0.304,0.746,-0.77,-1.12,-0.35
193498,-0.578,0.304,0.742,-1.33,-0.84,-0.28
193507,-0.58,0.305,0.743,-2.1,-0.7,-0.14
193517,-0.578,0.304,0.746,-2.94,-0.63,0.07
193527,-0.577,0.302,0.75,-3.29,-0.42,0.35
193536,-0.578,0.299,0.756,-2.8,-0.56,0.35
193546,-0.579,0.302,0.757,-1.47,-1.05,0.28
193555,-0.574,0.306,0.756,-0.21,-1.61,0.21
193565,-0.572,0.312,0.755,-0.07,-1.61,0.07
193575,-0.572,0.311,0.755,-0.77,-1.12,-0.14
193584,-0.575,0.308,0.753,-1.47,-0.56,-0.28
193594,-0.578,0.305,0.753,-1.75,-0.28,-0.49
193603,-0.578,0.305,0.752,-1.61,-0.35,-0.49
193613,-0.577,0.305,0.75,-1.68,-0.49,-0.28
193623,-0.576,0.303,0.747,-2.03,-0.63,-0.14
193632,-0.577,0.302,0.747,-2.45,-0.63,0.0
193642,-0.575,0.305,0.747,-2.66,-0.84,0.0
193651,-0.572,0.307,0.75,-3.15,-0.77,-0.07
193661,-0.575,0.3,0.755,-3.92,0.0,-0.28
193671,-0.579,0.296,0.757,-3.5,0.49,-0.49
193680,-0.58,0.295,0.757,-1.61,-0.07,-0.7
193690,-0.578,0.299,0.756,0.14,-1.33,-0.7
193699,-0.575,0.304,0.754,0.77,-1.96,-0.77
193709,-0.574,0.305,0.751,0.28,-2.03,-0.91
193719,-0.576,0.306,0.748,-0.84,-1.61,-0.91
193728,-0.577,0.302,0.747,-2.24,-1.12,-0.7
193738,-0.579,0.293,0.753,-3.01,-0.77,-0.63
193748,-0.579,0.289,0.756,-2.1,-0.91,-0.56
193757,-0.579,0.293,0.755,-0.14,-1.96,-0.42
193767,-0.578,0.297,0.755,0.84,-2.73,-0.21
193776,-0.574,0.298,0.753,1.05,-2.52,-0.21
193786,-0.574,0.302,0.749,0.98,-2.52,-0.49
193796,-0.565,0.321,0.733,-0.42,-2.59,-0.63
193805,-0.546,0.366,0.7,-6.09,-1.82,-1.19
193815,-0.51,0.44,0.639,-19.74,-0.14,-3.15
193824,-0.449,0.525,0.59,-48.86,3.64,-6.23
193834,-0.423,0.614,0.484,-96.88,20.44,-13.79
193844,-0.41,0.58,0.441,-160.58,45.92,-22.75
193853,-0.4,0.559,0.372,-229.53,64.89,-34.16
193863,-0.432,0.497,0.317,-300.3,76.58,-44.59
193872,-0.401,0.452,0.276,-378.07,94.08,-50.75
193882,-0.43,0.377,0.223,-466.55,119.14,-57.68
193892,-0.494,0.195,0.176,-557.41,150.15,-62.23
193901,-0.606,-0.062,0.154,-634.76,178.01,-63.42
193911,-0.777,-0.34,0.187,-683.9,194.39,-62.16
193921,-0.869,-0.608,0.26,-690.83,191.24,-57.75
193930,-0.964,-0.87,0.392,-648.83,163.31,-51.59
193940,-0.982,-1.019,0.508,-566.79,122.99,-41.72
193949,-0.972,-1.025,0.576,-461.51,79.66,-28.21
193959,-0.901,-0.921,0.61,-361.9,43.12,-16.45
193969,-0.861,-0.812,0.675,-285.67,21.14,-9.1
193978,-0.784,-0.767,0.714,-223.23,11.9,-5.88
193988,-0.722,-0.713,0.706,-161.56,5.67,-8.4
193997,-0.694,-0.662,0.689,-106.96,1.89,-14.49
194007,-0.663,-0.661,0.646,-66.92,2.59,-23.1
194017,-0.695,-0.689,0.598,-36.96,6.44,-32.34
194026,-0.718,-0.722,0.548,-12.95,7.14,-39.06
194036,-0.766,-0.758,0.508,3.78,7.49,-42.63
194045,-0.788,-0.784,0.468,13.37,9.59,-41.02
194055,-0.826,-0.804,0.433,17.71,11.69,-35.77
194065,-0.843,-0.808,0.402,21.21,11.76,-27.3
194074,-0.826,-0.774,0.351,25.76,9.17,-17.01
194084,-0.808,-0.72,0.314,26.53,5.53,-7.7
194093,-0.771,-0.655,0.286,20.02,4.62,-1.19
194103,-0.763,-0.616,0.276,10.22,5.18,4.13
194113,-0.753,-0.592,0.281,1.19,4.76,8.61
194122,-0.738,-0.578,0.287,-5.39,4.48,11.9
194132,-0.725,-0.559,0.295,-7.91,3.57,13.23
194142,-0.714,-0.54,0.3,-6.72,1.05,12.39
194151,-0.703,-0.527,0.32,-2.45,-2.73,9.8
194161,-0.696,-0.519,0.339,3.71,-6.72,6.09
194170,-0.695,-0.515,0.364,9.59,-9.17,2.59
194180,-0.696,-0.52,0.381,14.21,-9.87,-0.7
194190,-0.702,-0.52,0.386,17.5,-10.15,-3.5
194199,-0.709,-0.528,0.399,18.9,-10.99,-5.18
194209,-0.714,-0.545,0.416,18.13,-10.99,-5.81
194218,-0.72,-0.559,0.426,16.03,-9.31,-5.18
194228,-0.725,-0.567,0.431,14.07,-8.12,-3.85
194238,-0.726,-0.571,0.433,11.62,-7.35,-2.38
194247,-0.727,-0.573,0.439,8.47,-6.16,-0.7
194257,-0.726,-0.577,0.446,6.65,-5.39,0.7
194266,-0.724,-0.582,0.462,7.56,-5.74,1.89
194276,-0.718,-0.578,0.466,10.43,-6.09,2.66
194286,-0.706,-0.563,0.465,14.0,-6.16,2.66
194295,-0.7,-0.545,0.453,15.61,-5.04,1.96
194305,-0.693,-0.529,0.432,14.28,-3.08,0.42
194314,-0.701,-0.531,0.423,10.85,-0.77,-1.05
194324,-0.709,-0.539,0.413,7.42,1.19,-1.75
194334,-0.719,-0.538,0.406,4.62,2.1,-1.54
194343,-0.72,-0.537,0.4,1.4,2.87,-0.77
194353,-0.72,-0.54,0.398,-2.03,3.57,-0.07
194363,-0.723,-0.548,0.402,-3.85,3.5,0.77
194372,-0.721,-0.559,0.412,-2.52,1.89,1.26
194382,-0.718,-0.558,0.419,0.42,0.14,1.4
194391,-0.716,-0.553,0.421,3.22,-1.05,1.26
194401,-0.712,-0.549,0.421,4.55,-1.47,0.98
194411,-0.711,-0.547,0.416,3.71,-0.77,0.56
194420,-0.717,-0.552,0.411,1.68,0.14,0.14
194430,-0.72,-0.556,0.414,-0.21,0.63,0.14
