Time,aX,aY,aZ,gX,gY,gZ
653,-0.617,0.176,0.78,0.42,-2.31,2.31
661,-0.615,0.183,0.774,0.84,-1.05,2.1
670,-0.613,0.184,0.764,-1.05,0.35,1.4
678,-0.618,0.169,0.76,-3.71,1.05,0.35
687,-0.619,0.162,0.755,-2.31,0.42,0.14
695,-0.618,0.164,0.751,0.07,0.0,0.77
704,-0.621,0.167,0.75,1.61,-0.42,0.98
713,-0.623,0.161,0.761,2.17,-1.75,0.49
720,-0.62,0.157,0.767,3.08,-1.96,0.49
728,-0.621,0.16,0.767,1.75,-1.05,1.19
737,-0.62,0.163,0.771,-0.49,-0.35,1.47
745,-0.62,0.174,0.767,0.56,-0.21,1.26
754,-0.621,0.179,0.767,-0.49,-0.14,0.49
762,-0.62,0.175,0.771,-2.38,0.49,-0.63
770,-0.619,0.164,0.767,-3.29,1.75,-1.54
779,-0.621,0.153,0.756,-2.87,2.73,-1.61
787,-0.62,0.154,0.744,-3.57,2.24,-0.63
796,-0.617,0.165,0.747,-10.15,1.96,1.12
804,-0.62,0.176,0.759,-15.19,1.96,1.82
812,-0.62,0.176,0.762,-13.37,1.68,0.42
821,-0.619,0.171,0.753,-13.09,2.03,-1.4
829,-0.624,0.164,0.764,-29.61,3.64,-1.89
838,-0.616,0.145,0.773,-57.96,7.84,-1.47
847,-0.625,0.108,0.772,-94.85,15.26,0.56
854,-0.626,0.103,0.765,-136.08,22.12,5.32
863,-0.64,0.087,0.783,-191.66,27.72,9.8
871,-0.656,0.054,0.788,-272.23,34.02,15.12
879,-0.633,-0.005,0.789,-393.54,46.34,24.22
888,-0.66,-0.082,0.778,-544.32,60.62,38.36
896,-0.693,-0.167,0.776,-689.57,69.51,53.13
904,-0.613,-0.123,0.665,-799.54,67.9,60.2
913,-0.592,-0.362,0.742,-887.67,62.02,56.56
921,-0.63,-0.534,0.758,-913.85,64.75,64.82
930,-0.62,-0.619,0.704,-896.7,73.71,79.1
938,-0.691,-0.542,0.598,-856.87,82.53,91.21
946,-0.659,-0.438,0.449,-817.11,83.72,90.09
955,-0.723,-0.468,0.37,-741.86,74.06,71.4
963,-0.753,-0.561,0.271,-620.55,58.31,48.79
972,-0.78,-0.632,0.165,-489.23,40.81,31.22
981,-0.747,-0.664,0.09,-385.63,22.05,19.11
988,-0.758,-0.725,0.128,-353.22,8.82,13.09
997,-0.769,-0.782,0.117,-335.44,11.48,15.54
1005,-0.757,-0.775,0.074,-316.26,14.7,24.71
1013,-0.768,-0.673,0.026,-296.94,18.48,34.86
1022,-0.713,-0.468,-0.005,-265.65,21.21,35.98
1030,-0.711,-0.406,-0.077,-204.54,21.49,21.84
1039,-0.742,-0.445,-0.165,-138.81,17.99,6.23
1047,-0.754,-0.505,-0.22,-89.6,11.62,-4.76
1055,-0.762,-0.552,-0.2,-54.25,2.45,-11.2
1064,-0.772,-0.578,-0.146,-20.3,-4.55,-14.35
1072,-0.772,-0.594,-0.123,9.52,-5.32,-16.03
1081,-0.758,-0.617,-0.143,30.31,-3.36,-17.01
1089,-0.759,-0.694,-0.157,27.09,-3.08,-16.8
1097,-0.768,-0.73,-0.096,5.53,-3.29,-10.22
1106,-0.763,-0.69,-0.08,-5.25,1.05,-1.96
1115,-0.756,-0.637,-0.123,-10.36,6.3,2.17
1122,-0.753,-0.605,-0.164,-10.64,7.42,1.4
1131,-0.749,-0.587,-0.178,-3.78,4.76,-1.61
1139,-0.742,-0.606,-0.175,-0.49,1.89,-5.67
1148,-0.745,-0.665,-0.156,-8.19,-0.14,-8.12
1156,-0.748,-0.693,-0.123,-22.05,-0.07,-5.32
1164,-0.743,-0.678,-0.124,-32.2,1.61,-1.89
1173,-0.743,-0.669,-0.119,-35.91,1.89,-0.84
1181,-0.738,-0.649,-0.103,-26.81,1.12,-1.61
1189,-0.728,-0.647,-0.097,-12.39,1.33,-4.48
1198,-0.734,-0.676,-0.098,-3.43,2.31,-6.65
1206,-0.736,-0.677,-0.121,4.55,3.15,-5.32
1215,-0.732,-0.665,-0.137,6.51,2.38,-3.15
1223,-0.733,-0.653,-0.137,4.76,1.26,-2.03
1231,-0.736,-0.65,-0.134,4.34,0.7,-2.17
1240,-0.735,-0.65,-0.129,7.56,0.0,-3.22
