Time,aX,aY,aZ,gX,gY,gZ
2364569,-0.442,0.128,0.901,9.38,0.07,0.63
2364578,-0.441,0.136,0.88,7.56,1.47,-1.05
2364588,-0.444,0.118,0.874,2.31,4.13,-2.38
2364597,-0.456,0.103,0.867,-0.28,6.44,-2.73
2364607,-0.465,0.099,0.855,-0.42,6.79,-3.08
2364616,-0.47,0.1,0.871,-0.42,5.39,-3.29
2364626,-0.454,0.125,0.866,-0.56,3.5,-3.85
2364635,-0.479,0.099,0.856,-0.98,1.19,-3.43
2364645,-0.475,0.099,0.864,-1.19,-2.17,-0.7
2364654,-0.467,0.102,0.887,-0.21,-6.79,-0.28
2364664,-0.448,0.112,0.896,1.05,-8.47,-1.12
2364673,-0.436,0.109,0.884,1.89,-7.07,-2.1
2364683,-0.456,0.1,0.873,3.5,-5.6,-2.24
2364692,-0.461,0.09,0.863,3.43,-4.69,-1.61
2364702,-0.462,0.1,0.857,0.7,-3.78,-0.28
2364711,-0.462,0.102,0.881,-3.64,-4.13,-0.49
2364721,-0.457,0.107,0.909,-7.07,-4.27,-1.26
2364730,-0.451,0.105,0.926,-9.31,-2.52,-2.24
2364740,-0.452,0.097,0.916,-9.45,-0.07,-3.22
2364749,-0.447,0.092,0.897,-7.35,1.12,-3.57
2364759,-0.455,0.098,0.893,-4.06,0.07,-3.64
2364768,-0.468,0.132,0.894,-3.71,-3.15,-4.48
2364778,-0.454,0.097,0.899,-8.82,-8.4,-6.02
2364787,-0.447,0.068,0.888,-5.6,-9.66,-4.2
2364797,-0.45,0.079,0.845,0.84,-7.14,-1.96
2364806,-0.461,0.076,0.858,2.1,-8.47,-1.05
2364816,-0.435,0.092,0.892,2.8,-9.87,0.21
2364825,-0.426,0.096,0.904,5.46,-9.03,0.0
2364835,-0.44,0.092,0.907,9.66,-7.7,-1.33
2364844,-0.438,0.09,0.888,14.28,-7.21,-2.17
2364854,-0.436,0.109,0.868,21.49,-9.94,-3.08
2364863,-0.451,0.112,0.87,29.68,-18.97,-5.11
2364873,-0.449,0.131,0.932,33.74,-26.88,-5.81
2364882,-0.428,0.125,0.939,33.11,-28.35,-7.28
2364892,-0.425,0.122,0.932,32.13,-23.87,-8.33
2364901,-0.434,0.108,0.883,29.68,-17.85,-7.77
2364911,-0.432,0.107,0.869,25.48,-13.86,-6.09
2364920,-0.415,0.121,0.848,21.56,-11.2,-4.83
2364930,-0.433,0.129,0.878,16.8,-10.08,-4.2
2364939,-0.42,0.141,0.925,8.68,-8.61,-3.43
2364949,-0.415,0.146,0.954,2.31,-3.92,-3.22
2364958,-0.413,0.141,0.937,0.28,2.24,-3.22
2364968,-0.426,0.145,0.915,3.01,6.65,-3.92
2364977,-0.432,0.126,0.872,6.58,9.87,-4.2
2364987,-0.454,0.117,0.806,18.06,9.31,-2.73
2364996,-0.465,0.152,0.782,31.43,0.56,-1.89
2365006,-0.458,0.173,0.774,34.09,-10.64,-3.29
2365015,-0.465,0.322,0.752,21.07,-14.63,-4.27
2365025,-0.392,0.21,0.758,-19.46,-13.72,-7.7
2365034,-0.393,0.298,0.686,-65.45,2.87,-4.97
2365044,-0.364,0.302,0.74,-127.96,18.97,-4.76
2365053,-0.362,0.259,0.924,-199.99,40.39,-3.85
2365063,-0.388,0.209,1.121,-266.28,72.1,-3.15
2365072,-0.39,0.317,1.208,-329.0,104.72,3.78
2365082,-0.353,0.196,1.158,-395.29,121.45,-1.47
2365091,-0.268,0.196,0.943,-429.94,129.71,-7.98
2365101,-0.313,0.054,0.812,-436.17,118.23,-11.76
2365110,-0.369,-0.121,0.763,-427.98,97.93,-8.26
2365120,-0.471,-0.392,0.618,-403.27,77.21,5.11
2365129,-0.626,-0.59,0.442,-347.41,48.09,20.51
2365139,-0.651,-0.653,0.45,-284.41,11.9,30.94
2365148,-0.676,-0.679,0.478,-214.48,-14.21,30.87
2365158,-0.672,-0.63,0.547,-150.01,-24.85,23.38
2365167,-0.602,-0.574,0.683,-129.22,-29.89,22.47
2365177,-0.555,-0.564,0.804,-141.96,-30.31,28.7
2365186,-0.526,-0.574,0.852,-158.83,-18.41,33.6
2365196,-0.529,-0.561,0.82,-162.47,2.59,32.48
2365205,-0.541,-0.568,0.77,-156.38,19.39,27.72
2365215,-0.568,-0.57,0.713,-143.99,28.28,22.82
2365224,-0.551,-0.551,0.708,-145.95,27.86,24.99
2365234,-0.499,-0.508,0.683,-164.01,21.49,32.9
2365243,-0.535,-0.517,0.627,-174.58,16.31,37.73
2365253,-0.593,-0.597,0.554,-168.7,7.84,37.87
2365262,-0.667,-0.634,0.468,-144.55,-1.61,32.06
2365272,-0.671,-0.624,0.446,-105.84,-10.57,21.77
2365281,-0.645,-0.634,0.523,-64.05,-19.46,9.03
2365291,-0.606,-0.63,0.579,-28.7,-24.43,-2.8
2365300,-0.59,-0.637,0.618,-2.66,-25.76,-11.2
2365310,-0.589,-0.648,0.607,12.67,-25.48,-15.33
2365319,-0.568,-0.607,0.587,22.4,-24.36,-15.75
2365329,-0.545,-0.587,0.595,30.1,-24.08,-16.17
2365338,-0.523,-0.59,0.624,33.46,-23.38,-14.98
