Time,aX,aY,aZ,gX,gY,gZ
80354,-0.6,0.137,0.782,-0.21,-1.33,-0.91
80364,-0.599,0.137,0.783,-0.21,-1.33,-0.77
80373,-0.598,0.139,0.786,-0.07,-1.33,-0.63
80383,-0.598,0.14,0.787,-0.49,-0.91,-0.7
80393,-0.599,0.134,0.787,-0.7,-0.56,-0.91
80402,-0.601,0.132,0.788,-0.21,-0.7,-0.91
80412,-0.602,0.132,0.787,0.42,-1.05,-0.84
80421,-0.598,0.133,0.788,0.49,-1.19,-0.63
80431,-0.598,0.133,0.791,-0.07,-0.77,-0.56
80441,-0.599,0.131,0.788,-0.14,-0.42,-0.56
80450,-0.6,0.129,0.787,0.63,-0.56,-0.56
80460,-0.6,0.131,0.788,0.98,-0.49,-0.35
80470,-0.599,0.13,0.782,0.84,-0.35,-0.35
80479,-0.601,0.13,0.781,0.98,-0.63,-0.35
80489,-0.602,0.132,0.781,1.12,-0.91,-0.07
80498,-0.599,0.131,0.784,0.77,-0.7,0.07
80508,-0.6,0.13,0.785,0.49,-0.42,0.21
80518,-0.601,0.131,0.783,0.98,-0.28,0.35
80527,-0.602,0.133,0.782,1.96,-0.21,0.35
80537,-0.602,0.132,0.781,3.15,-0.7,0.14
80546,-0.601,0.133,0.781,4.48,-1.4,0.07
80556,-0.6,0.136,0.782,5.81,-1.89,0.0
80566,-0.599,0.14,0.777,7.28,-2.45,-0.21
80575,-0.596,0.146,0.78,7.84,-2.8,-0.21
80585,-0.598,0.149,0.783,6.79,-2.52,-0.14
80595,-0.597,0.148,0.784,5.32,-1.96,-0.07
80604,-0.598,0.15,0.785,3.99,-1.47,0.28
80614,-0.595,0.152,0.786,2.59,-1.19,0.56
80623,-0.595,0.154,0.787,1.19,-0.98,0.7
80633,-0.594,0.15,0.788,-0.21,-0.77,0.77
80643,-0.594,0.147,0.788,-1.19,-0.49,0.49
80652,-0.595,0.143,0.787,-1.33,0.0,0.35
80662,-0.599,0.14,0.788,-0.77,0.63,0.35
80672,-0.6,0.137,0.784,0.42,0.63,0.28
80681,-0.599,0.139,0.778,2.38,-0.21,0.28
80691,-0.599,0.144,0.774,4.13,-0.84,0.21
80700,-0.599,0.146,0.77,5.46,-1.75,0.14
80710,-0.597,0.147,0.775,6.16,-2.59,0.0
80720,-0.598,0.151,0.772,5.95,-2.8,0.07
80729,-0.596,0.153,0.77,4.69,-2.87,0.21
80739,-0.596,0.153,0.773,2.52,-2.24,0.42
80748,-0.598,0.152,0.778,0.35,-1.61,0.77
80758,-0.597,0.151,0.783,-1.19,-1.4,1.19
80768,-0.595,0.15,0.786,-2.03,-0.98,1.47
80777,-0.596,0.15,0.788,-1.68,-0.63,1.47
80787,-0.593,0.154,0.785,0.21,-1.33,1.12
80797,-0.591,0.158,0.788,2.03,-2.31,0.84
80806,-0.59,0.162,0.787,2.87,-2.73,0.49
80816,-0.591,0.162,0.79,3.64,-2.73,0.21
80825,-0.587,0.165,0.785,4.34,-2.87,-0.14
80835,-0.589,0.168,0.79,4.34,-2.94,-0.42
80845,-0.587,0.167,0.786,3.78,-2.66,-0.63
80854,-0.588,0.168,0.785,2.8,-2.24,-0.7
80864,-0.59,0.166,0.785,1.33,-1.75,-0.84
80873,-0.591,0.16,0.785,-0.28,-1.19,-0.84
80883,-0.592,0.152,0.786,-0.77,-1.05,-0.77
80893,-0.592,0.15,0.789,-0.07,-1.26,-0.84
80902,-0.592,0.15,0.787,0.77,-1.12,-0.77
80912,-0.592,0.148,0.786,1.61,-1.12,-0.98
80922,-0.594,0.148,0.783,2.45,-1.12,-1.12
80931,-0.594,0.146,0.781,3.36,-1.54,-1.19
80941,-0.596,0.146,0.783,4.2,-2.17,-1.12
80950,-0.596,0.147,0.786,4.41,-2.66,-1.05
80960,-0.596,0.146,0.786,4.13,-2.94,-0.77
80970,-0.591,0.148,0.786,4.13,-3.01,-0.42
80979,-0.592,0.148,0.79,3.85,-2.8,-0.14
80989,-0.59,0.149,0.794,3.71,-2.38,-0.14
80998,-0.591,0.147,0.794,4.48,-2.24,-0.28
81008,-0.591,0.146,0.797,5.74,-2.31,-0.35
81018,-0.593,0.142,0.797,6.93,-2.24,-0.56
81027,-0.594,0.136,0.802,9.38,-2.45,-0.84
81037,-0.596,0.134,0.803,14.84,-3.99,-1.4
81047,-0.593,0.142,0.804,21.7,-6.72,-2.17
81056,-0.589,0.144,0.805,27.79,-8.75,-3.5
81066,-0.587,0.147,0.795,35.0,-9.52,-5.18
81075,-0.591,0.154,0.782,43.47,-11.83,-6.58
81085,-0.593,0.17,0.776,48.51,-14.28,-6.93
81095,-0.592,0.164,0.789,50.54,-14.77,-7.07
81104,-0.573,0.168,0.758,58.52,-16.1,-8.96
81114,-0.55,0.28,0.63,67.2,-21.7,-11.41
81124,-0.508,0.457,0.513,46.06,-26.11,-13.44
81133,-0.438,0.559,0.43,-16.66,-20.86,-17.71
81143,-0.473,0.543,0.181,-108.08,-0.7,-21.98
81152,-0.728,0.417,0.299,-219.59,11.83,-9.1
81162,-0.51,0.444,0.317,-336.77,17.78,18.62
81172,-0.28,0.506,-0.149,-462.28,20.58,27.09
81181,-0.232,0.517,-0.293,-617.75,29.19,17.43
81191,-0.364,0.24,-0.35,-841.19,61.46,10.43
81200,-0.643,-0.264,-0.449,-1085.07,121.1,22.12
81210,-0.991,-0.838,-0.441,-1273.65,183.26,46.13
81220,-1.179,-1.342,-0.512,-1348.76,214.97,65.45
81229,-1.072,-1.528,-0.573,-1296.54,196.14,77.14
81239,-0.911,-1.511,-0.594,-1169.91,145.6,76.16
81249,-0.65,-1.468,-0.656,-1017.52,87.15,53.13
81258,-0.726,-1.587,-0.239,-862.89,36.96,16.17
81268,-0.933,-1.773,0.338,-697.9,-11.69,-9.17
81277,-0.97,-1.879,0.705,-495.74,-57.19,-11.83
81287,-0.828,-1.578,0.914,-263.48,-82.95,2.24
81297,-0.524,-1.104,0.894,-47.88,-83.16,11.69
81306,-0.23,-0.668,0.696,104.93,-61.25,-6.23
81316,-0.093,-0.529,0.412,163.38,-18.83,-48.79
81325,-0.216,-0.649,0.127,154.07,30.59,-96.11
81335,-0.48,-0.939,-0.117,124.81,67.97,-128.17
81345,-0.738,-1.181,-0.298,96.67,83.02,-131.32
81354,-0.968,-1.338,-0.401,62.37,81.48,-109.62
81364,-1.003,-1.446,-0.463,28.63,65.66,-71.54
81374,-0.949,-1.416,-0.47,11.55,38.71,-28.63
81383,-0.891,-1.317,-0.392,11.83,6.58,4.97
81393,-0.806,-1.188,-0.28,20.79,-17.29,26.25
81402,-0.74,-1.05,-0.186,30.73,-28.42,40.6
81412,-0.655,-0.916,-0.119,39.69,-32.9,49.77
81422,-0.589,-0.789,-0.1,46.27,-33.88,50.47
81431,-0.571,-0.681,-0.07,47.81,-31.43,45.08
81441,-0.564,-0.603,-0.06,44.87,-28.84,38.29
81451,-0.598,-0.567,-0.023,35.28,-24.92,31.57
81460,-0.611,-0.566,0.009,20.65,-19.74,26.11
81470,-0.592,-0.584,0.026,7.84,-14.28,21.84
81479,-0.603,-0.613,0.052,1.4,-7.07,17.01
81489,-0.619,-0.635,0.076,2.31,-1.05,12.11
81499,-0.627,-0.655,0.055,9.03,3.36,8.19
