Time,aX,aY,aZ,gX,gY,gZ
248809,-0.559,0.152,0.813,-4.34,0.42,0.28
248819,-0.558,0.156,0.813,-4.83,0.91,0.42
248828,-0.557,0.159,0.811,-5.81,1.54,0.56
248838,-0.56,0.155,0.814,-7.0,1.82,0.56
248848,-0.559,0.15,0.816,-7.91,2.17,0.7
248857,-0.559,0.149,0.815,-7.91,2.52,0.91
248867,-0.561,0.145,0.817,-7.35,2.59,0.63
248877,-0.563,0.14,0.819,-5.6,2.17,0.28
248886,-0.564,0.137,0.819,-2.1,0.91,-0.28
248896,-0.563,0.141,0.817,1.68,-0.91,-0.91
248905,-0.563,0.148,0.812,4.48,-2.45,-1.4
248915,-0.559,0.153,0.808,5.11,-2.94,-1.61
248925,-0.557,0.154,0.804,3.64,-2.17,-1.47
248934,-0.56,0.157,0.802,1.26,-0.98,-0.98
248944,-0.561,0.154,0.803,-1.19,0.14,-0.42
248953,-0.563,0.148,0.807,-2.94,0.84,0.07
248963,-0.563,0.142,0.812,-3.36,1.05,0.28
248973,-0.563,0.141,0.817,-2.24,0.77,0.07
248982,-0.561,0.143,0.819,-0.42,0.07,-0.42
248992,-0.56,0.147,0.815,1.12,-0.35,-0.91
249001,-0.561,0.148,0.812,1.68,-0.28,-1.19
249011,-0.563,0.148,0.809,1.26,-0.21,-1.05
249021,-0.565,0.145,0.807,0.56,0.0,-0.7
249030,-0.562,0.147,0.806,-0.21,0.07,-0.21
249040,-0.561,0.148,0.807,-1.12,0.28,0.07
249049,-0.561,0.146,0.807,-1.75,0.56,0.21
249059,-0.561,0.145,0.809,-1.96,0.7,0.21
249069,-0.563,0.146,0.808,-1.68,0.63,-0.07
249078,-0.561,0.148,0.801,-1.96,0.77,-0.49
249088,-0.562,0.149,0.796,-3.15,1.05,-0.84
249098,-0.565,0.148,0.792,-4.69,1.61,-0.98
249107,-0.554,0.164,0.77,-6.86,1.82,-1.05
249117,-0.532,0.222,0.706,-14.98,2.73,-1.12
