Time,aX,aY,aZ,gX,gY,gZ
187127,-0.56,0.255,0.788,1.61,-1.68,-0.77
187136,-0.558,0.256,0.784,1.68,-1.47,-1.05
187146,-0.561,0.256,0.782,1.05,-1.05,-1.26
187156,-0.563,0.251,0.78,0.0,-0.28,-1.19
187165,-0.567,0.244,0.778,-0.77,0.07,-0.98
187175,-0.57,0.241,0.778,-0.7,-0.35,-0.84
187184,-0.569,0.239,0.779,-0.28,-0.56,-0.42
187194,-0.567,0.24,0.776,0.21,-0.56,-0.14
187204,-0.566,0.246,0.775,0.35,-0.77,0.0
187213,-0.565,0.25,0.773,0.21,-0.98,0.14
187223,-0.563,0.251,0.772,-0.14,-1.12,0.21
187232,-0.561,0.252,0.777,-0.49,-0.98,0.49
187242,-0.559,0.254,0.781,-0.49,-0.77,0.56
187252,-0.559,0.26,0.782,-0.35,-0.77,0.49
187261,-0.558,0.261,0.784,-0.49,-0.7,0.42
187271,-0.556,0.264,0.784,-0.98,-0.56,0.28
187280,-0.559,0.261,0.783,-1.47,-0.35,0.0
187290,-0.562,0.255,0.785,-1.54,-0.49,-0.14
187300,-0.563,0.254,0.785,-0.98,-0.91,-0.28
187309,-0.558,0.254,0.783,-0.42,-1.05,-0.21
187319,-0.558,0.251,0.783,-0.21,-1.12,-0.49
187328,-0.561,0.247,0.784,-0.21,-0.91,-0.91
187338,-0.564,0.246,0.783,0.28,-0.63,-0.98
187348,-0.563,0.25,0.779,0.28,-0.42,-0.77
187357,-0.562,0.253,0.774,-0.49,-0.14,-0.56
187367,-0.563,0.252,0.774,-1.33,0.0,-0.42
187377,-0.564,0.248,0.775,-2.1,0.07,-0.14
187386,-0.563,0.249,0.777,-2.45,-0.07,0.21
187396,-0.561,0.251,0.779,-2.45,-0.14,0.35
187405,-0.563,0.251,0.78,-2.52,0.07,0.42
187415,-0.563,0.248,0.783,-2.03,0.07,0.49
187425,-0.563,0.247,0.783,-0.77,-0.49,0.28
187434,-0.559,0.251,0.782,0.42,-0.98,0.14
187444,-0.559,0.254,0.781,0.63,-1.12,0.0
187453,-0.561,0.254,0.78,-0.07,-0.91,-0.21
187463,-0.563,0.253,0.781,-0.77,-0.77,-0.28
187473,-0.563,0.252,0.783,-1.19,-0.77,-0.14
187482,-0.562,0.25,0.788,-1.26,-0.84,-0.07
187492,-0.558,0.252,0.79,-1.12,-0.7,-0.07
187501,-0.557,0.253,0.791,-1.19,-0.14,-0.35
187511,-0.56,0.259,0.782,-1.54,0.84,-0.56
187521,-0.558,0.275,0.779,-4.2,2.31,-0.63
187530,-0.531,0.311,0.748,-10.71,5.67,-1.05
187540,-0.514,0.404,0.646,-25.13,8.54,-2.03
187549,-0.412,0.574,0.489,-63.14,12.32,-3.64
187559,-0.324,0.72,0.291,-136.71,25.76,-12.46
187569,-0.207,0.781,0.126,-239.96,52.85,-27.09
187578,-0.119,0.784,-0.021,-374.71,87.92,-48.93
187588,-0.197,0.662,-0.186,-541.8,134.4,-70.91
187598,-0.334,0.336,-0.339,-724.64,194.39,-82.53
187607,-0.63,-0.196,-0.393,-894.46,251.09,-86.73
187617,-0.97,-0.77,-0.259,-1004.57,286.23,-83.58
187626,-1.201,-1.312,-0.045,-1006.53,278.53,-74.13
187636,-1.328,-1.708,0.328,-899.78,221.34,-55.37
187646,-1.283,-1.814,0.607,-715.47,141.89,-29.05
187655,-1.095,-1.652,0.762,-491.05,61.32,-1.68
187665,-0.953,-1.296,0.837,-276.71,-1.47,13.37
187674,-0.768,-0.867,0.76,-107.45,-47.32,15.89
187684,-0.564,-0.55,0.696,15.05,-75.04,5.32
187694,-0.415,-0.331,0.603,82.11,-80.29,-18.48
187703,-0.44,-0.301,0.54,90.3,-62.3,-46.55
187713,-0.511,-0.454,0.504,66.15,-36.89,-66.64
187722,-0.673,-0.642,0.459,41.02,-15.05,-74.76
187732,-0.797,-0.813,0.46,21.77,-3.29,-68.11
187742,-0.853,-0.953,0.429,7.21,2.17,-53.62
187751,-0.888,-1.023,0.427,0.28,7.98,-34.86
187761,-0.885,-1.032,0.41,0.84,8.68,-14.21
187771,-0.859,-0.986,0.392,3.92,5.53,2.66
187780,-0.819,-0.909,0.373,7.56,1.26,14.91
187790,-0.766,-0.829,0.352,11.83,-2.52,22.4
187799,-0.724,-0.734,0.341,14.63,-6.02,25.41
187809,-0.676,-0.644,0.315,14.56,-7.0,25.69
187819,-0.653,-0.576,0.297,12.18,-4.27,23.31
187828,-0.652,-0.534,0.281,9.24,-2.1,18.83
187838,-0.653,-0.501,0.281,7.0,-1.96,13.79
187847,-0.667,-0.495,0.301,6.86,-3.85,10.71
187857,-0.665,-0.499,0.336,8.89,-7.7,8.05
187867,-0.664,-0.5,0.366,12.46,-10.43,5.11
187876,-0.659,-0.502,0.387,16.45,-11.76,1.68
187886,-0.653,-0.51,0.404,18.83,-11.06,-2.24
187895,-0.663,-0.528,0.413,19.25,-8.61,-5.74
187905,-0.686,-0.554,0.418,18.62,-6.65,-7.42
187915,-0.699,-0.577,0.415,16.94,-6.86,-7.28
187924,-0.706,-0.597,0.422,14.28,-7.91,-5.74
187934,-0.705,-0.603,0.425,10.43,-7.63,-3.43
187943,-0.709,-0.608,0.438,5.67,-6.79,-0.7
187953,-0.708,-0.622,0.457,1.89,-5.88,2.24
187963,-0.701,-0.63,0.468,1.96,-5.25,4.62
187972,-0.698,-0.626,0.475,4.76,-5.32,6.16
187982,-0.688,-0.617,0.478,7.84,-5.32,6.93
187992,-0.685,-0.61,0.482,10.5,-4.34,7.07
188001,-0.687,-0.598,0.469,12.67,-2.52,7.07
188011,-0.683,-0.581,0.451,13.23,-0.42,6.79
188020,-0.681,-0.565,0.428,11.55,2.17,5.95
188030,-0.679,-0.552,0.409,8.82,4.13,4.69
188040,-0.689,-0.555,0.399,5.25,5.25,3.85
188049,-0.69,-0.559,0.394,2.1,6.09,3.43
188059,-0.697,-0.565,0.381,0.84,5.74,3.01
188068,-0.704,-0.568,0.373,1.82,3.08,2.45
188078,-0.702,-0.571,0.376,3.64,-0.49,2.03
