Time,aX,aY,aZ,gX,gY,gZ
225199,-0.574,0.298,0.721,-22.82,5.04,-1.4
225209,-0.575,0.295,0.716,-30.52,8.61,-1.89
225218,-0.576,0.302,0.715,-37.94,11.48,-1.82
225228,-0.568,0.312,0.69,-46.62,11.69,-2.87
225237,-0.561,0.313,0.67,-57.82,12.39,-4.9
225247,-0.555,0.306,0.669,-70.98,14.42,-7.42
225257,-0.578,0.282,0.677,-84.84,16.8,-9.38
225266,-0.583,0.255,0.686,-98.56,20.86,-9.66
225276,-0.601,0.212,0.712,-110.67,25.41,-8.12
225286,-0.617,0.175,0.742,-120.19,28.14,-6.09
225295,-0.635,0.123,0.778,-124.88,30.17,-2.73
225305,-0.66,0.09,0.813,-119.7,30.45,-0.07
225314,-0.658,0.081,0.816,-108.85,26.25,1.61
225324,-0.638,0.057,0.843,-95.34,20.16,3.15
225334,-0.636,0.047,0.841,-77.77,17.64,2.45
225343,-0.632,0.053,0.832,-58.94,12.88,-1.47
225353,-0.641,0.053,0.836,-41.09,6.93,-4.62
225362,-0.637,0.044,0.824,-24.29,1.96,-7.35
225372,-0.642,0.045,0.816,-8.75,-2.03,-9.52
225382,-0.643,0.051,0.802,2.94,-5.32,-10.64
225391,-0.643,0.053,0.792,9.52,-6.93,-10.71
225401,-0.647,0.056,0.783,11.2,-5.67,-9.24
225410,-0.649,0.055,0.771,9.73,-3.08,-7.0
225420,-0.651,0.051,0.767,8.05,-1.05,-4.9
225430,-0.654,0.047,0.772,7.42,-0.63,-2.73
225439,-0.65,0.043,0.776,9.1,-1.54,-1.33
225449,-0.651,0.047,0.785,12.95,-2.52,-0.63
225458,-0.645,0.043,0.788,19.25,-3.99,-0.63
225468,-0.652,0.051,0.788,28.98,-7.49,-1.47
225478,-0.641,0.063,0.781,39.2,-13.72,-2.31
225487,-0.623,0.089,0.766,47.53,-18.62,-3.64
225497,-0.618,0.12,0.76,51.1,-19.46,-4.2
225507,-0.608,0.145,0.751,48.44,-18.48,-4.06
225516,-0.602,0.158,0.743,40.74,-14.98,-3.5
225526,-0.6,0.167,0.733,30.66,-9.87,-2.8
225535,-0.585,0.208,0.699,18.83,-5.88,-1.89
225545,-0.561,0.27,0.65,-1.4,-1.33,-1.26
225555,-0.514,0.345,0.591,-35.56,7.56,-0.77
225564,-0.453,0.415,0.498,-86.59,22.47,-2.66
225574,-0.411,0.474,0.348,-156.73,45.08,-8.61
225583,-0.373,0.483,0.286,-246.47,71.4,-17.57
225593,-0.289,0.458,0.191,-343.63,97.09,-31.57
225603,-0.338,0.36,0.122,-451.71,129.22,-49.28
225612,-0.474,0.234,0.065,-567.56,174.86,-60.34
225622,-0.666,-0.024,0.06,-674.1,212.66,-63.84
225631,-0.834,-0.337,0.073,-742.0,230.79,-58.8
225641,-0.941,-0.649,0.127,-758.73,228.27,-49.77
225651,-0.986,-0.875,0.207,-730.94,210.21,-38.22
225660,-1.037,-1.02,0.267,-668.78,181.65,-24.64
225670,-1.037,-1.041,0.365,-577.15,144.48,-10.85
225679,-0.934,-1.001,0.39,-468.09,99.96,-3.22
225689,-0.865,-0.912,0.434,-366.45,62.02,-3.36
225699,-0.807,-0.803,0.435,-286.3,36.47,-6.58
225708,-0.734,-0.738,0.447,-227.29,23.8,-10.99
225718,-0.711,-0.737,0.44,-188.51,28.42,-19.18
225728,-0.759,-0.789,0.406,-160.51,43.12,-28.42
225737,-0.797,-0.869,0.364,-132.09,55.23,-35.84
225747,-0.818,-0.96,0.266,-97.72,54.04,-40.74
225756,-0.838,-1.037,0.202,-56.07,45.5,-44.31
225766,-0.875,-1.073,0.16,-10.99,34.09,-45.57
225776,-0.908,-1.032,0.092,29.89,18.97,-41.86
225785,-0.915,-0.957,0.047,56.28,5.39,-33.04
225795,-0.887,-0.873,-0.006,65.52,-3.22,-22.89
225804,-0.856,-0.791,-0.058,61.53,-7.98,-12.67
225814,-0.829,-0.713,-0.081,47.04,-7.21,-2.38
225824,-0.805,-0.659,-0.092,25.13,-3.36,7.07
225833,-0.812,-0.63,-0.066,1.54,1.47,16.17
225843,-0.806,-0.625,-0.043,-17.57,2.66,23.66
225852,-0.761,-0.608,-0.038,-28.07,1.54,27.93
225862,-0.748,-0.57,0.001,-31.64,0.21,28.63
225872,-0.732,-0.553,0.05,-30.38,-3.85,26.53
225881,-0.72,-0.557,0.104,-22.12,-8.33,22.05
225891,-0.714,-0.538,0.148,-7.91,-12.32,16.31
225901,-0.688,-0.525,0.162,5.04,-14.14,9.8
225910,-0.715,-0.535,0.168,14.14,-12.88,3.29
225920,-0.7,-0.541,0.173,20.3,-10.85,-3.43
225929,-0.724,-0.566,0.176,23.24,-8.19,-8.82
225939,-0.734,-0.59,0.167,24.78,-5.11,-12.04
225949,-0.754,-0.613,0.158,24.15,-2.31,-13.51
225958,-0.758,-0.625,0.143,21.28,-0.56,-13.3
225968,-0.77,-0.639,0.136,16.45,0.63,-12.18
225977,-0.778,-0.654,0.138,10.64,1.26,-9.87
225987,-0.789,-0.676,0.145,5.74,1.19,-6.72
225997,-0.788,-0.679,0.152,3.57,0.14,-3.29
226006,-0.776,-0.675,0.161,2.94,-0.84,-0.28
226016,-0.763,-0.664,0.168,3.01,-0.91,1.19
226025,-0.757,-0.654,0.175,3.57,-0.28,1.68
226035,-0.748,-0.644,0.173,4.62,0.56,1.47
226045,-0.749,-0.637,0.166,5.53,2.24,0.84
226054,-0.752,-0.636,0.158,6.09,3.99,0.0
226064,-0.754,-0.636,0.146,7.56,4.9,-0.7
226073,-0.757,-0.628,0.126,9.94,4.41,-1.33
226083,-0.757,-0.625,0.11,11.69,2.73,-1.96
226093,-0.761,-0.622,0.106,12.25,1.19,-2.17
226102,-0.764,-0.621,0.107,11.69,0.98,-1.96
226112,-0.761,-0.625,0.105,11.06,1.12,-1.61
226122,-0.76,-0.628,0.103,11.41,0.49,-1.54
226131,-0.758,-0.625,0.106,12.18,-0.7,-1.75
226141,-0.759,-0.625,0.106,12.18,-1.82,-2.17
226150,-0.758,-0.627,0.113,11.27,-2.17,-2.45
226160,-0.76,-0.632,0.121,10.01,-1.82,-2.17
226170,-0.76,-0.634,0.122,8.75,-1.54,-1.68
