Time,aX,aY,aZ,gX,gY,gZ
27477,-0.63,0.526,0.501,-6.16,2.8,-2.94
27485,-0.63,0.541,0.516,-5.95,-0.42,0.84
27494,-0.628,0.558,0.54,-8.54,-1.26,2.87
27502,-0.625,0.571,0.542,-10.15,0.0,2.8
27510,-0.624,0.568,0.538,-11.55,2.17,1.12
27519,-0.625,0.555,0.538,-10.78,3.22,0.28
27527,-0.625,0.552,0.527,-2.8,3.01,0.14
27536,-0.62,0.566,0.518,1.47,2.45,0.28
27544,-0.622,0.589,0.518,-2.87,3.29,-0.14
27552,-0.62,0.607,0.523,-10.22,5.25,-2.59
27561,-0.627,0.59,0.527,-18.13,7.14,-7.14
27569,-0.63,0.549,0.525,-24.85,8.4,-10.15
27578,-0.635,0.516,0.52,-30.24,8.89,-9.87
27587,-0.641,0.5,0.529,-36.26,8.05,-7.07
27594,-0.645,0.49,0.53,-42.0,7.07,-3.01
27603,-0.634,0.509,0.516,-46.62,5.53,1.12
27611,-0.633,0.527,0.534,-59.01,4.83,2.52
27619,-0.627,0.539,0.557,-72.31,6.37,2.31
27628,-0.624,0.55,0.545,-87.57,9.59,1.33
27636,-0.63,0.518,0.564,-110.39,12.39,-1.19
27644,-0.64,0.485,0.596,-122.29,13.58,-2.45
27653,-0.647,0.466,0.603,-126.49,15.4,-1.54
27661,-0.647,0.473,0.561,-139.37,16.31,2.8
27670,-0.63,0.467,0.548,-178.29,16.17,8.05
27678,-0.655,0.437,0.588,-227.43,16.1,10.78
27686,-0.631,0.393,0.627,-262.99,16.17,12.04
27695,-0.649,0.324,0.655,-300.37,19.6,12.95
27703,-0.667,0.228,0.694,-344.05,25.13,17.01
27712,-0.666,0.137,0.718,-379.68,30.87,27.3
27721,-0.676,0.094,0.707,-395.71,33.88,40.88
27728,-0.666,0.112,0.67,-402.85,30.73,53.83
27737,-0.645,0.119,0.666,-432.04,24.92,63.07
27745,-0.637,0.121,0.701,-464.52,19.11,68.67
27753,-0.637,0.144,0.731,-472.29,11.55,68.46
27762,-0.632,0.138,0.746,-477.05,3.08,59.01
27770,-0.617,0.066,0.762,-509.53,-2.52,47.18
27779,-0.632,-0.059,0.817,-546.77,-3.85,38.36
27787,-0.63,-0.164,0.837,-558.32,0.07,34.93
27795,-0.643,-0.285,0.835,-579.74,8.12,35.21
27804,-0.659,-0.446,0.844,-619.57,19.25,41.3
27812,-0.67,-0.583,0.808,-656.18,33.39,56.77
27821,-0.673,-0.626,0.713,-684.6,44.8,77.35
27829,-0.667,-0.578,0.635,-698.67,48.93,94.78
27837,-0.681,-0.533,0.621,-670.95,48.79,100.66
27846,-0.676,-0.427,0.572,-597.1,49.56,92.75
27855,-0.682,-0.437,0.499,-518.63,50.19,72.59
27862,-0.705,-0.53,0.381,-449.82,48.09,55.16
27871,-0.731,-0.603,0.261,-403.55,42.98,47.46
27879,-0.743,-0.654,0.205,-389.41,36.96,46.48
27888,-0.754,-0.654,0.148,-383.32,32.13,49.7
27896,-0.749,-0.625,0.09,-374.36,25.34,51.03
27904,-0.755,-0.619,0.077,-363.23,18.13,48.58
27913,-0.741,-0.608,0.048,-332.5,15.75,45.71
27921,-0.744,-0.57,-0.009,-291.13,12.6,43.96
27929,-0.77,-0.587,-0.045,-267.05,6.93,38.5
27938,-0.772,-0.571,-0.044,-233.73,1.12,33.18
27946,-0.758,-0.568,-0.02,-197.12,-3.5,25.76
27955,-0.765,-0.635,-0.003,-176.47,-3.78,17.92
27963,-0.769,-0.705,-0.036,-173.32,1.4,18.97
27971,-0.781,-0.706,-0.09,-182.63,6.16,27.79
27980,-0.776,-0.668,-0.139,-193.76,7.21,34.44
27989,-0.759,-0.62,-0.199,-212.8,5.74,37.38
27998,-0.789,-0.619,-0.22,-250.39,3.85,38.29
28005,-0.786,-0.588,-0.247,-277.83,2.73,41.16
28013,-0.782,-0.572,-0.273,-301.35,0.7,43.05
28022,-0.804,-0.562,-0.287,-325.01,-1.75,44.8
28030,-0.805,-0.521,-0.308,-334.88,-4.2,46.41
28038,-0.796,-0.435,-0.307,-321.51,-9.1,43.4
28047,-0.797,-0.399,-0.274,-287.0,-13.86,31.85
28055,-0.81,-0.405,-0.262,-238.98,-14.49,17.85
28064,-0.801,-0.44,-0.329,-207.83,-9.94,9.03
28072,-0.815,-0.49,-0.397,-209.93,-7.63,8.4
28080,-0.808,-0.467,-0.444,-229.53,-8.75,14.49
28089,-0.809,-0.439,-0.449,-259.21,-12.04,19.25
28097,-0.797,-0.384,-0.442,-286.09,-14.42,21.91
28106,-0.811,-0.341,-0.409,-304.71,-14.7,20.16
28114,-0.813,-0.309,-0.348,-296.73,-12.39,15.82
28123,-0.799,-0.308,-0.349,-265.58,-5.39,9.03
28132,-0.821,-0.351,-0.371,-234.64,1.12,5.88
28139,-0.833,-0.325,-0.411,-193.83,4.41,8.89
28147,-0.827,-0.266,-0.464,-156.38,5.18,12.04
28156,-0.827,-0.194,-0.49,-124.95,3.85,10.71
28164,-0.823,-0.184,-0.542,-104.02,2.17,4.69
28173,-0.83,-0.233,-0.574,-98.07,-2.03,-1.19
28181,-0.835,-0.264,-0.553,-99.26,-8.05,-0.56
28189,-0.847,-0.266,-0.512,-99.33,-11.27,3.57
28198,-0.833,-0.226,-0.489,-90.58,-11.27,7.35
28206,-0.832,-0.192,-0.46,-80.29,-9.31,8.12
28215,-0.823,-0.167,-0.45,-66.01,-4.83,6.02
28223,-0.814,-0.153,-0.45,-49.14,0.14,2.59
28231,-0.816,-0.149,-0.466,-28.98,2.66,-0.98
28240,-0.82,-0.151,-0.482,-14.14,4.27,-3.99
28248,-0.815,-0.169,-0.512,-8.54,5.32,-5.95
28257,-0.832,-0.2,-0.538,-8.68,4.34,-5.95
28266,-0.815,-0.197,-0.553,-11.76,2.31,-3.64
28273,-0.811,-0.236,-0.571,-23.8,0.35,-3.64
28282,-0.827,-0.253,-0.567,-35.77,-3.71,-0.63
28290,-0.812,-0.203,-0.556,-51.59,-5.53,4.62
28298,-0.816,-0.189,-0.523,-69.79,-6.09,6.3
28307,-0.82,-0.174,-0.496,-70.07,-6.58,6.65
28315,-0.831,-0.165,-0.458,-65.8,-2.87,6.23
28323,-0.833,-0.141,-0.46,-47.6,2.73,5.6
28332,-0.83,-0.109,-0.49,-27.44,7.91,3.5
28340,-0.824,-0.105,-0.523,-12.95,10.71,-0.84
28349,-0.825,-0.144,-0.553,-1.68,10.29,-4.97
28357,-0.828,-0.175,-0.57,4.55,6.51,-5.46
28365,-0.83,-0.187,-0.568,3.43,3.71,-3.29
28374,-0.815,-0.187,-0.571,-2.59,1.75,-0.84
28382,-0.82,-0.192,-0.559,-8.89,-0.77,0.91
28391,-0.815,-0.175,-0.537,-13.09,-2.52,3.43
28400,-0.818,-0.149,-0.51,-15.75,-2.66,4.9
28407,-0.817,-0.12,-0.491,-13.09,-0.91,4.48
