Time,aX,aY,aZ,gX,gY,gZ
3310,-0.548,0.302,0.768,1.68,-1.96,2.45
3318,-0.549,0.307,0.774,2.66,-2.17,2.31
3327,-0.549,0.314,0.782,3.15,-2.31,1.61
3335,-0.546,0.321,0.786,1.05,-1.68,0.77
3343,-0.544,0.321,0.789,-4.9,-0.14,0.14
3352,-0.549,0.309,0.799,-8.82,1.4,-0.28
3360,-0.552,0.299,0.792,-4.76,2.03,-0.77
3368,-0.552,0.291,0.777,-1.33,2.17,-1.26
3377,-0.552,0.284,0.772,0.42,1.68,-1.19
3385,-0.553,0.281,0.773,3.08,0.28,-0.42
3394,-0.552,0.288,0.776,4.13,-1.05,0.77
3403,-0.551,0.296,0.785,2.38,-1.12,1.54
3410,-0.549,0.307,0.791,0.98,-0.35,1.82
3419,-0.55,0.314,0.789,-0.49,1.26,1.47
3427,-0.551,0.315,0.779,-1.75,3.15,0.56
3435,-0.553,0.309,0.764,-2.1,4.13,-0.63
3444,-0.554,0.301,0.75,-2.94,4.2,-1.61
3452,-0.554,0.295,0.741,-3.5,3.36,-2.1
3461,-0.554,0.285,0.742,-4.41,1.89,-2.03
3469,-0.557,0.279,0.751,-5.53,0.21,-1.54
3477,-0.558,0.273,0.761,-4.55,-1.19,-0.98
3486,-0.558,0.271,0.765,-1.19,-1.96,-0.35
3494,-0.557,0.278,0.769,0.42,-2.45,0.77
3503,-0.557,0.287,0.78,-1.4,-2.59,2.03
3511,-0.555,0.296,0.791,-1.47,-2.59,2.87
3519,-0.553,0.302,0.791,-0.14,-2.03,2.66
3528,-0.553,0.301,0.787,1.47,-1.19,1.68
3537,-0.551,0.304,0.779,3.15,-0.77,1.12
3544,-0.549,0.305,0.775,2.52,-0.42,0.98
3553,-0.55,0.302,0.778,0.7,-0.21,0.84
3561,-0.553,0.299,0.776,1.4,0.0,0.42
3570,-0.551,0.296,0.769,2.94,0.0,-0.14
3578,-0.551,0.293,0.762,3.71,0.28,-0.21
3586,-0.554,0.294,0.757,3.43,0.42,0.28
3595,-0.557,0.288,0.766,0.35,0.21,0.49
3603,-0.559,0.284,0.774,0.21,-0.35,0.56
3611,-0.556,0.29,0.77,1.47,-0.7,0.91
3620,-0.552,0.291,0.769,-2.38,-0.14,1.47
3628,-0.552,0.292,0.764,-10.08,1.75,2.31
3637,-0.553,0.307,0.767,-25.41,3.99,3.5
3645,-0.531,0.337,0.775,-67.41,9.1,5.04
3653,-0.547,0.267,0.828,-145.67,20.72,6.79
3662,-0.535,0.178,0.81,-213.43,35.0,12.88
3671,-0.571,0.08,0.756,-318.57,48.72,24.78
3680,-0.586,-0.07,0.791,-485.45,59.78,44.87
3687,-0.644,-0.29,0.768,-701.68,69.02,76.44
3695,-0.596,-0.593,0.788,-972.44,75.39,120.05
3704,-0.578,-0.811,0.765,-1213.94,65.59,177.24
3712,-0.522,-0.997,0.869,-1409.38,36.68,227.92
3720,-0.542,-0.948,1.061,-1453.27,4.41,261.17
3729,-0.533,-0.624,1.109,-1345.26,-11.13,260.33
3737,-0.475,-0.517,1.139,-1266.02,0.91,226.38
3746,-0.576,-0.612,0.936,-1231.37,42.91,191.94
3754,-0.65,-0.726,0.509,-1195.46,79.66,171.43
3762,-0.73,-0.599,0.183,-1076.6,83.65,165.34
3771,-0.762,-0.271,-0.054,-861.7,60.83,149.87
3779,-0.737,-0.089,-0.198,-635.88,30.94,102.06
3788,-0.757,-0.182,-0.204,-462.07,9.66,39.2
3796,-0.754,-0.384,-0.178,-317.8,1.26,-7.98
3805,-0.713,-0.547,-0.191,-211.61,2.8,-29.89
3814,-0.765,-0.625,-0.213,-151.83,7.84,-34.09
3821,-0.756,-0.671,-0.336,-116.13,11.97,-27.72
3829,-0.758,-0.691,-0.408,-100.1,6.58,-16.38
3838,-0.758,-0.655,-0.382,-93.94,-2.24,-3.01
3846,-0.737,-0.554,-0.33,-88.41,-6.16,7.35
3855,-0.726,-0.459,-0.3,-71.12,-7.49,8.96
3863,-0.713,-0.431,-0.28,-51.24,-6.37,2.24
3871,-0.714,-0.465,-0.258,-38.15,-1.68,-6.93
3880,-0.735,-0.543,-0.303,-28.35,5.88,-12.46
3888,-0.747,-0.563,-0.345,-17.36,9.73,-9.17
3896,-0.737,-0.532,-0.392,-4.9,9.31,-4.69
3905,-0.734,-0.522,-0.383,-4.62,7.28,-4.2
3913,-0.734,-0.531,-0.366,-2.38,6.37,-5.04
3922,-0.738,-0.553,-0.378,-0.7,7.77,-5.53
3930,-0.736,-0.566,-0.393,-3.43,9.31,-4.34
3939,-0.74,-0.566,-0.4,-5.04,9.73,-2.87
3948,-0.74,-0.55,-0.411,2.24,8.96,-1.54
3955,-0.732,-0.532,-0.414,11.48,7.21,-1.75
3964,-0.727,-0.53,-0.405,18.76,5.74,-3.92
3972,-0.724,-0.531,-0.413,24.57,4.76,-5.39
3980,-0.723,-0.538,-0.413,21.7,3.29,-5.39
3989,-0.724,-0.553,-0.398,15.96,1.96,-4.62
3997,-0.726,-0.558,-0.376,15.33,1.61,-3.85
4005,-0.716,-0.562,-0.379,19.53,3.15,-4.13
4014,-0.706,-0.596,-0.403,19.53,4.2,-5.6
4022,-0.718,-0.637,-0.391,9.24,2.94,-4.34
4031,-0.719,-0.622,-0.366,2.31,2.38,0.91
4039,-0.714,-0.574,-0.356,1.61,3.71,4.27
4047,-0.712,-0.537,-0.354,6.86,5.67,3.22
4056,-0.707,-0.538,-0.376,17.22,7.63,-1.05
4064,-0.722,-0.574,-0.437,15.96,7.84,-4.13
4073,-0.731,-0.58,-0.434,2.59,4.13,-1.61
4082,-0.727,-0.557,-0.4,-4.9,1.05,1.75
4089,-0.728,-0.536,-0.387,-4.9,1.05,2.1
4098,-0.728,-0.538,-0.399,0.63,2.03,-0.07
4106,-0.718,-0.549,-0.389,6.09,1.61,-2.45
4114,-0.709,-0.569,-0.356,9.52,2.24,-4.97
4123,-0.716,-0.621,-0.386,8.89,4.9,-5.88
4131,-0.729,-0.636,-0.408,1.47,4.34,-1.33
4140,-0.728,-0.598,-0.396,-3.36,2.24,4.41
4148,-0.722,-0.55,-0.371,-3.08,1.68,6.65
4156,-0.721,-0.526,-0.367,2.52,3.08,4.62
4165,-0.721,-0.53,-0.376,9.94,4.76,0.84
4173,-0.712,-0.53,-0.376,14.98,5.88,-1.75
4181,-0.706,-0.562,-0.394,14.56,6.02,-3.92
4190,-0.721,-0.602,-0.406,5.53,3.92,-2.52
4198,-0.727,-0.589,-0.396,-3.85,2.38,2.73
4207,-0.721,-0.537,-0.391,-4.48,1.75,5.88
4216,-0.726,-0.513,-0.388,-0.91,1.61,3.71
4223,-0.728,-0.518,-0.389,6.93,2.17,-0.77
4232,-0.714,-0.537,-0.39,15.4,2.24,-4.76
4240,-0.716,-0.597,-0.402,15.12,1.89,-6.72
4249,-0.723,-0.644,-0.396,3.57,0.98,-3.5
4257,-0.721,-0.631,-0.393,-4.55,1.4,2.45
4265,-0.721,-0.59,-0.392,-5.67,2.03,6.3
4274,-0.725,-0.555,-0.397,-4.06,2.94,6.65
4282,-0.722,-0.534,-0.402,0.98,3.29,4.41
4290,-0.722,-0.531,-0.388,7.21,2.8,0.77
4299,-0.717,-0.543,-0.387,12.39,3.71,-2.87
4307,-0.716,-0.577,-0.413,11.06,3.92,-4.13
