Time,aX,aY,aZ,gX,gY,gZ
99060,-0.536,-0.218,0.818,0.21,-0.35,-0.14
99069,-0.538,-0.217,0.816,0.35,-0.35,-0.07
99079,-0.538,-0.215,0.813,0.42,-0.42,0.14
99088,-0.537,-0.215,0.811,0.0,-0.14,0.35
99098,-0.536,-0.215,0.812,-0.42,0.0,0.42
99108,-0.537,-0.214,0.813,-0.63,-0.07,0.42
99117,-0.537,-0.215,0.815,-0.49,-0.14,0.56
99127,-0.535,-0.215,0.816,-0.35,-0.21,0.7
99137,-0.534,-0.215,0.815,-0.28,-0.14,0.56
99146,-0.535,-0.216,0.818,0.0,-0.42,0.42
99156,-0.536,-0.215,0.821,0.42,-0.84,0.49
99165,-0.535,-0.213,0.821,1.12,-1.33,0.56
99175,-0.534,-0.21,0.821,1.75,-1.82,0.63
99185,-0.533,-0.204,0.82,1.61,-1.75,0.77
99194,-0.529,-0.203,0.817,0.77,-1.05,0.77
99204,-0.53,-0.202,0.815,-0.21,-0.35,0.63
99213,-0.53,-0.205,0.815,-1.05,0.07,0.42
99223,-0.533,-0.208,0.817,-1.26,0.21,0.21
99233,-0.536,-0.206,0.817,-1.05,0.07,0.14
99242,-0.533,-0.204,0.818,-0.77,-0.28,0.14
99252,-0.532,-0.205,0.82,-0.84,-0.28,0.14
99262,-0.531,-0.204,0.821,-0.77,-0.07,0.0
99271,-0.53,-0.206,0.821,-0.7,0.07,-0.21
99281,-0.533,-0.21,0.82,-0.49,0.0,-0.49
99290,-0.533,-0.211,0.819,0.14,-0.42,-0.63
99300,-0.532,-0.211,0.818,0.77,-0.84,-0.84
99310,-0.533,-0.211,0.817,0.98,-0.98,-0.91
99319,-0.534,-0.212,0.814,0.7,-0.84,-1.12
99329,-0.537,-0.213,0.812,-0.07,-0.49,-1.05
99338,-0.537,-0.214,0.812,-0.91,0.0,-0.77
99348,-0.539,-0.215,0.815,-1.54,0.21,-0.35
99358,-0.536,-0.215,0.815,-1.68,0.28,0.0
99367,-0.536,-0.215,0.816,-1.4,0.0,0.07
99377,-0.533,-0.213,0.815,-0.91,-0.63,-0.07
99387,-0.533,-0.213,0.814,-0.49,-0.98,-0.42
99396,-0.534,-0.214,0.82,0.21,-1.75,-0.91
99406,-0.535,-0.218,0.826,1.54,-2.73,-1.33
99415,-0.536,-0.227,0.847,5.04,-3.5,-2.03
99425,-0.53,-0.228,0.875,15.26,-5.81,-4.55
99435,-0.522,-0.219,0.888,33.81,-11.76,-9.45
99444,-0.526,-0.209,0.9,56.49,-19.11,-15.68
99454,-0.518,-0.2,0.933,82.95,-28.63,-22.96
99463,-0.491,-0.176,0.915,112.07,-37.73,-34.16
99473,-0.506,-0.17,0.955,142.31,-42.56,-42.7
99483,-0.468,-0.184,0.983,171.08,-49.56,-53.76
99492,-0.505,-0.187,1.003,204.75,-55.51,-63.42
99502,-0.536,-0.207,1.038,240.66,-58.31,-68.39
99512,-0.567,-0.215,1.048,279.3,-63.84,-68.25
99521,-0.563,-0.209,1.067,321.79,-73.78,-63.56
99531,-0.514,-0.16,1.023,362.67,-87.22,-57.75
99540,-0.474,-0.06,0.993,391.16,-97.23,-54.25
99550,-0.451,0.051,0.932,401.52,-97.65,-51.87
99560,-0.405,0.15,0.863,396.2,-93.87,-49.35
99569,-0.378,0.243,0.811,374.08,-85.89,-46.06
99579,-0.37,0.339,0.762,334.67,-72.03,-40.6
99589,-0.34,0.393,0.693,282.38,-53.97,-34.09
99598,-0.343,0.454,0.656,221.13,-31.08,-29.33
99608,-0.366,0.477,0.644,158.13,-6.86,-22.75
99617,-0.376,0.46,0.631,100.31,10.36,-15.75
99627,-0.391,0.441,0.646,51.73,21.0,-9.45
99637,-0.412,0.405,0.666,13.02,29.75,-4.83
99646,-0.428,0.361,0.701,-13.23,36.89,-0.77
99656,-0.452,0.332,0.73,-27.3,38.43,2.17
99665,-0.459,0.316,0.743,-31.85,35.63,4.48
99675,-0.459,0.315,0.739,-31.15,29.68,5.88
99685,-0.456,0.323,0.741,-28.91,23.94,6.23
99694,-0.466,0.331,0.757,-26.04,18.06,6.72
99704,-0.455,0.33,0.772,-20.58,11.62,6.51
99714,-0.437,0.334,0.78,-11.34,5.32,5.74
99723,-0.431,0.357,0.784,-2.03,-0.7,4.48
99733,-0.427,0.384,0.781,3.08,-5.25,3.29
99742,-0.424,0.398,0.785,3.92,-7.7,2.73
99752,-0.415,0.409,0.8,3.43,-8.68,3.08
99762,-0.41,0.405,0.826,1.47,-8.19,3.57
99771,-0.403,0.406,0.834,-0.21,-5.67,4.06
99781,-0.401,0.415,0.834,-1.19,-2.73,4.13
99790,-0.404,0.42,0.83,-3.15,-0.35,3.85
99800,-0.407,0.416,0.836,-5.39,0.91,3.43
99810,-0.402,0.409,0.842,-5.32,1.4,2.59
99819,-0.401,0.402,0.844,-2.8,0.91,1.33
99829,-0.405,0.397,0.837,0.84,0.21,0.0
99839,-0.411,0.392,0.831,4.69,-1.4,-1.47
99848,-0.418,0.388,0.822,8.26,-3.01,-2.31
99858,-0.416,0.387,0.81,10.92,-4.55,-2.66
99867,-0.414,0.394,0.8,11.55,-5.32,-3.01
99877,-0.413,0.397,0.791,9.24,-4.97,-3.08
99887,-0.418,0.395,0.782,4.13,-3.43,-2.52
99896,-0.427,0.382,0.792,-2.17,-0.98,-1.54
