Time,aX,aY,aZ,gX,gY,gZ
31774,-0.921,0.344,0.181,-43.33,28.14,35.21
31783,-0.939,0.375,0.172,-40.88,30.17,29.61
31791,-0.93,0.386,0.168,-40.6,29.75,22.26
31799,-0.922,0.382,0.159,-40.67,29.26,14.91
31808,-0.918,0.366,0.151,-39.48,29.12,8.26
31816,-0.914,0.345,0.131,-28.56,28.49,2.52
31825,-0.916,0.322,0.086,-13.02,26.46,-1.61
31833,-0.951,0.29,0.052,-8.82,20.09,-4.34
31841,-0.947,0.232,0.087,-7.84,10.08,-6.44
31850,-0.938,0.213,0.143,23.94,0.56,-3.78
31858,-0.925,0.261,0.164,58.52,-2.66,3.29
31867,-0.941,0.301,0.195,50.82,1.26,6.79
31876,-0.923,0.3,0.301,25.41,10.64,6.16
31883,-0.926,0.286,0.236,17.99,27.09,6.93
31892,-0.93,0.283,0.175,4.13,37.66,11.13
31900,-0.942,0.284,0.13,-9.73,43.12,15.26
31908,-0.943,0.29,0.113,-12.88,43.26,18.06
31917,-0.939,0.307,0.111,7.49,40.6,19.32
31925,-0.944,0.335,0.09,42.14,36.96,17.57
31934,-0.922,0.354,0.075,53.76,33.95,13.72
31942,-0.912,0.336,0.093,41.79,33.04,9.66
31950,-0.984,0.24,0.082,43.05,28.35,14.14
31959,-0.974,0.254,0.029,94.01,16.24,24.01
31967,-0.932,0.254,0.043,169.05,1.82,25.06
31976,-0.927,0.287,0.056,221.83,-5.04,28.07
31984,-0.892,0.331,0.03,236.11,0.7,29.05
31992,-0.897,0.326,-0.02,242.97,8.19,21.42
32001,-0.916,0.257,0.017,295.47,7.49,8.96
32010,-0.906,0.221,0.082,452.34,0.35,-4.55
32017,-0.875,0.246,0.077,646.52,-2.03,-24.36
32026,-0.817,0.303,0.073,770.56,3.29,-49.49
32034,-0.844,0.296,-0.036,875.63,8.54,-75.74
32043,-0.936,0.216,-0.514,1001.7,-16.1,-92.75
32051,-0.908,0.045,-0.667,1128.12,-87.08,-86.8
32059,-0.937,-0.048,-0.496,1334.2,-171.36,-62.79
32068,-0.947,0.259,-0.318,1577.94,-229.18,-29.82
32076,-0.842,0.831,-0.261,1591.52,-230.37,-39.06
32084,-0.911,0.834,-0.165,1352.96,-203.28,-110.11
32093,-0.913,0.339,0.057,1109.15,-188.86,-180.53
32101,-0.985,-0.165,0.243,996.17,-181.3,-202.58
32110,-1.014,-0.441,0.327,895.09,-159.46,-184.94
32118,-1.058,-0.575,0.334,710.78,-115.36,-153.16
32126,-1.031,-0.813,0.323,470.4,-58.66,-113.33
32135,-0.992,-0.868,0.211,259.77,-5.39,-58.87
32144,-1.009,-0.715,0.04,118.09,27.51,-3.15
32153,-0.969,-0.417,-0.117,32.83,38.29,36.12
32160,-0.95,-0.207,-0.18,-15.19,28.49,44.17
32168,-0.926,-0.116,-0.179,-41.16,12.25,32.62
32177,-0.953,-0.13,-0.083,-52.43,-4.2,15.54
32185,-0.928,-0.171,0.05,-31.15,-15.47,4.41
32193,-0.938,-0.204,0.132,6.79,-16.59,-1.89
32202,-0.928,-0.226,0.118,33.18,-9.87,-4.41
32210,-0.946,-0.252,0.059,31.92,-3.15,-6.02
32219,-0.967,-0.278,0.025,15.54,-1.19,-3.85
32227,-0.966,-0.281,0.016,0.63,-2.1,0.7
32235,-0.973,-0.272,0.029,-15.75,-2.66,5.11
32244,-0.966,-0.257,0.044,-33.11,-1.26,9.03
32252,-0.964,-0.245,0.058,-49.84,1.47,11.48
32261,-0.969,-0.244,0.071,-60.83,4.55,13.51
32269,-0.962,-0.239,0.079,-66.71,8.26,15.89
32278,-0.967,-0.228,0.068,-70.0,13.72,17.57
32287,-0.953,-0.203,0.043,-67.62,18.76,17.71
32294,-0.961,-0.159,-0.002,-54.18,20.16,15.82
32302,-0.98,-0.12,-0.056,-34.02,16.38,10.15
32311,-0.986,-0.136,-0.072,-24.71,9.66,1.82
32319,-0.991,-0.189,-0.057,-24.01,3.5,-4.48
32328,-0.985,-0.213,-0.049,-28.28,-0.7,-5.32
32336,-0.988,-0.216,-0.037,-37.03,-3.92,-4.13
32344,-0.984,-0.214,-0.024,-47.6,-5.46,-2.87
32353,-0.982,-0.228,0.01,-55.51,-5.6,-2.31
32361,-0.954,-0.234,0.036,-48.65,-3.57,-0.7
32369,-0.952,-0.23,0.033,-28.28,-0.91,0.21
32378,-0.956,-0.235,0.018,-11.48,1.47,-0.07
32386,-0.962,-0.261,0.022,-2.31,3.22,-0.07
32395,-0.961,-0.267,0.014,4.13,5.67,2.52
32403,-0.947,-0.258,-0.02,2.03,9.03,5.18
32412,-0.951,-0.248,-0.05,-8.12,9.87,6.51
32421,-0.955,-0.235,-0.049,-14.7,6.58,7.84
32428,-0.968,-0.208,-0.02,-16.17,2.24,9.17
32437,-0.938,-0.137,0.006,-15.12,-0.77,9.45
32445,-0.945,-0.111,0.029,-12.11,-1.89,1.96
32453,-0.969,-0.172,0.032,-5.11,0.21,-8.33
32462,-0.969,-0.239,0.005,1.89,3.29,-11.69
32470,-0.972,-0.271,-0.024,0.84,4.27,-8.96
32478,-0.976,-0.274,-0.034,-8.19,4.27,-3.92
32487,-0.966,-0.25,-0.049,-17.71,4.41,0.63
32495,-0.968,-0.235,-0.055,-24.71,4.06,2.66
32504,-0.972,-0.225,-0.067,-18.55,1.96,3.08
32512,-0.978,-0.217,-0.068,-8.61,-2.03,2.94
32520,-0.978,-0.215,-0.031,-7.07,-5.18,3.01
32529,-0.973,-0.202,0.012,-6.93,-5.18,3.99
32537,-0.958,-0.188,0.024,-6.09,-1.96,3.85
32546,-0.956,-0.183,-0.001,-11.76,2.1,1.68
32555,-0.978,-0.206,-0.027,-20.58,4.27,-1.12
32562,-0.98,-0.222,-0.047,-22.61,3.78,-1.19
32571,-0.977,-0.223,-0.047,-21.21,1.68,-0.07
32579,-0.976,-0.222,-0.035,-19.67,-0.07,0.63
32587,-0.977,-0.214,-0.018,-15.47,-0.42,1.33
32596,-0.97,-0.19,-0.027,-4.06,-0.42,1.89
32604,-0.961,-0.177,-0.047,3.43,-1.61,-0.56
32613,-0.959,-0.202,-0.028,2.73,-4.27,-4.48
32621,-0.954,-0.229,-0.001,6.02,-5.6,-5.81
32629,-0.953,-0.245,0.015,8.47,-4.13,-4.9
32638,-0.96,-0.247,0.015,7.42,-0.91,-3.01
32646,-0.954,-0.231,0.006,4.97,1.96,-0.35
32654,-0.96,-0.216,-0.021,4.83,3.85,0.14
32663,-0.969,-0.222,-0.053,2.1,4.27,-1.26
32671,-0.976,-0.244,-0.064,-1.96,2.59,-1.47
32680,-0.976,-0.25,-0.058,-3.01,-0.21,0.63
32689,-0.969,-0.243,-0.035,-3.29,-2.31,3.29
32696,-0.968,-0.224,-0.022,-4.97,-2.66,5.25
32705,-0.964,-0.205,-0.024,-12.81,-1.26,5.6
32713,-0.95,-0.2,-0.02,-21.14,-0.14,4.27
32722,-0.97,-0.198,-0.028,-18.06,-0.07,2.24
32730,-0.975,-0.205,-0.044,-14.07,-0.35,0.91
32738,-0.975,-0.222,-0.023,-13.16,-1.33,0.77
32747,-0.973,-0.209,-0.015,-6.72,-1.61,2.03
32755,-0.96,-0.198,-0.012,-4.97,-0.7,1.82
32763,-0.957,-0.203,-0.017,-6.23,0.49,0.0
32772,-0.967,-0.213,-0.022,-7.77,0.63,-0.98
