Time,aX,aY,aZ,gX,gY,gZ
40723,-0.478,-0.036,0.903,-17.08,2.66,0.0
40732,-0.487,-0.026,0.89,-16.66,6.16,-1.05
40740,-0.494,-0.029,0.872,-14.7,7.77,-4.06
40748,-0.481,-0.019,0.858,-6.37,7.07,-7.21
40757,-0.463,0.021,0.848,4.83,5.53,-9.94
40765,-0.497,0.168,0.792,5.74,3.64,-15.75
40774,-0.49,0.226,0.793,-0.42,-1.82,-37.31
40782,-0.495,0.311,0.711,41.65,-12.46,-72.24
40790,-0.479,0.445,0.592,150.22,-38.71,-121.66
40799,-0.473,0.54,0.518,379.82,-95.62,-185.43
40807,-0.433,0.578,0.468,734.23,-184.17,-248.99
40816,-0.153,0.556,0.466,1187.34,-306.25,-292.67
40824,-0.044,0.454,0.688,1610.28,-444.71,-286.58
40833,-0.187,1.718,0.179,1463.21,-510.93,-251.02
40842,-0.022,0.48,2.158,520.1,-431.13,-288.33
40849,-0.402,0.191,1.998,1071.14,-341.95,-253.54
40857,-0.329,1.01,0.416,1767.36,-341.32,-203.49
40866,-0.137,1.207,0.209,1417.92,-341.74,-173.25
40874,-0.201,1.13,0.461,888.16,-258.23,-128.87
40883,-0.278,1.028,0.662,537.95,-143.15,-97.93
40891,-0.335,0.912,0.572,394.31,-49.14,-77.14
40899,-0.309,0.887,0.166,366.17,17.92,-51.87
40908,-0.289,0.919,-0.29,337.05,52.08,-27.86
40916,-0.273,0.957,-0.585,264.11,47.04,-9.87
40925,-0.238,0.98,-0.608,169.05,20.02,-0.42
40933,-0.275,0.945,-0.44,115.5,-11.13,-1.33
40941,-0.283,0.875,-0.184,139.3,-34.44,-2.87
40950,-0.309,0.89,-0.096,259.63,-41.86,-4.76
40958,-0.314,0.956,-0.244,389.41,-32.83,-7.98
40967,-0.303,0.956,-0.448,463.4,-22.19,-20.09
40976,-0.316,0.892,-0.642,480.55,-20.16,-39.06
40983,-0.338,0.713,-0.709,442.33,-24.08,-56.91
40992,-0.4,0.496,-0.683,410.2,-32.41,-62.16
41000,-0.367,0.404,-0.63,412.37,-44.1,-47.11
41008,-0.405,0.419,-0.555,443.38,-50.75,-28.21
41017,-0.416,0.461,-0.628,474.46,-47.04,-14.84
41025,-0.41,0.447,-0.69,442.82,-33.6,-10.36
41034,-0.402,0.378,-0.714,397.81,-17.22,-12.74
41042,-0.419,0.353,-0.849,387.31,-4.41,-14.63
41050,-0.412,0.304,-0.952,354.9,1.54,-16.17
41059,-0.417,0.236,-1.033,309.54,1.19,-15.89
41067,-0.404,0.231,-1.152,231.91,-1.47,-16.24
41075,-0.404,0.178,-1.102,114.87,-8.12,-18.9
41084,-0.404,0.121,-0.996,47.46,-17.57,-15.82
41092,-0.423,0.129,-0.964,23.03,-24.36,-6.09
41101,-0.427,0.169,-0.892,-25.9,-24.08,3.15
41110,-0.397,0.191,-0.745,-66.29,-19.32,8.4
41117,-0.387,0.235,-0.685,-48.44,-13.09,9.03
41126,-0.391,0.286,-0.736,-15.4,-5.11,4.76
41134,-0.396,0.269,-0.78,-4.2,3.01,-3.22
41142,-0.394,0.247,-0.816,19.25,3.64,-10.92
41151,-0.404,0.223,-0.854,28.63,2.94,-18.76
41159,-0.401,0.168,-0.843,19.32,3.22,-23.87
41168,-0.412,0.144,-0.857,19.67,3.29,-23.66
41176,-0.428,0.131,-0.853,15.05,1.82,-19.81
41184,-0.426,0.128,-0.829,5.04,1.82,-13.02
41193,-0.426,0.126,-0.811,-3.22,3.99,-6.23
41201,-0.42,0.135,-0.785,-2.8,5.88,0.42
41210,-0.409,0.162,-0.794,7.07,8.19,5.04
41218,-0.414,0.185,-0.821,21.14,10.29,6.23
41226,-0.417,0.196,-0.862,31.29,11.48,5.67
41235,-0.412,0.196,-0.891,36.33,11.13,4.34
41244,-0.414,0.194,-0.917,36.82,9.59,2.24
41251,-0.417,0.18,-0.914,27.58,7.84,0.0
41260,-0.419,0.172,-0.896,21.0,5.88,-0.14
41268,-0.42,0.18,-0.887,14.28,5.39,0.91
41277,-0.415,0.175,-0.867,0.84,7.49,1.19
41285,-0.416,0.174,-0.871,-2.59,9.8,1.82
41293,-0.412,0.182,-0.884,-3.43,10.01,2.17
41302,-0.403,0.179,-0.874,-5.67,9.17,1.33
41310,-0.397,0.166,-0.855,6.65,8.26,0.14
41319,-0.402,0.174,-0.888,19.88,9.66,-1.54
41327,-0.398,0.169,-0.915,14.91,12.53,-2.94
41335,-0.393,0.167,-0.955,14.28,12.32,-3.99
41344,-0.391,0.162,-0.972,8.82,8.89,-5.39
41352,-0.388,0.153,-0.949,2.87,3.92,-6.37
41360,-0.391,0.146,-0.923,1.26,0.7,-6.3
41369,-0.394,0.142,-0.909,-1.61,0.84,-5.32
41378,-0.396,0.146,-0.917,-8.54,2.73,-4.62
41387,-0.396,0.149,-0.925,-17.36,3.57,-4.48
41394,-0.392,0.143,-0.918,-22.61,2.24,-4.76
41402,-0.396,0.135,-0.902,-18.34,-0.07,-5.53
41411,-0.403,0.134,-0.908,-12.6,-0.77,-5.53
41419,-0.409,0.137,-0.897,-15.26,-0.7,-4.34
41428,-0.405,0.15,-0.884,-15.61,-0.77,-2.66
41436,-0.405,0.158,-0.872,-16.1,0.21,-2.03
41444,-0.4,0.162,-0.855,-8.96,0.91,-1.47
41453,-0.399,0.18,-0.883,2.94,1.61,-2.38
41461,-0.4,0.171,-0.898,-0.28,3.71,-4.27
41469,-0.399,0.166,-0.924,1.05,4.13,-4.97
41478,-0.395,0.158,-0.935,-0.28,2.45,-4.97
41486,-0.396,0.146,-0.924,-4.83,0.42,-4.13
41495,-0.394,0.143,-0.915,-9.59,-0.56,-2.24
41503,-0.383,0.141,-0.89,-14.42,-1.12,-0.77
41512,-0.385,0.142,-0.873,-11.41,-2.1,-0.14
41521,-0.395,0.143,-0.851,-8.68,-2.1,0.0
41528,-0.399,0.151,-0.828,-8.12,0.21,0.84
41536,-0.398,0.165,-0.814,-3.92,4.27,2.31
41545,-0.393,0.186,-0.825,4.2,8.75,3.01
41553,-0.388,0.193,-0.85,9.94,12.88,1.54
41562,-0.389,0.192,-0.904,15.26,15.19,-0.84
41570,-0.385,0.18,-0.944,15.61,14.07,-2.59
41578,-0.391,0.176,-0.962,13.65,10.57,-3.36
41587,-0.39,0.178,-0.979,6.51,7.7,-3.85
41595,-0.385,0.157,-0.971,-1.82,4.34,-4.9
41604,-0.39,0.138,-0.953,-1.61,-0.21,-4.06
41612,-0.39,0.136,-0.924,-1.89,-3.71,-0.98
41620,-0.389,0.15,-0.897,-3.5,-4.9,2.03
41629,-0.389,0.169,-0.875,-4.69,-4.48,3.64
41637,-0.391,0.189,-0.865,-4.34,-2.73,3.43
41646,-0.393,0.196,-0.866,-2.1,-0.42,1.4
41655,-0.396,0.197,-0.868,1.54,1.12,-0.91
41662,-0.391,0.188,-0.879,4.27,2.94,-3.29
41671,-0.389,0.172,-0.908,3.57,5.11,-5.32
41679,-0.388,0.156,-0.939,-1.47,5.81,-5.81
41687,-0.386,0.146,-0.955,-5.6,4.34,-4.97
41696,-0.39,0.148,-0.96,-7.07,1.4,-3.5
41704,-0.388,0.155,-0.955,-8.82,-2.03,-1.75
41713,-0.386,0.162,-0.928,-10.15,-5.6,-0.7
41721,-0.386,0.164,-0.895,-10.15,-7.7,-0.77
