Time,aX,aY,aZ,gX,gY,gZ
2323168,-0.615,-0.507,0.609,-0.91,0.0,-1.26
2323177,-0.611,-0.506,0.606,-0.21,-0.28,-1.19
2323187,-0.611,-0.502,0.601,-0.21,-0.35,-1.26
2323196,-0.615,-0.509,0.603,-0.91,-0.7,-1.54
2323206,-0.61,-0.526,0.6,-1.61,-0.49,-1.4
2323215,-0.617,-0.536,0.593,-1.75,0.7,-0.49
2323225,-0.615,-0.534,0.592,-1.33,1.4,0.98
2323234,-0.612,-0.513,0.593,-0.21,1.12,2.45
2323244,-0.605,-0.488,0.595,0.35,0.49,2.8
2323253,-0.601,-0.476,0.595,-0.84,0.0,1.54
2323263,-0.605,-0.49,0.595,-2.52,-0.49,-0.42
2323272,-0.608,-0.505,0.601,-2.73,-0.98,-1.12
2323282,-0.608,-0.504,0.604,-2.1,-1.05,-0.63
2323291,-0.604,-0.499,0.608,-1.33,-1.12,-0.35
2323301,-0.603,-0.5,0.612,-0.63,-0.91,-0.84
2323310,-0.605,-0.502,0.609,-0.56,-0.21,-1.26
2323320,-0.612,-0.504,0.611,-0.91,0.07,-1.61
2323329,-0.612,-0.512,0.608,-1.96,0.21,-1.68
2323339,-0.617,-0.528,0.607,-2.87,0.7,-1.4
2323348,-0.616,-0.528,0.609,-3.08,0.98,-0.42
2323358,-0.618,-0.523,0.613,-3.01,0.91,0.28
2323367,-0.617,-0.518,0.619,-2.38,0.77,0.7
2323377,-0.621,-0.52,0.626,-0.42,0.84,0.42
2323386,-0.628,-0.511,0.642,5.88,0.98,0.21
2323396,-0.624,-0.518,0.678,23.31,-0.28,-0.91
2323405,-0.617,-0.55,0.723,61.53,-3.22,-3.78
2323415,-0.602,-0.526,0.807,136.92,-7.84,-8.12
2323424,-0.462,-0.433,0.894,273.07,-20.02,-19.46
2323434,-0.417,-0.4,0.857,463.89,-35.42,-42.07
2323443,-0.51,-0.468,0.712,661.43,-46.41,-76.3
2323453,-0.674,-0.592,0.471,834.19,-64.19,-109.27
2323462,-0.833,-0.625,0.332,968.31,-92.12,-111.51
2323472,-0.947,-0.663,0.341,1047.76,-130.41,-96.39
2323481,-1.161,-0.958,0.353,1047.69,-154.35,-41.65
2323491,-0.644,-0.417,0.316,955.5,-155.33,47.11
2323500,-0.844,0.127,0.499,756.49,-132.65,112.91
2323510,-0.511,0.745,0.418,496.79,-114.31,179.27
