Time,aX,aY,aZ,gX,gY,gZ
31125,-0.31,-0.269,0.872,-23.94,22.75,-15.89
31133,-0.293,-0.328,0.835,-11.69,14.7,-9.73
31142,-0.103,-0.182,0.887,10.64,4.13,5.67
31150,-0.236,0.196,0.762,33.04,-3.64,15.4
31158,-0.452,-0.003,0.798,17.15,-14.14,-18.27
31167,-0.26,-0.346,1.088,52.5,-39.69,-38.43
31175,-0.298,-0.383,1.072,112.35,-39.2,-19.81
31184,-0.28,-0.405,1.069,72.94,-20.79,8.54
31192,-0.275,-0.267,1.089,12.46,-5.32,39.27
31200,-0.271,-0.121,1.118,-32.55,10.22,54.46
31209,-0.278,-0.027,1.084,-43.61,26.53,52.36
31217,-0.276,-0.007,0.988,-41.23,36.96,39.48
31226,-0.271,-0.051,0.906,-46.55,40.11,26.39
31234,-0.286,-0.096,0.877,-51.94,36.89,19.6
31243,-0.292,-0.108,0.891,-46.27,30.1,16.59
31252,-0.277,-0.1,0.914,-38.92,24.29,14.35
31259,-0.279,-0.09,0.982,-44.17,21.7,14.28
31267,-0.288,-0.076,1.062,-51.17,25.55,14.77
31276,-0.315,-0.08,1.105,-51.03,33.74,12.95
31284,-0.359,-0.132,1.112,-39.97,42.14,7.7
31293,-0.353,-0.169,1.025,-5.46,50.47,2.52
31301,-0.343,-0.152,0.868,26.95,55.3,0.21
31309,-0.348,-0.13,0.741,37.17,52.01,-1.68
31318,-0.361,-0.131,0.688,41.44,39.27,-5.39
31326,-0.36,-0.125,0.683,54.6,20.51,-9.24
31334,-0.347,-0.112,0.74,54.04,2.03,-11.41
31343,-0.352,-0.11,0.846,40.46,-8.75,-11.9
31351,-0.354,-0.11,0.936,36.12,-11.41,-12.11
31360,-0.355,-0.103,0.966,32.34,-7.28,-12.25
31368,-0.354,-0.108,0.942,18.9,0.14,-12.74
31377,-0.371,-0.124,0.882,9.59,4.62,-13.72
31386,-0.37,-0.146,0.813,2.03,2.31,-13.86
31393,-0.372,-0.2,0.841,-13.58,-4.27,-11.13
31402,-0.372,-0.221,0.885,-3.29,-10.29,-5.46
31410,-0.367,-0.167,0.943,21.14,-15.61,1.05
31418,-0.356,-0.117,1.074,66.71,-15.89,3.57
31427,-0.329,-0.055,1.096,144.27,-6.37,0.56
31435,-0.353,-0.056,1.153,232.47,3.78,-7.42
31443,-0.451,-0.139,1.273,423.85,8.96,-20.86
31452,-0.488,-0.143,1.146,784.7,7.77,-38.43
31460,-0.43,0.028,0.82,1142.26,-14.42,-57.26
31469,-0.396,0.205,0.502,1350.72,-57.89,-72.1
31477,-0.344,0.289,0.303,1453.76,-116.2,-72.24
31485,-0.341,0.434,0.187,1582.35,-177.17,-48.02
31494,-0.393,1.089,-0.069,1659.98,-224.7,-8.19
31502,-0.146,1.596,-0.236,1563.87,-225.61,-11.27
31511,-0.157,1.845,-0.44,1372.42,-205.03,-65.8
31520,-0.201,1.474,-0.156,1058.68,-196.77,-145.81
31527,-0.308,0.842,0.099,884.59,-175.07,-189.49
31536,-0.403,0.439,0.007,835.52,-141.89,-177.66
31544,-0.417,0.336,-0.201,734.86,-97.86,-135.17
