Time,aX,aY,aZ,gX,gY,gZ
419756,-0.76,-0.206,0.596,-1.96,2.1,1.96
419766,-0.755,-0.204,0.586,-2.73,2.31,2.1
419776,-0.759,-0.203,0.582,-3.15,1.89,1.82
419785,-0.763,-0.198,0.588,-3.36,0.91,1.68
419795,-0.758,-0.203,0.595,-4.34,0.0,1.68
419805,-0.753,-0.206,0.593,-5.39,0.49,2.03
419814,-0.755,-0.204,0.6,-5.67,0.77,1.82
419824,-0.752,-0.209,0.612,-5.53,0.21,1.4
419833,-0.748,-0.208,0.613,-5.39,0.56,1.12
419843,-0.75,-0.201,0.613,-5.32,1.68,1.19
419853,-0.754,-0.201,0.61,-6.09,2.45,1.05
419862,-0.755,-0.207,0.607,-7.07,2.8,1.05
419872,-0.758,-0.212,0.6,-7.56,3.22,1.4
419882,-0.76,-0.211,0.604,-7.35,3.01,1.26
419891,-0.759,-0.22,0.604,-7.42,2.87,1.12
419901,-0.762,-0.218,0.601,-7.14,3.57,1.33
419910,-0.767,-0.223,0.596,-6.93,3.57,1.19
419920,-0.772,-0.224,0.594,-6.51,2.73,1.26
419930,-0.774,-0.226,0.59,-5.6,1.26,1.26
419939,-0.772,-0.219,0.587,-5.39,0.21,1.68
419949,-0.771,-0.215,0.594,-6.37,0.42,2.24
419959,-0.77,-0.213,0.594,-8.05,1.54,2.73
419968,-0.773,-0.212,0.592,-9.24,2.45,3.01
419978,-0.774,-0.215,0.59,-10.01,2.87,3.29
419987,-0.774,-0.217,0.592,-10.01,2.59,3.57
419997,-0.77,-0.22,0.606,-8.61,1.75,3.36
420007,-0.766,-0.215,0.61,-6.3,1.05,2.94
420016,-0.762,-0.209,0.606,-4.48,1.05,2.31
420026,-0.764,-0.211,0.602,-3.71,1.68,1.82
420036,-0.766,-0.215,0.598,-3.57,2.1,1.61
420045,-0.766,-0.218,0.593,-3.22,1.33,1.4
420055,-0.767,-0.211,0.598,-2.8,0.28,1.33
420064,-0.763,-0.205,0.597,-3.5,0.35,1.4
420074,-0.77,-0.211,0.586,-6.02,1.33,1.75
420084,-0.772,-0.222,0.589,-8.54,1.4,2.31
420093,-0.774,-0.224,0.598,-10.71,1.4,3.5
420103,-0.768,-0.221,0.605,-12.81,2.38,4.76
420113,-0.762,-0.22,0.611,-14.84,4.48,5.74
420122,-0.761,-0.229,0.609,-15.82,7.07,6.37
420132,-0.765,-0.231,0.601,-14.49,8.89,6.51
420141,-0.771,-0.228,0.589,-11.62,8.47,5.81
420151,-0.775,-0.228,0.585,-7.7,5.32,4.2
420161,-0.773,-0.223,0.58,-4.06,2.8,2.66
420170,-0.774,-0.215,0.573,-1.82,1.96,1.68
420180,-0.779,-0.213,0.566,-1.05,1.4,1.05
420190,-0.779,-0.209,0.562,-1.47,0.77,0.77
420199,-0.78,-0.213,0.565,-3.08,0.35,0.7
420209,-0.779,-0.215,0.574,-4.9,0.63,1.19
420218,-0.773,-0.215,0.577,-6.79,1.68,1.96
420228,-0.775,-0.217,0.576,-8.26,2.87,2.17
420238,-0.78,-0.227,0.584,-8.82,2.94,2.1
420247,-0.779,-0.229,0.588,-7.84,2.52,2.1
420257,-0.777,-0.228,0.591,-5.74,2.1,1.54
420267,-0.778,-0.228,0.592,-3.92,2.03,0.98
420276,-0.78,-0.228,0.588,-3.08,2.17,1.05
420286,-0.781,-0.228,0.581,-2.87,2.24,1.19
420295,-0.78,-0.223,0.573,-3.64,2.03,1.33
420305,-0.776,-0.224,0.57,-5.88,2.24,1.89
420315,-0.776,-0.226,0.57,-8.4,3.15,2.45
420324,-0.776,-0.226,0.576,-10.71,4.06,2.87
420334,-0.774,-0.227,0.574,-12.74,5.25,3.64
420344,-0.776,-0.221,0.567,-14.42,6.3,4.27
420353,-0.776,-0.223,0.564,-16.31,6.86,4.48
420363,-0.78,-0.222,0.562,-17.36,7.0,4.55
420372,-0.776,-0.229,0.57,-17.5,6.3,4.41
420382,-0.776,-0.231,0.562,-16.1,6.09,4.13
420392,-0.78,-0.228,0.561,-14.21,5.18,3.57
420401,-0.782,-0.226,0.557,-12.67,3.64,2.8
420411,-0.782,-0.225,0.556,-12.46,2.87,2.52
420421,-0.784,-0.224,0.559,-13.37,2.8,2.52
420430,-0.785,-0.225,0.558,-15.4,3.22,2.87
420440,-0.787,-0.237,0.561,-17.92,4.27,3.92
420449,-0.795,-0.265,0.58,-18.55,5.46,5.39
420459,-0.808,-0.344,0.643,-12.18,5.11,7.0
420469,-0.866,-0.542,0.807,14.91,0.56,8.61
420478,-0.913,-0.913,1.246,98.35,-12.39,9.17
420488,-0.82,-1.031,1.674,293.37,-57.33,-24.36
420498,-0.545,-1.758,1.439,679.77,-201.25,-145.18
420507,-0.424,-1.538,0.78,1320.27,-455.0,-292.74
420517,-0.892,-1.267,0.288,1947.33,-669.69,-406.07
420526,-1.512,-0.495,0.07,2233.7,-757.75,-469.77
