Time,aX,aY,aZ,gX,gY,gZ
2409903,-0.526,-0.268,0.482,737.31,-162.75,-54.81
2409912,-0.427,-0.006,0.4,681.1,-167.23,-30.31
2409922,-0.333,0.344,0.355,559.86,-143.29,-2.66
2409931,-0.238,0.692,0.417,381.71,-93.38,20.3
2409941,-0.191,0.879,0.501,180.11,-27.72,36.12
2409950,-0.224,0.8,0.664,9.17,27.37,42.63
2409960,-0.252,0.558,0.798,-89.53,69.65,40.88
2409969,-0.328,0.375,0.87,-101.15,83.51,30.66
2409979,-0.352,0.254,0.924,-53.62,66.64,16.38
2409988,-0.397,0.239,0.911,16.24,34.16,5.39
2409998,-0.316,0.347,0.919,81.34,-2.17,0.56
2410007,-0.288,0.456,0.953,115.92,-8.61,-6.16
2410017,-0.252,0.495,0.899,130.41,0.14,-14.84
2410026,-0.305,0.52,0.845,135.31,9.8,-23.1
2410036,-0.344,0.484,0.709,124.88,16.38,-24.57
2410045,-0.4,0.442,0.643,97.58,16.52,-21.28
2410055,-0.416,0.422,0.638,63.14,13.86,-12.39
2410064,-0.416,0.4,0.715,32.27,9.8,-4.13
2410074,-0.372,0.387,0.805,13.02,10.57,1.47
2410083,-0.409,0.351,0.856,6.79,19.6,4.27
2410093,-0.42,0.315,0.804,17.57,20.3,8.4
2410102,-0.419,0.321,0.757,42.63,7.63,13.37
2410112,-0.388,0.376,0.729,68.32,-9.38,16.45
2410121,-0.35,0.459,0.726,88.62,-23.38,16.1
2410131,-0.334,0.524,0.731,97.51,-29.75,13.09
2410140,-0.304,0.57,0.756,95.97,-29.26,10.15
2410150,-0.311,0.583,0.765,84.49,-22.19,6.58
2410159,-0.322,0.594,0.763,66.22,-11.62,5.67
2410169,-0.318,0.611,0.751,43.82,-0.98,7.0
2410178,-0.311,0.624,0.739,23.24,7.63,7.42
2410188,-0.318,0.611,0.735,9.73,12.18,6.23
2410197,-0.329,0.593,0.717,4.27,12.67,4.48
2410207,-0.341,0.577,0.706,6.16,7.21,3.08
2410216,-0.344,0.569,0.717,12.04,-0.77,2.59
2410226,-0.341,0.576,0.721,18.76,-7.0,2.73
2410235,-0.335,0.6,0.729,23.03,-11.76,2.8
2410245,-0.307,0.634,0.75,22.54,-13.37,2.24
2410254,-0.3,0.659,0.76,16.45,-9.8,0.49
2410264,-0.295,0.666,0.755,5.11,-2.52,-1.75
2410273,-0.314,0.639,0.749,-7.63,5.04,-3.85
2410283,-0.33,0.596,0.751,-16.24,9.94,-5.11
2410292,-0.354,0.548,0.769,-17.85,10.85,-4.83
2410302,-0.36,0.526,0.778,-10.99,8.54,-3.99
2410311,-0.359,0.535,0.766,-0.21,4.41,-3.78
2410321,-0.354,0.562,0.746,6.93,1.47,-3.78
2410330,-0.35,0.576,0.725,6.79,0.77,-3.36
2410340,-0.368,0.574,0.738,4.55,0.7,-1.96
2410349,-0.346,0.573,0.745,3.64,0.98,-0.84
2410359,-0.35,0.574,0.746,3.36,1.47,-1.54
2410368,-0.346,0.577,0.734,2.52,2.52,-2.31
2410378,-0.348,0.575,0.724,0.14,3.36,-3.29
2410387,-0.359,0.546,0.734,-2.24,4.55,-3.36
2410397,-0.36,0.526,0.741,1.61,3.99,-2.45
2410406,-0.361,0.529,0.752,10.5,0.49,-1.96
2410416,-0.348,0.551,0.762,18.2,-1.68,-2.03
2410425,-0.346,0.572,0.745,21.98,-0.84,-2.8
2410435,-0.346,0.587,0.723,21.91,0.35,-3.43
2410444,-0.343,0.596,0.704,17.71,1.82,-4.06
2410454,-0.343,0.595,0.688,10.85,3.57,-4.27
2410463,-0.368,0.591,0.686,4.76,4.41,-3.71
2410473,-0.351,0.58,0.686,2.17,3.08,-2.52
2410482,-0.361,0.571,0.709,1.96,0.21,-2.59
2410492,-0.354,0.583,0.717,2.73,-1.4,-2.03
2410501,-0.344,0.597,0.716,2.94,-2.1,-2.17
2410511,-0.345,0.6,0.711,1.33,-1.89,-2.87
2410520,-0.352,0.58,0.717,-1.61,-1.19,-3.08
2410530,-0.377,0.533,0.744,-3.08,-0.14,-2.03
2410539,-0.378,0.513,0.75,3.5,-1.47,1.47
2410549,-0.368,0.528,0.758,15.26,-6.16,3.92
2410558,-0.358,0.552,0.772,24.08,-9.73,4.55
2410568,-0.352,0.585,0.761,26.74,-8.68,5.04
2410577,-0.342,0.604,0.74,23.1,-4.97,4.62
2410587,-0.346,0.616,0.728,16.03,-1.19,3.78
2410596,-0.341,0.626,0.707,8.68,1.89,3.08
2410606,-0.344,0.63,0.673,4.13,2.52,1.47
2410615,-0.35,0.625,0.686,1.05,0.35,0.35
2410625,-0.345,0.619,0.707,-2.1,-0.63,-0.35
2410634,-0.341,0.614,0.718,-3.99,0.49,-0.91
2410644,-0.339,0.608,0.729,-5.46,1.68,-1.33
2410653,-0.347,0.593,0.754,-7.35,3.36,-1.12
2410663,-0.36,0.552,0.76,-7.91,6.09,0.07
2410672,-0.354,0.545,0.731,-0.42,5.04,1.96
2410682,-0.345,0.568,0.734,11.55,-0.42,2.24
2410691,-0.348,0.584,0.74,17.08,-2.17,1.89
2410701,-0.338,0.609,0.717,16.31,-0.14,2.03
2410710,-0.341,0.617,0.703,12.39,1.61,1.05
2410720,-0.345,0.618,0.7,7.14,3.71,0.28
2410729,-0.348,0.615,0.691,1.96,6.23,-0.07
2410739,-0.356,0.611,0.667,-1.82,7.35,-0.35
2410748,-0.355,0.604,0.646,-2.38,5.25,-0.14
2410758,-0.358,0.602,0.666,-0.56,0.91,0.14
2410767,-0.348,0.614,0.685,0.0,-1.61,0.35
2410777,-0.342,0.624,0.699,-1.54,-1.54,-0.28
2410786,-0.342,0.616,0.711,-4.13,0.07,-1.26
2410796,-0.345,0.609,0.721,-6.02,1.75,-2.03
2410805,-0.349,0.603,0.721,-6.86,3.08,-2.59
