Time,aX,aY,aZ,gX,gY,gZ
55679,-0.249,0.014,0.941,32.34,-2.52,-14.0
55687,-0.253,0.002,0.972,27.37,-5.32,-12.6
55695,-0.247,0.0,1.0,18.41,-4.83,-9.52
55704,-0.254,-0.001,1.021,7.07,-1.19,-5.39
55712,-0.252,0.006,1.012,-1.4,4.27,-1.4
55721,-0.253,0.023,0.99,-11.34,9.59,2.03
55729,-0.262,0.031,0.973,-19.39,12.88,3.78
55737,-0.265,0.047,0.94,-18.76,13.93,3.71
55746,-0.262,0.05,0.923,-17.92,12.25,1.96
55754,-0.27,0.056,0.909,-9.17,7.42,-0.28
55762,-0.265,0.057,0.91,0.84,1.19,-3.36
55771,-0.258,0.052,0.94,2.87,-4.13,-5.6
55780,-0.259,0.042,0.984,0.49,-6.09,-6.65
55789,-0.266,0.028,1.01,-1.4,-4.34,-7.28
55796,-0.261,0.015,1.011,-3.64,0.0,-6.72
55804,-0.265,0.011,0.997,-4.9,3.71,-4.97
55813,-0.269,0.014,0.98,-5.18,5.6,-3.43
55821,-0.276,0.013,0.952,-6.51,6.3,-2.66
55829,-0.285,0.009,0.932,-6.58,4.62,-2.8
55838,-0.281,0.01,0.927,0.56,0.07,-3.15
55846,-0.276,0.022,0.946,9.94,-5.32,-3.15
55855,-0.28,0.045,0.971,25.06,-9.59,-3.64
55863,-0.278,0.068,0.965,51.87,-13.3,-6.16
55871,-0.3,0.092,0.976,92.75,-18.83,-10.15
55880,-0.292,0.214,0.92,194.04,-28.49,-16.03
55888,-0.294,0.331,0.811,315.35,-45.92,-31.57
55897,-0.316,0.344,0.737,420.21,-70.0,-55.86
55905,-0.287,0.367,0.641,539.35,-101.29,-79.87
55914,-0.188,0.487,0.631,655.06,-141.05,-100.66
55923,-0.261,0.604,0.627,737.66,-177.8,-118.58
55930,-0.141,0.605,0.589,770.42,-208.53,-131.39
55938,-0.356,0.529,0.535,791.07,-232.89,-132.23
55947,-0.053,0.514,0.569,862.19,-261.66,-114.38
55955,-0.013,0.713,0.357,972.3,-268.73,-88.83
55964,-0.022,0.915,0.177,975.03,-267.05,-70.21
55972,0.039,0.966,0.135,910.84,-273.42,-53.55
55980,0.043,0.899,0.091,882.77,-274.05,-37.59
55989,-0.043,0.845,0.035,888.65,-268.38,-11.2
55997,-0.054,0.888,0.029,898.45,-254.03,23.03
56006,-0.022,1.067,-0.119,923.79,-220.01,46.41
56014,-0.024,1.024,-0.243,902.79,-176.12,48.3
56022,-0.051,0.913,-0.495,890.82,-127.47,42.07
56031,-0.102,0.847,-0.804,780.64,-81.62,37.73
56039,-0.103,0.749,-0.895,559.44,-32.83,35.77
56048,-0.06,0.742,-1.009,363.51,6.44,31.99
56057,-0.054,0.742,-1.02,191.66,24.08,21.28
56064,-0.032,0.775,-0.997,94.78,21.35,10.99
56073,-0.014,0.757,-0.946,60.62,5.53,-2.94
56081,-0.048,0.658,-0.922,56.84,-4.76,-15.89
56089,-0.062,0.579,-0.944,58.24,-6.65,-17.43
56098,-0.108,0.518,-0.96,54.18,-4.34,-10.5
56106,-0.121,0.521,-0.967,67.76,-6.72,2.8
56115,-0.12,0.559,-0.939,98.21,-15.68,14.35
56123,-0.119,0.6,-0.915,131.11,-24.78,18.62
56131,-0.117,0.618,-0.914,141.19,-25.69,13.3
56140,-0.131,0.595,-0.924,119.7,-20.79,2.38
56148,-0.129,0.549,-0.922,79.66,-15.47,-8.26
56156,-0.138,0.498,-0.924,39.06,-12.74,-15.05
56165,-0.14,0.441,-0.928,2.38,-10.57,-18.9
56173,-0.153,0.384,-0.909,-14.84,-8.54,-18.13
56182,-0.151,0.377,-0.9,-2.66,-12.74,-12.67
56191,-0.164,0.382,-0.89,4.13,-16.52,-4.55
56198,-0.171,0.419,-0.848,10.5,-19.81,3.57
56207,-0.156,0.489,-0.832,23.24,-20.44,7.0
56215,-0.153,0.522,-0.812,23.24,-16.17,4.55
