Time,aX,aY,aZ,gX,gY,gZ
38521,-0.943,-0.272,0.287,-13.93,-6.23,-0.56
38530,-0.944,-0.295,0.283,10.36,-6.16,1.19
38537,-0.936,-0.335,0.269,37.1,-6.86,1.68
38545,-0.943,-0.407,0.287,63.0,-8.33,3.22
38554,-0.935,-0.449,0.296,97.79,-7.56,10.85
38562,-0.943,-0.429,0.29,145.11,-5.88,23.52
38571,-0.926,-0.361,0.321,215.53,-7.56,35.7
38579,-0.893,-0.286,0.396,314.79,-9.03,43.05
38587,-0.909,-0.194,0.445,429.03,-3.64,44.31
38596,-0.909,-0.113,0.498,545.37,5.53,40.74
38604,-0.95,-0.078,0.461,635.46,19.04,27.72
38613,-0.997,-0.147,0.431,662.97,30.38,8.54
38621,-1.002,-0.242,0.37,671.79,34.58,-3.36
38629,-0.917,-0.2,0.47,702.8,32.2,-11.48
38638,-0.864,-0.231,0.312,816.13,31.5,-3.01
38646,-1.053,-0.194,-0.108,880.46,22.89,10.64
38655,-0.946,-0.037,-0.199,795.13,-5.81,36.4
38664,-0.88,0.208,-0.134,682.29,-27.44,53.48
38671,-0.88,0.435,-0.028,553.63,-33.74,46.97
38680,-0.924,0.478,0.069,411.04,-28.35,20.37
38688,-0.936,0.36,0.162,304.43,-22.54,-6.44
38696,-0.96,0.235,0.235,256.97,-18.9,-18.55
38705,-0.941,0.175,0.31,240.45,-16.87,-17.57
38713,-0.925,0.144,0.326,226.8,-6.72,-13.09
38721,-0.922,0.136,0.295,217.56,9.38,-7.14
38730,-0.914,0.157,0.271,232.19,21.21,0.07
38738,-0.914,0.191,0.208,279.44,26.88,4.27
38747,-0.904,0.245,0.15,325.43,28.35,6.44
38755,-0.921,0.317,0.042,335.58,33.25,3.64
38763,-0.94,0.327,-0.111,282.24,40.46,-5.81
38772,-0.973,0.253,-0.251,188.79,39.76,-13.86
38780,-0.962,0.205,-0.281,96.74,23.66,-10.92
38789,-0.945,0.237,-0.211,21.28,0.7,-2.73
38798,-0.942,0.232,-0.044,-39.48,-15.19,0.91
38805,-0.934,0.208,0.099,-63.42,-19.74,4.27
38814,-0.941,0.212,0.149,-69.44,-13.23,9.73
38822,-0.946,0.249,0.176,-78.19,-4.48,16.66
38830,-0.936,0.292,0.194,-78.19,3.01,20.58
38839,-0.926,0.316,0.169,-61.67,10.08,19.74
38847,-0.922,0.328,0.106,-35.63,14.7,16.45
38856,-0.931,0.335,0.052,-16.59,14.84,12.46
38864,-0.952,0.358,-0.004,-5.18,11.27,8.47
38872,-0.961,0.346,-0.036,-15.12,6.72,4.27
38881,-0.955,0.309,-0.041,-31.43,1.4,1.54
38889,-0.952,0.291,-0.021,-43.54,-5.18,1.96
38898,-0.941,0.289,0.044,-53.13,-11.41,3.78
