Time,aX,aY,aZ,gX,gY,gZ
43054,-0.188,-0.48,0.87,6.3,1.26,-2.87
43062,-0.209,-0.491,0.858,2.59,3.92,-3.99
43071,-0.176,-0.51,0.861,1.54,3.5,-4.83
43079,-0.176,-0.526,0.855,6.58,3.15,-5.81
43087,-0.189,-0.537,0.845,7.28,2.87,-5.11
43096,-0.194,-0.541,0.842,0.84,1.89,-2.45
43104,-0.206,-0.519,0.827,-10.22,1.12,1.54
43112,-0.208,-0.503,0.821,-31.22,0.77,5.18
43121,-0.217,-0.499,0.822,-47.39,-1.4,6.58
43129,-0.181,-0.528,0.87,-49.28,-5.67,5.67
43138,-0.183,-0.53,0.892,-29.19,-7.98,3.99
43147,-0.176,-0.543,0.891,-16.24,-5.53,2.73
43154,-0.17,-0.572,0.873,-8.89,-0.14,3.29
43163,-0.18,-0.576,0.848,7.77,2.17,5.74
43171,-0.174,-0.551,0.857,29.82,-1.12,7.21
43180,-0.176,-0.516,0.898,53.13,-4.34,5.88
43188,-0.186,-0.489,0.933,71.33,-1.89,3.15
43196,-0.208,-0.457,0.929,86.03,4.06,0.35
43205,-0.212,-0.421,0.894,91.35,9.59,-2.24
43213,-0.217,-0.415,0.899,87.5,12.67,-5.39
43221,-0.22,-0.413,0.913,95.06,13.16,-7.98
43230,-0.244,-0.406,0.918,118.79,11.69,-10.36
43238,-0.203,-0.394,0.93,154.84,4.48,-13.37
43247,-0.142,-0.429,1.013,215.95,-5.67,-18.13
43255,-0.149,-0.407,1.052,332.36,-12.11,-19.88
43263,-0.125,-0.38,1.077,470.89,-21.98,-17.78
43272,-0.119,-0.35,1.052,630.49,-32.48,-10.92
43281,-0.139,-0.198,0.941,777.21,-42.07,4.13
43290,-0.18,-0.024,0.898,841.96,-51.24,16.59
43297,-0.268,0.182,0.839,841.96,-51.24,26.39
43305,-0.26,0.417,0.831,781.62,-38.99,33.39
43314,-0.174,0.554,0.854,696.57,-19.81,27.23
43322,-0.115,0.628,0.852,666.33,-9.66,15.47
43330,-0.084,0.683,0.756,716.24,-9.94,3.99
43339,-0.025,0.749,0.54,791.84,-19.6,-9.73
43347,-0.013,0.725,0.469,806.33,-41.86,-24.29
43356,-0.102,0.741,0.469,806.68,-59.22,-33.46
43364,-0.102,0.761,0.531,725.06,-53.06,-36.33
43372,-0.144,0.736,0.578,603.12,-26.95,-30.45
43381,-0.141,0.732,0.416,480.06,11.06,-18.41
43389,-0.145,0.692,0.227,360.22,40.67,-3.43
43397,-0.155,0.74,0.036,275.1,54.32,17.43
43406,-0.166,0.869,-0.077,214.13,55.23,36.33
43415,-0.123,1.085,-0.172,185.85,49.42,48.16
43424,-0.087,1.267,-0.202,204.61,35.14,43.82
43431,-0.006,1.356,-0.191,252.21,14.35,19.25
43439,-0.008,1.289,-0.115,300.65,-4.69,-17.15
43448,-0.068,1.197,-0.1,353.36,-15.19,-49.35
43456,-0.106,1.031,-0.091,344.82,-9.87,-72.03
43465,-0.158,0.879,-0.177,304.01,6.86,-79.1
43473,-0.189,0.778,-0.313,251.65,21.0,-72.52
43481,-0.23,0.715,-0.418,186.97,25.62,-59.43
43490,-0.247,0.697,-0.463,115.01,26.25,-42.7
43498,-0.243,0.74,-0.471,54.18,26.74,-24.43
43506,-0.234,0.835,-0.492,15.54,27.09,-10.43
43515,-0.209,0.903,-0.483,-10.15,26.18,-5.88
43523,-0.193,0.877,-0.429,-1.75,22.82,-10.22
43532,-0.214,0.823,-0.419,51.31,19.04,-17.64
43540,-0.208,0.77,-0.421,91.63,17.99,-20.16
43549,-0.22,0.762,-0.458,110.74,18.83,-14.21
43558,-0.218,0.808,-0.535,106.68,18.2,-7.35
43565,-0.23,0.845,-0.594,77.14,14.42,-3.57
43574,-0.219,0.867,-0.631,49.77,5.6,-2.24
43582,-0.201,0.884,-0.6,31.08,-6.79,-2.8
43590,-0.188,0.899,-0.509,14.77,-15.47,-4.27
43599,-0.181,0.913,-0.427,0.7,-15.61,-6.72
43607,-0.185,0.893,-0.383,-16.1,-7.63,-10.5
43615,-0.187,0.843,-0.386,-29.33,3.71,-13.16
43624,-0.195,0.789,-0.425,-24.99,11.97,-12.18
43632,-0.192,0.775,-0.472,-10.01,13.65,-8.19
43641,-0.203,0.796,-0.49,3.01,10.92,-3.78
43649,-0.201,0.814,-0.503,11.41,6.93,-0.77
43657,-0.202,0.814,-0.493,12.95,2.45,0.56
43666,-0.197,0.823,-0.487,11.34,0.14,2.24
43674,-0.184,0.843,-0.476,6.37,-0.56,4.34
43683,-0.177,0.875,-0.469,-0.14,-0.07,5.18
43692,-0.177,0.886,-0.474,-7.56,2.17,3.43
43699,-0.172,0.876,-0.49,-10.78,4.34,0.77
43708,-0.179,0.865,-0.504,-7.42,3.36,-1.68
43716,-0.182,0.847,-0.494,-5.32,0.56,-3.99
43724,-0.177,0.842,-0.463,-2.45,-1.82,-4.69
43733,-0.182,0.839,-0.439,1.26,-1.82,-4.83
43741,-0.183,0.813,-0.441,6.58,0.49,-5.88
43750,-0.185,0.794,-0.463,12.46,1.75,-4.55
43758,-0.186,0.804,-0.465,12.25,0.84,-0.42
43766,-0.19,0.832,-0.464,7.07,1.4,2.94
43775,-0.185,0.863,-0.482,1.89,3.57,4.06
43783,-0.185,0.883,-0.505,-3.92,4.55,3.15
43791,-0.179,0.891,-0.523,-7.56,3.71,0.49
43800,-0.181,0.889,-0.523,-10.43,1.19,-2.59
43808,-0.184,0.875,-0.5,-13.86,-1.61,-5.74
43817,-0.182,0.846,-0.47,-14.56,-2.8,-7.77
43826,-0.191,0.812,-0.457,-4.55,-2.8,-7.7
43833,-0.199,0.799,-0.453,3.92,-2.66,-5.67
43842,-0.201,0.804,-0.458,1.61,-0.91,-2.31
43850,-0.2,0.823,-0.472,-1.75,0.91,0.28
43859,-0.191,0.847,-0.491,-5.88,1.96,1.61
43867,-0.175,0.856,-0.485,-6.37,0.63,1.54
43875,-0.173,0.861,-0.463,0.28,-2.87,0.77
43884,-0.18,0.853,-0.428,1.05,-3.29,-0.49
43892,-0.188,0.849,-0.436,0.14,0.77,-0.77
43900,-0.19,0.844,-0.464,-3.57,4.27,-0.35
43909,-0.193,0.846,-0.487,-7.98,4.62,0.0
43917,-0.189,0.851,-0.486,-12.04,3.15,0.0
43926,-0.175,0.867,-0.468,-12.81,1.61,0.56
43934,-0.181,0.868,-0.448,-5.46,0.0,0.07
43942,-0.187,0.857,-0.455,1.82,-0.07,-2.31
43951,-0.193,0.839,-0.465,0.7,1.19,-3.15
43960,-0.191,0.844,-0.483,-2.17,2.45,-1.82
43969,-0.192,0.85,-0.486,-5.74,2.17,-1.19
43976,-0.196,0.857,-0.492,-8.82,2.24,-1.33
43984,-0.185,0.869,-0.496,-10.92,1.82,-0.28
43993,-0.179,0.876,-0.469,-7.91,-1.33,-0.07
44001,-0.19,0.862,-0.449,-1.4,-2.8,-1.96
44009,-0.197,0.835,-0.455,0.77,-1.26,-3.08
44018,-0.198,0.828,-0.474,-1.47,0.91,-1.26
44026,-0.189,0.846,-0.496,-3.57,1.33,1.75
44035,-0.183,0.872,-0.497,0.28,-1.54,3.22
44043,-0.187,0.885,-0.481,5.6,-4.9,1.82
44051,-0.191,0.874,-0.472,7.42,-5.81,-0.91
