Time,aX,aY,aZ,gX,gY,gZ
24247,-0.903,0.411,-0.145,-17.92,-2.24,9.1
24255,-0.896,0.41,-0.136,-27.44,-2.59,6.3
24264,-0.902,0.395,-0.126,-31.5,-2.03,3.01
24273,-0.914,0.381,-0.113,-27.58,-2.24,0.49
24280,-0.911,0.366,-0.094,-17.36,-2.8,-0.91
24289,-0.918,0.361,-0.1,-6.86,-1.82,-0.28
24297,-0.917,0.353,-0.116,-4.41,-0.7,1.75
24305,-0.928,0.332,-0.182,-1.54,-3.22,5.6
24314,-0.888,0.352,-0.182,3.85,-9.87,8.68
24322,-0.903,0.358,-0.14,1.47,-14.0,8.54
24331,-0.904,0.356,-0.096,0.28,-15.33,9.03
24339,-0.904,0.383,-0.087,3.08,-13.79,11.83
24347,-0.894,0.414,-0.104,-6.51,-10.78,13.72
24356,-0.891,0.43,-0.102,-26.88,-7.63,12.04
24364,-0.895,0.432,-0.093,-39.27,-5.32,8.19
24373,-0.886,0.423,-0.087,-43.12,-3.5,4.06
24381,-0.898,0.408,-0.079,-39.13,-2.03,0.21
24389,-0.908,0.393,-0.079,-26.18,-1.68,-2.59
24398,-0.911,0.388,-0.087,-15.33,-1.75,-3.22
24407,-0.908,0.395,-0.088,-16.52,-1.19,-2.03
24414,-0.908,0.392,-0.077,-23.52,-0.14,-2.38
24423,-0.918,0.361,-0.09,-24.57,0.56,-3.29
24431,-0.933,0.328,-0.12,-16.94,-1.96,-0.98
24440,-0.927,0.335,-0.139,-5.46,-8.82,5.39
24448,-0.906,0.365,-0.122,-1.96,-15.33,10.99
24456,-0.915,0.387,-0.088,-8.54,-19.04,14.14
24465,-0.916,0.4,-0.039,-6.44,-21.84,15.47
24473,-0.921,0.411,0.015,14.84,-24.64,16.52
24482,-0.898,0.427,0.035,54.67,-25.2,15.47
24490,-0.837,0.441,0.061,91.14,-18.48,9.38
24498,-0.844,0.439,0.16,132.93,-7.14,-1.33
24507,-0.908,0.405,0.255,220.29,7.84,-14.21
24515,-0.918,0.396,0.345,385.07,25.69,-30.59
24523,-0.73,0.421,0.285,644.63,44.38,-54.81
24532,-0.869,0.286,0.005,895.16,57.05,-94.43
24541,-0.931,-0.119,-0.336,1081.85,38.92,-122.99
24550,-0.903,-0.475,-0.343,1272.32,-14.56,-116.41
24557,-0.957,-0.548,-0.206,1518.86,-68.39,-87.43
24565,-0.859,-0.168,-0.321,1695.26,-89.81,-63.28
24574,-0.897,-0.2,-0.475,1623.02,-88.13,-76.65
24582,-0.848,-0.347,-0.294,1541.68,-102.9,-88.9
24590,-0.706,0.039,-0.352,1576.68,-140.49,-101.15
24599,-0.853,0.26,-0.256,1483.44,-186.55,-144.2
24607,-0.984,-0.208,0.26,1295.14,-214.97,-191.03
24616,-0.891,-0.597,0.738,1128.19,-198.87,-191.38
24624,-0.953,-0.711,0.988,926.17,-135.31,-164.08
24632,-0.937,-0.802,1.062,656.04,-34.02,-132.93
24641,-0.909,-0.852,0.751,427.14,63.28,-99.05
24649,-0.877,-0.846,0.294,264.6,118.37,-59.36
24658,-0.885,-0.74,-0.108,146.23,125.09,-24.5
