Time,aX,aY,aZ,gX,gY,gZ
2406112,-0.449,-0.247,0.857,-1.12,-0.21,0.98
2406122,-0.445,-0.239,0.86,-1.05,-0.21,0.91
2406131,-0.442,-0.229,0.867,-0.49,0.28,0.56
2406141,-0.439,-0.227,0.864,0.42,0.56,-0.14
2406150,-0.442,-0.227,0.86,0.42,0.56,-0.7
2406160,-0.442,-0.225,0.846,-1.82,0.42,-0.77
2406169,-0.45,-0.224,0.835,-6.51,0.91,-0.14
2406179,-0.451,-0.214,0.791,-15.47,3.01,1.68
2406188,-0.453,-0.209,0.759,-32.34,5.74,4.83
2406198,-0.442,-0.198,0.767,-59.01,10.08,10.01
2406207,-0.394,-0.167,0.777,-95.06,21.7,13.86
2406217,-0.371,-0.113,0.689,-135.87,39.48,16.73
2406226,-0.339,-0.093,0.645,-183.54,55.93,14.98
2406236,-0.373,-0.122,0.607,-244.3,78.96,12.6
2406245,-0.437,-0.274,0.601,-306.53,105.98,13.58
2406255,-0.609,-0.556,0.625,-351.47,132.09,17.15
2406264,-0.745,-0.868,0.599,-344.47,140.77,25.76
2406274,-0.794,-1.074,0.717,-262.92,108.29,32.97
2406283,-0.733,-0.934,0.888,-131.39,46.13,33.53
2406293,-0.525,-0.71,0.979,8.89,-27.3,19.6
2406302,-0.427,-0.5,1.055,140.91,-85.12,-8.12
2406312,-0.405,-0.409,1.039,254.1,-113.05,-40.88
2406321,-0.38,-0.364,0.959,341.88,-114.94,-69.44
2406331,-0.505,-0.417,0.96,401.73,-101.85,-86.94
2406340,-0.507,-0.488,0.921,448.91,-96.04,-92.68
2406350,-0.572,-0.534,1.035,490.63,-93.24,-92.61
2406359,-0.578,-0.572,1.099,536.48,-99.61,-86.17
2406369,-0.488,-0.493,1.135,587.86,-113.19,-77.98
2406378,-0.32,-0.376,1.147,631.19,-126.28,-71.54
2406388,-0.29,-0.22,1.167,642.18,-115.36,-69.02
2406397,-0.251,0.012,1.04,613.55,-83.72,-70.35
2406407,-0.236,0.225,0.913,551.67,-42.77,-69.37
2406416,-0.267,0.332,0.887,466.62,4.97,-64.96
2406426,-0.334,0.343,0.92,392.35,54.18,-62.65
2406435,-0.368,0.335,0.802,349.65,88.48,-64.82
2406445,-0.442,0.36,0.631,343.84,94.22,-71.89
2406454,-0.569,0.333,0.477,350.56,80.36,-77.0
2406464,-0.629,0.255,0.348,349.09,54.67,-67.69
2406473,-0.609,0.231,0.297,341.25,27.02,-50.33
2406483,-0.518,0.284,0.311,329.98,4.76,-40.53
2406492,-0.516,0.421,0.338,310.31,-9.52,-38.92
2406502,-0.484,0.557,0.364,281.54,-13.93,-35.07
2406511,-0.439,0.683,0.345,253.4,-12.11,-33.11
2406521,-0.47,0.737,0.323,221.69,-6.23,-34.09
2406530,-0.505,0.759,0.245,183.75,-1.05,-28.84
2406540,-0.523,0.773,0.221,140.98,-2.03,-17.57
2406549,-0.496,0.768,0.288,101.57,-4.76,-5.25
2406559,-0.483,0.792,0.343,71.26,-2.94,5.81
2406568,-0.466,0.824,0.351,47.74,1.75,14.42
2406578,-0.446,0.823,0.34,30.1,2.94,20.65
2406587,-0.434,0.803,0.338,18.9,-3.36,24.36
2406597,-0.423,0.803,0.367,12.67,-14.07,25.9
2406606,-0.387,0.819,0.409,9.8,-23.24,25.34
2406616,-0.368,0.813,0.468,7.21,-29.05,20.58
2406625,-0.372,0.809,0.514,2.45,-28.7,14.7
2406635,-0.393,0.785,0.557,-5.32,-24.92,11.27
2406644,-0.386,0.78,0.584,-11.76,-21.56,8.26
2406654,-0.4,0.765,0.614,-17.22,-14.35,5.74
2406663,-0.423,0.729,0.619,-19.11,-7.49,4.34
2406673,-0.449,0.69,0.616,-18.06,-2.24,5.67
2406682,-0.465,0.659,0.607,-14.14,0.0,9.24
2406692,-0.459,0.644,0.6,-7.91,-0.7,12.88
2406701,-0.449,0.658,0.57,-0.21,-2.45,14.84
2406711,-0.431,0.704,0.538,6.09,-4.83,14.77
2406720,-0.424,0.742,0.519,7.35,-6.23,12.53
2406730,-0.414,0.752,0.508,4.83,-6.3,9.87
2406739,-0.412,0.753,0.504,1.61,-5.25,7.0
2406749,-0.418,0.75,0.492,-2.31,-3.99,4.48
2406758,-0.419,0.722,0.517,-6.3,-2.66,3.71
2406768,-0.426,0.685,0.536,-8.82,0.07,4.62
2406777,-0.426,0.675,0.536,-7.07,2.03,6.16
2406787,-0.426,0.694,0.524,-4.2,2.66,8.26
2406796,-0.415,0.724,0.505,-3.29,2.59,10.57
2406806,-0.404,0.739,0.504,-0.98,0.84,12.53
2406815,-0.394,0.761,0.498,1.68,-1.33,12.81
2406825,-0.383,0.793,0.491,2.73,-2.8,12.32
2406834,-0.37,0.809,0.487,1.05,-3.64,10.15
2406844,-0.382,0.793,0.502,-1.82,-2.73,6.72
2406853,-0.37,0.774,0.531,1.12,-3.57,3.85
2406863,-0.372,0.765,0.559,9.66,-5.53,-1.47
2406872,-0.401,0.772,0.534,16.59,-3.43,-5.6
2406882,-0.417,0.776,0.5,16.24,-0.7,-6.16
2406891,-0.417,0.779,0.486,11.48,0.7,-5.04
2406901,-0.428,0.754,0.481,5.25,2.94,-4.41
2406910,-0.437,0.762,0.465,-0.28,5.11,-3.22
2406920,-0.453,0.742,0.453,-6.58,6.37,-1.96
2406929,-0.476,0.711,0.456,-6.86,4.48,1.05
2406939,-0.456,0.746,0.463,-3.36,-0.28,5.32
2406948,-0.435,0.772,0.484,-2.52,-3.36,7.56
2406958,-0.399,0.8,0.504,-2.66,-4.48,6.16
2406967,-0.403,0.805,0.515,-2.52,-3.43,1.68
2406977,-0.41,0.783,0.523,-1.96,-1.75,-2.03
2406986,-0.418,0.758,0.521,-2.31,0.42,-3.85
2406996,-0.426,0.731,0.521,-3.22,2.87,-4.06
2407005,-0.432,0.715,0.511,-3.64,5.32,-2.52
2407015,-0.432,0.726,0.491,-3.15,6.02,-0.7
2407024,-0.428,0.743,0.474,-3.78,5.32,0.77
2407034,-0.431,0.752,0.46,-4.34,4.06,2.38
2407043,-0.424,0.758,0.472,-5.88,2.17,4.2
2407053,-0.411,0.765,0.491,-8.96,1.47,5.39
2407062,-0.396,0.772,0.492,-10.5,1.68,5.25
2407072,-0.384,0.771,0.501,-10.71,1.26,3.36
2407081,-0.398,0.744,0.522,-8.89,1.47,0.49
2407091,-0.392,0.729,0.511,-3.01,-0.07,-1.75
2407100,-0.413,0.72,0.509,1.89,-1.61,-3.29
2407110,-0.416,0.714,0.501,2.94,-1.75,-2.94
2407119,-0.417,0.719,0.495,0.84,-0.56,-2.03
2407129,-0.422,0.722,0.498,-3.08,1.05,-0.77
2407138,-0.42,0.731,0.497,-5.39,1.82,0.63
2407148,-0.421,0.742,0.485,-5.11,1.12,1.68
2407157,-0.415,0.754,0.495,-3.22,-1.4,2.66
2407167,-0.408,0.77,0.511,-1.89,-2.73,2.94
2407176,-0.405,0.776,0.508,-2.87,-1.96,2.45
2407186,-0.404,0.775,0.514,-4.69,-0.77,1.68
2407195,-0.41,0.751,0.534,-7.14,1.05,1.19
2407205,-0.412,0.732,0.535,-7.07,3.01,1.4
2407214,-0.416,0.726,0.534,-3.22,3.08,0.7
2407224,-0.421,0.735,0.515,0.14,2.94,-0.42
2407233,-0.424,0.743,0.506,0.56,2.87,-0.7
2407243,-0.421,0.747,0.502,-0.91,3.01,-1.26
