Time,aX,aY,aZ,gX,gY,gZ
28913,-0.577,0.003,0.781,-3.22,-1.26,-1.68
28921,-0.569,0.012,0.807,17.08,-5.95,-1.61
28929,-0.553,0.047,0.831,37.59,-9.59,-1.54
28938,-0.552,0.071,0.869,48.44,-10.57,-3.5
28946,-0.552,0.081,0.891,59.78,-8.68,-7.42
28955,-0.532,0.089,0.884,69.3,-4.9,-10.85
28963,-0.534,0.093,0.868,68.25,0.21,-12.95
28971,-0.553,0.083,0.846,61.18,5.39,-15.05
28980,-0.553,0.056,0.824,60.9,7.91,-17.43
28988,-0.544,0.053,0.795,72.94,6.79,-17.01
28997,-0.549,0.048,0.803,86.31,3.08,-15.54
29005,-0.575,0.051,0.836,127.33,-0.7,-13.72
29014,-0.577,0.101,0.807,207.2,-5.04,-12.32
29023,-0.58,0.113,0.775,295.61,-9.87,-16.8
29030,-0.565,0.135,0.779,433.72,-19.81,-18.69
29038,-0.59,0.24,0.646,661.92,-36.26,-19.53
29047,-0.583,0.329,0.426,923.93,-68.39,-30.17
29055,-0.563,0.46,0.164,1134.35,-117.53,-42.7
29064,-0.474,0.647,0.105,1193.71,-173.95,-48.58
29072,-0.499,0.79,0.117,1125.81,-217.56,-43.47
29080,-0.448,0.945,0.22,1016.68,-244.58,-31.22
29089,-0.424,1.062,0.297,945.0,-250.32,-25.76
29097,-0.454,1.148,0.26,933.94,-239.89,-23.59
29106,-0.413,1.2,0.184,883.89,-213.57,-24.92
29114,-0.431,1.141,0.103,793.94,-174.65,-36.05
29122,-0.461,1.06,0.005,696.57,-134.26,-48.3
29131,-0.486,0.914,-0.059,590.87,-97.93,-60.13
29139,-0.548,0.801,-0.183,497.35,-67.27,-63.21
29148,-0.563,0.685,-0.26,395.92,-42.91,-58.1
29157,-0.577,0.585,-0.319,314.23,-21.98,-46.06
29164,-0.584,0.538,-0.374,271.6,-8.47,-29.19
29173,-0.549,0.513,-0.416,276.78,-4.62,-12.32
29181,-0.554,0.534,-0.519,308.63,-7.0,1.54
29189,-0.554,0.525,-0.547,321.44,-12.32,9.94
29198,-0.57,0.566,-0.598,350.49,-17.92,14.42
29206,-0.579,0.684,-0.728,354.48,-21.42,12.74
29215,-0.591,0.714,-0.733,296.45,-23.59,-0.14
29223,-0.666,0.83,-0.811,224.49,-24.29,-8.12
29231,-0.348,0.616,-0.597,164.43,-29.61,-43.75
29240,-0.675,0.366,-0.578,170.59,-22.47,-67.69
