Time,aX,aY,aZ,gX,gY,gZ
38394,-0.529,-0.152,0.859,-36.12,1.05,2.24
38401,-0.545,-0.184,0.871,-53.27,4.62,2.94
38410,-0.558,-0.205,0.856,-56.77,8.89,4.06
38418,-0.544,-0.205,0.812,-50.82,10.99,5.95
38426,-0.537,-0.199,0.792,-54.25,10.01,8.68
38435,-0.545,-0.208,0.812,-59.15,8.61,10.01
38443,-0.55,-0.208,0.822,-41.72,8.4,10.43
38452,-0.553,-0.174,0.792,-7.21,7.14,10.15
38460,-0.546,-0.152,0.781,13.44,3.57,6.44
38468,-0.534,-0.169,0.828,25.76,-0.91,1.33
38477,-0.525,-0.188,0.892,65.38,-4.69,-2.8
38485,-0.607,-0.076,0.808,135.59,-5.74,-4.62
38493,-0.539,0.04,0.681,206.99,-14.28,-16.87
38502,-0.566,-0.058,0.732,346.15,-43.05,-42.07
38510,-0.559,-0.059,0.724,598.43,-78.68,-51.8
38519,-0.457,0.081,0.679,872.9,-114.24,-48.65
38528,-0.465,0.351,0.538,1035.3,-141.75,-49.77
38535,-0.433,0.406,0.652,1020.25,-152.74,-65.73
38544,-0.382,0.503,0.603,1061.06,-157.78,-74.41
38552,-0.439,0.589,0.471,1078.63,-161.91,-84.63
38561,-0.412,0.694,0.286,1053.85,-185.29,-86.52
38569,-0.384,0.864,0.224,937.23,-210.21,-67.97
38577,-0.356,1.06,0.319,715.19,-206.78,-32.55
38586,-0.362,1.156,0.525,474.81,-162.12,-7.84
38594,-0.415,1.2,0.657,336.63,-108.92,-7.28
38602,-0.406,1.204,0.61,310.1,-63.35,-24.92
38611,-0.412,1.072,0.472,310.59,-26.39,-49.77
38619,-0.416,0.864,0.284,315.77,-5.04,-65.52
38628,-0.414,0.727,0.06,308.42,2.8,-62.02
38636,-0.453,0.689,-0.103,262.43,-0.14,-41.09
38644,-0.466,0.697,-0.137,188.93,-8.33,-11.55
38653,-0.456,0.753,-0.09,146.37,-20.37,15.96
38662,-0.45,0.858,-0.054,157.5,-33.6,32.76
38671,-0.431,0.946,-0.072,179.27,-40.95,36.75
38678,-0.432,0.976,-0.081,180.53,-42.77,32.13
38686,-0.44,0.983,-0.067,174.23,-40.32,24.08
38695,-0.418,0.981,-0.065,177.8,-35.07,14.84
38703,-0.418,0.95,-0.09,191.31,-29.82,4.2
38711,-0.437,0.898,-0.134,210.28,-26.32,-4.2
38720,-0.438,0.86,-0.18,229.04,-26.74,-7.35
38728,-0.438,0.803,-0.226,236.88,-27.58,-6.58
38737,-0.434,0.75,-0.262,243.04,-28.28,-1.26
38745,-0.436,0.719,-0.32,253.47,-28.84,8.4
38753,-0.416,0.804,-0.433,248.71,-29.82,19.81
38762,-0.391,0.88,-0.422,194.53,-28.77,20.02
38770,-0.416,0.899,-0.374,155.26,-23.17,8.89
38778,-0.427,0.885,-0.395,148.4,-17.08,-2.52
38787,-0.433,0.823,-0.429,145.04,-13.09,-11.13
