Time,aX,aY,aZ,gX,gY,gZ
1187042,-0.282,-0.147,0.918,-3.99,7.21,0.49
1187052,-0.287,-0.161,0.927,-1.33,1.82,0.63
1187061,-0.26,-0.146,0.956,0.63,-1.4,1.26
1187071,-0.252,-0.128,0.982,0.56,-0.49,0.21
1187081,-0.241,-0.131,0.99,-2.87,4.97,-0.49
1187090,-0.263,-0.145,0.975,-7.28,12.11,-0.63
1187100,-0.278,-0.158,0.972,-10.92,17.08,0.21
1187110,-0.268,-0.151,0.976,-12.46,20.09,0.98
1187119,-0.248,-0.131,0.973,-13.72,24.43,0.84
1187129,-0.248,-0.132,0.972,-15.89,29.75,-0.28
1187138,-0.268,-0.16,0.975,-18.76,35.77,-1.12
1187148,-0.29,-0.154,0.945,-20.02,39.62,-1.05
1187158,-0.3,-0.152,0.95,-17.01,37.66,-1.4
1187167,-0.297,-0.146,0.929,-12.67,33.11,-2.17
1187177,-0.307,-0.156,0.916,-7.7,28.0,-4.48
1187187,-0.306,-0.149,0.916,-0.42,21.63,-6.23
1187196,-0.315,-0.149,0.929,4.48,15.33,-6.51
1187206,-0.298,-0.144,0.948,4.69,13.09,-7.14
1187215,-0.302,-0.153,0.954,2.8,16.59,-8.75
1187225,-0.314,-0.167,0.947,-1.05,22.33,-9.1
1187235,-0.315,-0.18,0.943,-6.51,27.37,-8.33
1187244,-0.332,-0.192,0.927,-12.81,32.48,-7.49
1187254,-0.346,-0.173,0.869,-17.64,35.07,-6.37
1187264,-0.367,-0.189,0.864,-19.11,30.8,-4.76
1187273,-0.371,-0.209,0.884,-18.06,23.52,-1.75
1187283,-0.361,-0.191,0.897,-15.05,16.45,-0.21
1187292,-0.369,-0.176,0.903,-10.78,11.48,0.21
1187302,-0.359,-0.161,0.901,-6.51,6.58,0.7
1187312,-0.356,-0.178,0.929,-3.92,1.47,0.35
1187321,-0.347,-0.183,0.947,-1.4,-0.7,-0.56
1187331,-0.347,-0.185,0.947,1.05,-0.56,-1.75
1187341,-0.345,-0.178,0.952,1.89,0.91,-2.17
1187350,-0.342,-0.176,0.953,-0.77,4.83,-1.54
1187360,-0.341,-0.192,0.944,-5.18,10.01,-0.7
1187369,-0.36,-0.215,0.932,-8.61,14.77,0.0
1187379,-0.354,-0.226,0.928,-11.48,17.85,1.4
1187389,-0.353,-0.215,0.922,-13.51,19.67,1.89
1187398,-0.358,-0.189,0.912,-13.3,19.74,1.68
1187408,-0.361,-0.183,0.922,-10.08,16.8,1.47
1187418,-0.362,-0.183,0.934,-7.63,14.14,1.19
1187427,-0.362,-0.183,0.921,-6.3,14.42,0.84
1187437,-0.365,-0.178,0.906,-4.62,15.54,0.49
1187446,-0.373,-0.178,0.904,-3.85,15.89,-0.14
1187456,-0.371,-0.178,0.919,-4.2,16.87,-0.49
1187466,-0.365,-0.177,0.914,-5.39,19.88,-0.77
1187475,-0.377,-0.188,0.903,-6.93,23.52,-1.54
1187485,-0.39,-0.197,0.897,-7.56,25.2,-2.1
1187495,-0.39,-0.196,0.89,-7.28,23.8,-2.31
1187504,-0.387,-0.198,0.908,-6.58,21.84,-3.15
1187514,-0.384,-0.203,0.92,-6.65,24.92,-4.2
1187523,-0.378,-0.193,0.903,-7.42,30.24,-5.6
1187533,-0.413,-0.217,0.887,-7.35,32.62,-6.79
1187543,-0.424,-0.202,0.862,-5.74,30.45,-5.25
1187552,-0.419,-0.199,0.824,-4.34,24.5,-5.53
1187562,-0.427,-0.213,0.844,-2.52,16.45,-5.67
1187572,-0.393,-0.174,0.912,0.91,11.76,-4.48
1187581,-0.358,-0.168,0.945,2.94,17.43,-5.53
1187591,-0.391,-0.222,0.961,0.98,30.45,-5.18
1187600,-0.433,-0.242,0.911,-4.34,42.91,-2.31
1187610,-0.437,-0.238,0.864,-11.48,47.67,0.0
1187620,-0.422,-0.213,0.869,-16.45,49.28,0.07
1187629,-0.428,-0.221,0.872,-18.97,52.71,-2.45
1187639,-0.458,-0.221,0.86,-17.5,53.27,-4.76
1187649,-0.502,-0.235,0.838,-12.95,48.37,-5.53
1187658,-0.51,-0.237,0.788,-6.65,37.45,-4.9
1187668,-0.509,-0.226,0.773,-0.56,21.63,-4.34
1187677,-0.497,-0.22,0.795,3.01,6.51,-4.2
1187687,-0.479,-0.232,0.808,5.25,-3.92,-4.48
1187697,-0.479,-0.232,0.839,8.4,-10.5,-3.92
1187706,-0.473,-0.19,0.883,10.78,-10.43,-3.5
1187716,-0.463,-0.207,0.9,7.49,-2.17,-2.73
1187726,-0.459,-0.225,0.876,1.33,7.77,0.14
1187735,-0.463,-0.218,0.848,-2.87,13.86,-0.07
1187745,-0.48,-0.234,0.843,-4.97,15.54,-0.91
1187754,-0.481,-0.227,0.851,-4.9,15.05,-0.84
1187764,-0.475,-0.218,0.852,-3.43,13.44,-1.12
1187774,-0.477,-0.213,0.853,-1.33,11.62,-2.17
1187783,-0.477,-0.209,0.851,-0.21,9.87,-3.01
1187793,-0.468,-0.203,0.851,0.28,8.33,-3.22
1187803,-0.469,-0.203,0.852,0.42,7.63,-3.5
1187812,-0.473,-0.205,0.85,0.28,7.42,-4.06
1187822,-0.479,-0.212,0.84,0.63,7.0,-4.9
1187831,-0.48,-0.21,0.838,1.47,6.72,-4.97
1187841,-0.48,-0.204,0.843,1.96,7.0,-4.27
1187851,-0.475,-0.199,0.844,1.4,7.77,-3.71
1187860,-0.473,-0.203,0.854,-0.42,9.45,-3.85
1187870,-0.467,-0.206,0.858,-2.87,12.95,-3.43
1187880,-0.476,-0.225,0.858,-6.23,18.2,-3.71
1187889,-0.483,-0.229,0.85,-8.4,22.19,-4.41
1187899,-0.499,-0.25,0.839,-7.98,23.03,-4.34
1187908,-0.508,-0.261,0.816,-4.97,21.35,-3.71
1187918,-0.514,-0.252,0.795,-0.77,17.43,-3.15
1187928,-0.52,-0.243,0.782,2.24,12.04,-2.8
1187937,-0.525,-0.237,0.784,3.08,6.51,-2.45
1187947,-0.519,-0.232,0.806,3.43,1.96,-1.96
1187957,-0.509,-0.224,0.829,4.06,-0.49,-1.96
1187966,-0.507,-0.223,0.838,3.43,-0.35,-2.38
1187976,-0.507,-0.227,0.842,1.89,1.47,-2.52
1187985,-0.508,-0.232,0.846,0.84,3.36,-2.59
1187995,-0.51,-0.232,0.848,0.35,5.25,-2.52
1188005,-0.507,-0.232,0.849,-0.35,7.35,-2.17
1188014,-0.507,-0.239,0.845,-0.7,9.38,-1.89
1188024,-0.509,-0.243,0.837,-0.28,10.57,-2.1
1188034,-0.514,-0.248,0.837,0.77,10.36,-2.38
1188043,-0.513,-0.242,0.844,2.24,9.73,-1.96
1188053,-0.515,-0.233,0.85,2.94,9.17,-1.19
1188062,-0.514,-0.232,0.852,2.87,9.52,-0.77
1188072,-0.513,-0.234,0.856,2.94,11.06,-0.63
1188082,-0.515,-0.234,0.854,3.15,14.49,-0.35
1188091,-0.514,-0.228,0.842,3.15,18.76,-0.14
1188101,-0.519,-0.212,0.825,2.94,21.49,-0.49
1188111,-0.531,-0.205,0.807,1.68,21.84,-1.05
1188120,-0.535,-0.199,0.787,-0.56,20.3,-1.33
1188130,-0.536,-0.2,0.783,-2.17,17.29,-1.4
1188139,-0.532,-0.197,0.789,-2.73,13.65,-1.82
1188149,-0.526,-0.204,0.806,-3.08,10.99,-2.17
1188159,-0.531,-0.219,0.814,-3.5,11.2,-2.31
1188168,-0.534,-0.222,0.814,-3.15,12.39,-2.31
1188178,-0.54,-0.223,0.814,-1.75,12.6,-2.52
1188188,-0.538,-0.221,0.807,-0.07,11.97,-2.73
