Time,aX,aY,aZ,gX,gY,gZ
61001,-0.973,-0.267,-0.063,3.36,3.15,0.49
61009,-0.965,-0.272,-0.048,4.48,4.62,0.7
61018,-0.943,-0.267,-0.041,8.68,5.6,0.98
61026,-0.934,-0.254,-0.033,10.85,5.46,1.68
61035,-0.958,-0.248,-0.047,7.63,3.78,2.73
61043,-0.976,-0.264,-0.058,1.68,0.42,3.71
61051,-0.956,-0.277,-0.05,1.4,-3.15,4.2
61060,-0.936,-0.255,-0.035,5.04,-4.69,3.36
61068,-0.95,-0.248,-0.041,4.41,-3.57,0.77
61077,-0.964,-0.258,-0.039,1.05,-1.68,-0.56
61085,-0.961,-0.26,-0.044,0.63,0.14,-0.28
61093,-0.943,-0.263,-0.048,0.42,1.26,0.49
61102,-0.939,-0.259,-0.053,0.56,2.1,0.91
61110,-0.951,-0.257,-0.056,-0.42,2.87,0.77
61119,-0.966,-0.265,-0.072,-1.89,3.78,0.35
61128,-0.972,-0.269,-0.073,-1.61,3.71,0.42
61135,-0.965,-0.263,-0.065,-0.49,3.5,0.56
61144,-0.953,-0.256,-0.051,0.21,3.22,0.63
61152,-0.965,-0.25,-0.053,-0.56,2.87,0.77
61160,-0.972,-0.256,-0.053,-3.71,1.47,1.33
61169,-0.981,-0.263,-0.056,-4.76,-0.42,1.89
61177,-0.968,-0.262,-0.048,-3.43,-2.24,1.75
61186,-0.958,-0.256,-0.058,-1.96,-3.01,1.05
61194,-0.953,-0.265,-0.075,-2.94,-3.15,0.35
61202,-0.945,-0.273,-0.07,-3.29,-3.08,0.21
61211,-0.94,-0.271,-0.065,-1.12,-2.03,0.35
61219,-0.94,-0.268,-0.066,0.84,0.07,0.42
61227,-0.937,-0.268,-0.049,2.38,2.38,0.63
61236,-0.936,-0.254,-0.045,4.55,4.34,0.84
61244,-0.955,-0.248,-0.049,2.31,5.18,1.54
61253,-0.961,-0.258,-0.051,-1.26,5.04,2.17
61262,-0.947,-0.27,-0.05,-1.61,3.99,2.52
61269,-0.929,-0.26,-0.029,-0.14,2.45,3.15
61278,-0.937,-0.236,-0.025,-0.91,1.89,3.64
61286,-0.963,-0.254,-0.07,-5.25,1.05,3.22
61295,-0.959,-0.289,-0.092,-6.16,-1.75,2.87
61303,-0.93,-0.275,-0.062,0.84,-4.27,2.38
61311,-0.935,-0.24,-0.055,5.46,-3.5,0.84
61320,-0.967,-0.243,-0.06,-0.21,-0.91,0.28
61328,-0.981,-0.265,-0.07,-3.57,0.77,1.33
61336,-0.977,-0.263,-0.07,-0.42,0.91,2.73
61345,-0.97,-0.252,-0.073,2.8,1.33,2.87
61353,-0.957,-0.249,-0.065,3.22,2.66,1.82
61362,-0.951,-0.246,-0.046,4.48,4.48,0.35
61370,-0.966,-0.238,-0.053,5.18,6.3,-0.28
61378,-0.957,-0.256,-0.05,2.73,6.3,0.42
61387,-0.951,-0.25,-0.047,3.99,4.27,2.17
61396,-0.955,-0.231,-0.049,2.66,1.26,3.36
61403,-0.974,-0.24,-0.072,-4.34,-2.59,4.34
61412,-0.99,-0.269,-0.107,-9.1,-8.12,5.25
61420,-0.982,-0.275,-0.084,-6.02,-13.3,4.83
61429,-0.963,-0.249,-0.061,1.68,-13.86,2.73
61437,-0.956,-0.235,-0.053,2.52,-9.52,-0.42
61445,-0.952,-0.251,-0.055,-0.77,-2.94,-2.8
61454,-0.944,-0.259,-0.043,-0.14,2.87,-2.59
61462,-0.936,-0.247,-0.038,2.8,7.21,-0.7
61471,-0.942,-0.243,-0.043,1.47,9.94,1.4
61479,-0.95,-0.258,-0.055,-1.19,10.71,2.94
61487,-0.952,-0.255,-0.048,1.05,9.8,3.43
61496,-0.953,-0.244,-0.046,3.08,8.68,2.66
61504,-0.954,-0.24,-0.057,1.75,6.79,1.19
61512,-0.963,-0.248,-0.075,-2.03,3.29,0.98
61521,-0.962,-0.261,-0.086,-4.13,-1.54,1.54
61530,-0.948,-0.258,-0.077,-2.94,-5.6,1.96
61539,-0.951,-0.25,-0.068,-1.47,-6.3,1.12
61546,-0.962,-0.246,-0.059,-1.82,-3.78,-0.28
61554,-0.966,-0.245,-0.053,-1.75,0.0,-0.56
61563,-0.963,-0.244,-0.058,-1.05,3.36,-0.07
