Time,aX,aY,aZ,gX,gY,gZ
23186,-0.192,-0.689,-0.693,-6.51,-2.66,-2.52
23194,-0.199,-0.69,-0.695,-5.11,-3.5,-1.68
23203,-0.202,-0.688,-0.685,-2.52,-3.43,-0.28
23211,-0.211,-0.69,-0.685,2.03,-2.24,0.77
23220,-0.213,-0.688,-0.703,4.97,-2.31,1.26
23228,-0.208,-0.696,-0.714,3.57,-3.15,0.91
23237,-0.205,-0.693,-0.691,2.73,-3.01,0.63
23246,-0.206,-0.69,-0.672,4.69,-1.96,1.19
23253,-0.217,-0.7,-0.721,5.53,-1.96,0.63
23262,-0.219,-0.698,-0.733,-1.05,-3.08,-2.24
23270,-0.209,-0.702,-0.695,-5.32,-3.99,-3.85
23278,-0.206,-0.698,-0.678,-3.43,-4.55,-2.94
23287,-0.2,-0.695,-0.68,-0.14,-4.41,-1.26
23295,-0.208,-0.688,-0.692,0.98,-4.48,-0.49
23303,-0.208,-0.684,-0.696,-0.77,-4.55,-0.98
23312,-0.205,-0.691,-0.676,-1.61,-4.48,-1.33
23320,-0.205,-0.687,-0.676,0.0,-3.71,-1.61
23329,-0.206,-0.685,-0.684,0.21,-3.08,-1.68
23337,-0.209,-0.682,-0.675,0.42,-2.73,-1.54
23345,-0.203,-0.67,-0.689,-0.07,-2.17,-1.89
23354,-0.203,-0.678,-0.684,-3.78,-1.89,-2.59
23362,-0.2,-0.702,-0.693,-5.18,-1.61,-3.08
23371,-0.199,-0.698,-0.713,-5.6,-2.03,-3.01
23380,-0.197,-0.698,-0.693,-6.44,-2.45,-2.38
23387,-0.192,-0.698,-0.687,-4.34,-2.31,-1.54
23396,-0.196,-0.691,-0.692,-1.89,-2.1,-0.49
23404,-0.198,-0.687,-0.672,0.07,-1.75,0.42
23412,-0.201,-0.686,-0.671,3.29,-1.05,1.61
23421,-0.21,-0.689,-0.692,4.69,-0.49,1.96
23429,-0.22,-0.691,-0.701,3.43,0.0,0.84
23438,-0.23,-0.684,-0.694,0.0,0.28,-1.47
23446,-0.226,-0.681,-0.675,-2.45,0.28,-3.22
23454,-0.222,-0.692,-0.689,-3.15,-0.28,-3.92
23463,-0.216,-0.694,-0.706,-3.36,-1.12,-3.64
23471,-0.21,-0.694,-0.702,-4.69,-1.82,-3.36
23479,-0.203,-0.694,-0.687,-4.76,-2.03,-2.59
23488,-0.203,-0.691,-0.685,-3.08,-1.82,-1.19
23496,-0.205,-0.693,-0.7,-1.47,-1.54,0.0
23505,-0.201,-0.693,-0.701,-1.47,-1.12,0.0
23514,-0.2,-0.687,-0.696,-1.19,-0.98,-0.21
23521,-0.207,-0.685,-0.691,-0.77,-1.61,-0.14
23530,-0.21,-0.692,-0.696,0.35,-2.17,0.35
23538,-0.202,-0.693,-0.699,2.1,-2.24,0.42
23547,-0.193,-0.685,-0.697,2.66,-2.24,0.42
23555,-0.193,-0.673,-0.701,0.21,-2.24,0.0
23563,-0.206,-0.688,-0.707,-3.64,-2.17,-0.07
23572,-0.206,-0.695,-0.705,-4.27,-2.24,0.14
23580,-0.2,-0.694,-0.701,-3.29,-1.89,0.0
23588,-0.199,-0.691,-0.689,-2.1,-2.31,0.63
23597,-0.205,-0.688,-0.688,0.77,-2.8,1.82
23605,-0.217,-0.682,-0.701,2.1,-2.45,2.52
23614,-0.219,-0.685,-0.705,0.0,-1.96,1.68
23622,-0.228,-0.69,-0.702,-2.66,-2.03,0.07
23630,-0.22,-0.689,-0.692,-4.2,-2.87,-0.98
23639,-0.213,-0.675,-0.667,-4.13,-3.57,-0.84
