Time,aX,aY,aZ,gX,gY,gZ
60045,0.0,-0.952,-0.312,5.67,-0.84,-0.28
60054,0.002,-0.952,-0.305,4.62,-0.84,-0.21
60062,0.003,-0.951,-0.302,3.08,-0.63,-0.14
60071,0.003,-0.952,-0.304,1.4,-0.49,-0.07
60079,0.003,-0.955,-0.31,0.35,-0.07,0.0
60087,0.003,-0.955,-0.314,0.07,0.07,0.07
60096,0.002,-0.954,-0.311,-0.07,0.07,0.28
60104,0.0,-0.954,-0.31,-0.49,0.14,0.35
60112,-0.001,-0.954,-0.31,-0.7,0.0,0.35
60121,-0.002,-0.953,-0.312,-0.7,-0.28,0.42
60129,-0.003,-0.953,-0.316,-0.35,-0.63,0.42
60138,0.0,-0.953,-0.313,0.35,-1.05,0.35
60146,-0.001,-0.953,-0.311,0.77,-0.49,0.21
60155,-0.002,-0.954,-0.314,0.56,-0.49,-0.07
60164,-0.001,-0.954,-0.315,0.56,-0.7,-0.28
60171,-0.001,-0.952,-0.311,0.21,-0.84,-0.42
60179,0.002,-0.953,-0.307,-0.63,-0.56,-0.49
60188,0.0,-0.955,-0.32,-1.47,-0.14,-0.42
60196,0.003,-0.956,-0.32,-1.05,-0.28,-0.35
60205,0.001,-0.955,-0.317,-0.56,-0.28,-0.21
60213,0.001,-0.955,-0.317,-0.42,-0.49,-0.07
60221,0.001,-0.956,-0.317,0.14,-0.7,-0.14
60230,0.003,-0.954,-0.311,0.98,-0.63,-0.14
60238,0.001,-0.954,-0.313,1.19,-0.56,0.07
60247,0.0,-0.955,-0.317,1.54,-0.77,0.28
60255,-0.001,-0.953,-0.312,2.03,-0.98,0.21
60263,-0.001,-0.956,-0.307,2.03,-0.98,0.14
60272,-0.001,-0.954,-0.307,2.1,-0.35,0.21
60280,0.0,-0.956,-0.31,1.96,0.14,0.56
60289,-0.001,-0.958,-0.315,2.24,0.21,0.98
60298,-0.006,-0.955,-0.307,2.94,0.14,1.19
60305,-0.003,-0.957,-0.303,2.87,0.07,0.98
60314,-0.003,-0.958,-0.307,2.87,-0.14,0.77
60322,-0.001,-0.956,-0.304,2.94,-0.21,0.7
60330,-0.003,-0.956,-0.304,2.59,-0.42,0.56
60339,-0.001,-0.953,-0.303,2.1,-0.63,0.28
60347,-0.003,-0.953,-0.298,0.98,-0.56,0.0
60356,-0.004,-0.951,-0.298,-0.91,-0.77,-0.28
60364,-0.002,-0.955,-0.304,-2.73,-1.12,-0.49
60372,-0.002,-0.955,-0.307,-3.43,-1.19,-0.35
60381,0.0,-0.954,-0.3,-3.85,-0.91,-0.21
60389,-0.002,-0.953,-0.301,-4.76,-0.07,-0.14
