Time,aX,aY,aZ,gX,gY,gZ
2071483,-0.889,-0.019,0.359,-71.05,2.66,-10.5
2071493,-0.862,-0.036,0.381,-84.98,2.17,-11.62
2071503,-0.836,-0.04,0.382,-92.12,2.31,-14.0
2071512,-0.873,-0.018,0.332,-102.55,2.45,-15.89
2071522,-0.879,-0.015,0.338,-124.74,1.89,-15.68
2071532,-0.859,-0.054,0.393,-147.35,1.89,-16.45
2071541,-0.876,-0.101,0.433,-160.3,9.03,-14.63
2071551,-0.875,-0.14,0.5,-162.96,19.6,-13.3
2071560,-0.914,-0.194,0.534,-154.98,23.31,-11.83
2071570,-0.921,-0.227,0.531,-133.28,17.78,-9.1
2071580,-0.909,-0.241,0.534,-100.73,7.42,-6.65
2071589,-0.892,-0.235,0.515,-67.69,-4.34,-6.3
2071599,-0.892,-0.219,0.484,-39.69,-14.07,-7.21
2071609,-0.884,-0.203,0.473,-18.13,-19.39,-7.56
2071618,-0.876,-0.179,0.454,-5.25,-18.76,-7.63
2071628,-0.876,-0.161,0.433,-1.33,-12.53,-7.28
2071637,-0.878,-0.142,0.413,-2.8,-5.39,-6.51
2071647,-0.887,-0.128,0.394,-6.93,-1.05,-5.6
2071657,-0.886,-0.137,0.398,-11.34,0.42,-5.04
2071666,-0.898,-0.152,0.411,-13.86,1.05,-4.55
2071676,-0.893,-0.165,0.43,-12.11,-0.98,-3.57
2071686,-0.892,-0.176,0.44,-4.48,-5.25,-2.52
2071695,-0.902,-0.178,0.422,5.6,-10.99,-1.47
2071705,-0.899,-0.182,0.402,12.53,-18.83,-0.28
2071714,-0.882,-0.173,0.4,16.24,-25.9,0.56
2071724,-0.861,-0.156,0.399,16.94,-28.49,0.98
2071734,-0.878,-0.14,0.397,14.84,-28.28,0.91
2071743,-0.869,-0.129,0.37,8.96,-27.3,0.84
2071753,-0.877,-0.128,0.35,-0.14,-28.98,1.12
2071763,-0.867,-0.13,0.388,-12.04,-33.67,2.24
