Time,aX,aY,aZ,gX,gY,gZ
2100013,0.55,-0.609,0.421,-45.15,-35.7,96.32
2100022,0.687,-0.584,0.541,-37.38,-36.82,89.67
2100032,0.841,-0.574,0.61,-25.76,-26.74,65.24
2100041,0.805,-0.528,0.699,-14.63,-9.66,30.38
2100051,0.678,-0.479,0.725,-9.73,2.8,8.54
2100060,0.638,-0.541,0.716,-17.71,3.64,6.44
2100070,0.638,-0.58,0.63,-22.96,0.63,5.6
2100079,0.645,-0.58,0.594,-11.9,0.42,-2.31
2100089,0.645,-0.518,0.622,3.01,5.81,-13.44
2100098,0.661,-0.484,0.607,12.88,12.18,-25.48
2100108,0.657,-0.45,0.638,17.29,18.9,-38.99
2100117,0.649,-0.434,0.664,26.18,19.67,-50.47
2100127,0.659,-0.432,0.671,35.91,17.78,-62.09
2100136,0.658,-0.419,0.643,36.47,20.09,-71.4
2100146,0.657,-0.468,0.617,26.67,26.67,-77.77
2100155,0.524,-0.568,0.543,13.3,34.3,-80.01
2100165,0.414,-0.608,0.506,0.07,25.76,-68.81
2100174,0.435,-0.619,0.5,-4.9,5.74,-52.64
2100184,0.534,-0.575,0.54,-6.44,-4.9,-43.47
2100193,0.563,-0.49,0.636,-4.97,-5.53,-41.93
2100203,0.607,-0.42,0.716,3.01,-6.44,-45.01
2100212,0.669,-0.368,0.762,11.76,-7.07,-50.54
2100222,0.726,-0.309,0.768,17.57,-3.08,-59.78
2100231,0.676,-0.304,0.725,20.37,5.6,-70.42
2100241,0.584,-0.349,0.626,13.79,7.28,-71.89
2100250,0.548,-0.455,0.552,-1.12,0.14,-62.93
2100260,0.55,-0.543,0.525,-11.2,-4.9,-52.15
2100269,0.557,-0.58,0.542,-10.22,-8.96,-46.27
2100279,0.587,-0.552,0.602,0.14,-14.21,-44.52
2100288,0.627,-0.484,0.662,10.99,-16.8,-43.4
2100298,0.643,-0.423,0.699,16.38,-15.4,-40.67
2100307,0.657,-0.404,0.729,17.78,-11.69,-35.77
2100317,0.656,-0.418,0.706,14.63,-5.53,-30.38
2100326,0.606,-0.431,0.657,7.91,0.14,-23.1
2100336,0.555,-0.48,0.618,-2.45,5.46,-7.84
2100345,0.538,-0.533,0.6,-14.91,9.8,13.02
2100355,0.565,-0.552,0.602,-23.31,11.69,31.36
2100364,0.624,-0.525,0.638,-22.4,11.06,41.58
2100374,0.674,-0.479,0.673,-16.66,9.66,42.07
2100383,0.7,-0.425,0.699,-10.71,8.82,35.56
2100393,0.699,-0.385,0.706,-5.95,6.16,24.5
2100402,0.697,-0.363,0.682,-3.01,1.68,11.97
2100412,0.658,-0.374,0.651,-3.92,1.47,2.8
2100421,0.596,-0.421,0.607,-8.96,1.33,0.49
2100431,0.556,-0.507,0.601,-17.99,-1.54,7.14
2100440,0.555,-0.58,0.61,-25.97,-4.55,20.79
2100450,0.598,-0.604,0.633,-25.62,-6.37,33.6
2100459,0.651,-0.584,0.682,-17.22,-5.88,38.78
2100469,0.691,-0.536,0.729,-9.45,-4.76,38.01
2100478,0.721,-0.488,0.737,-4.62,-2.38,34.37
2100488,0.739,-0.451,0.735,0.77,3.5,28.14
2100497,0.74,-0.411,0.724,3.15,12.18,19.32
2100507,0.689,-0.391,0.692,1.19,19.67,10.57
2100516,0.589,-0.427,0.621,-5.18,22.47,6.51
2100526,0.535,-0.493,0.562,-20.58,21.35,13.23
2100535,0.499,-0.581,0.517,-35.7,17.36,26.53
2100545,0.523,-0.608,0.532,-36.05,11.97,38.92
2100554,0.584,-0.583,0.603,-25.76,8.19,46.76
2100564,0.639,-0.518,0.68,-16.66,10.36,50.33
2100573,0.671,-0.459,0.695,-10.85,15.05,50.26
2100583,0.683,-0.418,0.707,-7.35,20.16,48.37
2100592,0.667,-0.393,0.682,-6.72,26.81,43.68
2100602,0.64,-0.399,0.656,-5.88,30.59,33.88
2100611,0.568,-0.434,0.619,-4.62,30.03,22.47
2100621,0.514,-0.501,0.579,-7.07,22.75,15.33
2100630,0.474,-0.565,0.536,-9.8,11.41,12.18
2100640,0.471,-0.595,0.539,-9.94,0.35,12.46
2100649,0.481,-0.596,0.583,-12.39,-5.25,17.64
2100659,0.542,-0.586,0.634,-17.22,-5.6,25.76
