Time,aX,aY,aZ,gX,gY,gZ
37952,-0.94,-0.447,-0.111,14.63,-23.45,-14.63
37961,-0.944,-0.449,-0.109,31.22,-21.28,-17.92
37969,-0.942,-0.49,-0.095,54.04,-18.55,-19.67
37977,-0.868,-0.485,-0.131,82.04,-15.61,-19.25
37986,-0.839,-0.447,-0.149,91.77,-14.7,-19.25
37994,-0.821,-0.446,-0.154,78.47,-14.49,-20.58
38002,-0.826,-0.482,-0.157,58.24,-15.68,-21.35
38011,-0.845,-0.512,-0.111,46.9,-18.76,-17.57
38020,-0.86,-0.501,-0.059,46.62,-21.7,-12.67
38029,-0.855,-0.469,-0.035,47.95,-23.45,-7.42
38036,-0.842,-0.485,-0.089,40.25,-23.17,-1.61
38044,-0.823,-0.49,-0.119,25.48,-24.15,2.59
38053,-0.862,-0.516,-0.064,13.93,-27.23,5.46
38061,-0.853,-0.47,-0.078,14.0,-29.19,6.65
38070,-0.88,-0.477,-0.087,17.29,-30.59,3.29
38078,-0.887,-0.467,-0.125,21.28,-33.25,-2.87
38086,-0.863,-0.471,-0.145,22.47,-40.81,-8.68
38095,-0.838,-0.513,-0.105,18.55,-49.77,-13.02
38103,-0.83,-0.543,-0.001,14.28,-54.81,-9.94
38111,-0.835,-0.528,0.081,12.11,-53.69,-6.37
38120,-0.835,-0.51,0.077,5.46,-46.41,-5.88
38128,-0.837,-0.502,0.013,-11.83,-38.85,-6.02
38137,-0.856,-0.526,0.056,-32.48,-39.41,-6.65
38145,-0.871,-0.513,0.112,-43.19,-43.26,-8.19
38154,-0.857,-0.513,0.095,-40.81,-43.4,-3.85
38163,-0.864,-0.488,0.077,-31.64,-42.0,9.03
38170,-0.88,-0.445,0.061,-25.06,-40.25,13.44
38179,-0.886,-0.446,0.053,-20.93,-39.97,8.19
38187,-0.878,-0.461,0.05,-13.09,-42.56,4.76
38195,-0.841,-0.429,0.029,-5.81,-45.08,4.27
38204,-0.841,-0.482,0.029,-10.15,-44.24,0.56
38212,-0.846,-0.505,0.053,-15.68,-48.51,-1.33
38220,-0.842,-0.507,0.102,-16.87,-50.54,0.14
38229,-0.838,-0.51,0.116,-17.92,-46.48,0.77
38237,-0.845,-0.53,0.136,-20.09,-40.81,1.26
38246,-0.862,-0.513,0.157,-22.33,-36.89,2.94
38254,-0.84,-0.493,0.128,-27.3,-33.25,3.78
38262,-0.863,-0.495,0.071,-33.11,-31.22,3.99
38271,-0.872,-0.494,0.057,-33.04,-33.6,2.38
38279,-0.877,-0.489,0.051,-23.94,-34.3,-1.12
38288,-0.865,-0.479,0.068,-9.8,-33.95,-3.64
38297,-0.86,-0.479,0.1,-3.99,-31.85,-4.9
38304,-0.857,-0.498,0.096,-2.1,-28.84,-6.09
38313,-0.859,-0.499,0.074,1.19,-28.7,-6.23
38321,-0.851,-0.486,0.094,3.71,-31.29,-5.6
38329,-0.857,-0.494,0.106,1.12,-31.15,-5.04
38338,-0.858,-0.523,0.131,-1.33,-29.96,-3.57
38346,-0.852,-0.518,0.172,-1.96,-28.7,-1.19
38355,-0.875,-0.504,0.166,-4.76,-25.2,0.7
38363,-0.853,-0.5,0.12,-5.18,-24.57,2.38
38371,-0.849,-0.516,0.128,5.53,-25.62,6.02
38380,-0.855,-0.461,0.102,13.58,-24.57,8.75
38388,-0.856,-0.458,0.083,9.87,-23.24,6.51
38396,-0.856,-0.495,0.074,4.69,-24.22,3.57
38405,-0.85,-0.501,0.094,4.9,-28.21,2.31
38413,-0.837,-0.506,0.114,3.43,-31.01,0.42
38422,-0.848,-0.523,0.15,1.89,-32.62,-0.56
38431,-0.865,-0.517,0.203,7.14,-33.81,0.84
38438,-0.857,-0.497,0.227,10.71,-32.9,2.52
38447,-0.851,-0.484,0.212,6.86,-29.82,2.45
38455,-0.85,-0.498,0.188,-2.17,-28.28,1.33
38464,-0.847,-0.516,0.22,-10.64,-29.47,1.19
38472,-0.856,-0.5,0.25,-12.46,-28.0,2.66
38480,-0.861,-0.484,0.245,-7.0,-22.68,5.39
38489,-0.861,-0.454,0.211,-1.33,-17.22,7.07
38497,-0.859,-0.436,0.162,-0.98,-13.93,6.09
38505,-0.857,-0.461,0.158,-2.52,-14.56,3.99
38514,-0.852,-0.461,0.175,-1.61,-17.08,2.66
38522,-0.845,-0.448,0.19,-3.64,-18.48,0.7
38531,-0.858,-0.454,0.201,-7.56,-18.41,-1.26
38539,-0.852,-0.474,0.215,-6.37,-18.48,-2.17
38547,-0.848,-0.477,0.225,-3.01,-17.64,-1.54
38556,-0.839,-0.498,0.218,-3.08,-15.68,-1.33
38565,-0.841,-0.504,0.216,-4.13,-15.61,-0.7
38574,-0.843,-0.501,0.228,-4.55,-16.59,-0.42
38581,-0.837,-0.509,0.24,-2.24,-16.24,0.14
38589,-0.833,-0.488,0.226,0.7,-14.42,1.96
38598,-0.826,-0.49,0.211,-2.59,-12.88,2.17
38606,-0.832,-0.487,0.196,-5.81,-12.6,2.52
38614,-0.848,-0.467,0.202,-5.18,-13.93,2.59
38623,-0.85,-0.45,0.2,-3.71,-14.56,1.12
38631,-0.851,-0.453,0.204,-4.97,-14.35,-1.26
38640,-0.85,-0.471,0.224,-6.09,-14.14,-3.29
38648,-0.843,-0.491,0.24,-5.88,-13.23,-4.62
38656,-0.834,-0.515,0.253,-5.18,-11.83,-4.27
38665,-0.823,-0.529,0.243,-3.99,-10.08,-2.38
38673,-0.815,-0.515,0.194,-3.57,-9.38,0.14
38682,-0.811,-0.528,0.139,-5.11,-11.34,0.91
