Time,aX,aY,aZ,gX,gY,gZ
41100,-0.803,-0.003,0.579,0.35,-0.07,0.0
41108,-0.802,-0.004,0.58,0.49,-1.4,0.35
41117,-0.796,-0.001,0.591,0.56,-2.38,0.63
41125,-0.798,0.004,0.596,0.63,-1.33,0.42
41134,-0.804,0.003,0.588,-0.42,-0.21,-0.21
41143,-0.801,0.0,0.588,-1.75,-0.49,-0.7
41150,-0.798,-0.002,0.588,-2.1,-0.56,-0.84
41158,-0.803,-0.003,0.579,-2.31,-0.84,-0.84
41167,-0.804,-0.008,0.577,-2.38,-2.45,-0.49
41175,-0.799,-0.004,0.587,-2.1,-3.71,-0.14
41184,-0.798,-0.004,0.59,-1.96,-3.71,-0.07
41192,-0.798,-0.004,0.59,-1.68,-3.22,-0.07
41200,-0.798,0.0,0.594,-1.61,-2.87,-0.14
41209,-0.8,-0.005,0.588,-2.03,-2.59,-0.35
41217,-0.794,-0.004,0.597,-2.03,-2.45,-0.42
41226,-0.795,-0.007,0.592,-1.82,-1.26,-0.56
41234,-0.794,-0.009,0.594,-1.05,-0.42,-0.42
41242,-0.796,-0.007,0.589,-0.28,0.7,-0.35
41251,-0.802,-0.007,0.581,0.14,0.63,-0.07
41259,-0.798,-0.003,0.589,0.35,-0.91,0.35
41268,-0.798,-0.002,0.591,0.0,-1.33,0.21
41277,-0.802,-0.001,0.584,-0.49,-1.4,0.0
41284,-0.801,-0.006,0.584,-1.12,-2.8,0.0
41293,-0.797,-0.003,0.593,-0.98,-3.64,0.14
41301,-0.8,-0.004,0.588,-0.98,-3.36,0.07
41309,-0.798,-0.001,0.593,-1.26,-3.85,0.0
41318,-0.793,0.0,0.601,-1.82,-3.71,-0.35
41326,-0.791,0.0,0.606,-2.66,-1.75,-1.12
41335,-0.796,-0.003,0.596,-3.57,0.28,-1.82
41343,-0.795,-0.008,0.593,-3.71,0.77,-1.89
41351,-0.799,-0.006,0.586,-3.29,0.63,-1.68
41360,-0.799,-0.009,0.586,-3.5,-0.7,-1.54
41368,-0.796,-0.008,0.594,-3.36,-1.75,-1.33
41376,-0.793,-0.012,0.595,-3.15,-1.68,-1.26
41385,-0.793,-0.013,0.595,-2.52,-1.05,-1.05
41393,-0.793,-0.012,0.596,-1.54,-0.49,-0.91
41402,-0.795,-0.013,0.592,-0.7,0.14,-0.63
41411,-0.795,-0.016,0.588,0.07,0.07,-0.35
41418,-0.797,-0.011,0.589,0.77,0.14,0.14
41427,-0.796,-0.011,0.594,0.98,-0.14,0.35
41435,-0.795,-0.008,0.595,1.19,0.28,0.42
41444,-0.795,-0.011,0.593,1.33,0.63,0.42
41452,-0.792,-0.009,0.597,1.61,0.84,0.49
41460,-0.792,-0.007,0.599,2.03,2.1,0.28
41469,-0.797,-0.009,0.587,2.24,3.15,0.07
41477,-0.8,-0.006,0.589,2.52,2.8,0.21
41485,-0.799,-0.007,0.59,2.31,2.03,0.28
41494,-0.8,-0.005,0.592,1.89,1.82,0.21
41502,-0.801,-0.005,0.587,1.4,1.75,0.07
41511,-0.804,-0.003,0.583,0.7,0.91,0.07
41519,-0.799,-0.006,0.588,-0.28,-0.56,0.07
41527,-0.798,-0.01,0.586,-0.63,-1.05,0.07
41536,-0.798,-0.011,0.585,-0.28,-1.68,0.35
41545,-0.796,-0.008,0.592,0.21,-2.52,0.77
41552,-0.793,-0.005,0.598,0.63,-2.03,0.77
41561,-0.794,-0.005,0.597,0.77,-0.63,0.49
41569,-0.795,-0.003,0.597,0.77,0.7,0.07
41578,-0.803,-0.003,0.587,0.21,1.54,-0.28
41586,-0.804,-0.003,0.581,-0.77,0.42,-0.49
41594,-0.799,-0.007,0.586,-1.75,-1.61,-0.42
41603,-0.795,-0.007,0.593,-1.96,-2.17,-0.49
41611,-0.799,-0.007,0.587,-1.89,-1.89,-0.49
41620,-0.794,-0.008,0.592,-1.61,-2.52,-0.35
41628,-0.794,-0.006,0.594,-1.4,-1.96,-0.35
41636,-0.798,-0.008,0.59,-1.26,-1.26,-0.42
41645,-0.798,-0.005,0.592,-1.54,-1.05,-0.49
41653,-0.794,-0.007,0.594,-1.96,-0.98,-0.7
41661,-0.796,-0.008,0.593,-2.17,-0.35,-0.98
41670,-0.796,-0.007,0.59,-2.17,-0.14,-1.05
41679,-0.795,-0.009,0.593,-2.17,-0.56,-0.98
41688,-0.792,-0.011,0.597,-1.82,0.14,-0.98
41695,-0.794,-0.012,0.596,-1.26,1.61,-1.12
41703,-0.796,-0.013,0.589,-0.56,2.45,-1.05
41712,-0.797,-0.013,0.591,0.14,2.8,-0.84
41720,-0.802,-0.01,0.583,0.21,2.8,-0.7
41729,-0.801,-0.008,0.586,-0.14,1.47,-0.49
41737,-0.799,-0.012,0.585,-0.56,0.42,-0.35
41745,-0.8,-0.013,0.585,-0.49,-0.21,-0.21
41754,-0.798,-0.015,0.585,0.0,-1.12,0.28
41762,-0.796,-0.012,0.59,0.98,-1.4,0.7
41770,-0.798,-0.01,0.588,1.61,-1.4,0.98
41779,-0.795,-0.008,0.598,1.75,-1.33,1.05
41787,-0.794,-0.006,0.595,1.82,0.0,0.77
41796,-0.797,-0.006,0.592,1.61,0.77,0.35
41804,-0.799,-0.004,0.589,1.05,1.05,0.14
41813,-0.8,-0.007,0.588,0.21,0.7,-0.07
41822,-0.802,-0.008,0.584,-0.28,0.14,-0.14
41829,-0.799,-0.009,0.585,-0.7,-1.12,-0.07
41838,-0.796,-0.008,0.592,-0.7,-1.75,0.0
41846,-0.796,-0.011,0.587,-0.42,-1.4,0.07
41854,-0.799,-0.006,0.59,-0.28,-1.05,0.0
