Time,aX,aY,aZ,gX,gY,gZ
26099,0.467,-0.405,0.872,1.26,-4.83,-15.54
26106,0.44,-0.404,0.858,3.15,-8.96,-13.02
26114,0.422,-0.391,0.837,6.3,-11.34,-9.31
26123,0.412,-0.39,0.816,7.35,-8.96,-5.32
26131,0.404,-0.388,0.809,9.1,-4.41,-1.47
26140,0.41,-0.384,0.803,10.29,0.63,1.89
26148,0.42,-0.384,0.808,9.87,2.38,4.34
26156,0.447,-0.395,0.779,7.56,1.05,5.18
26165,0.472,-0.401,0.755,5.11,-0.42,3.08
26173,0.479,-0.408,0.757,4.2,-2.03,-0.14
26181,0.476,-0.407,0.772,4.48,-4.83,-2.66
26190,0.464,-0.407,0.779,3.99,-6.86,-3.99
26198,0.456,-0.394,0.79,3.99,-7.35,-3.57
26207,0.448,-0.386,0.812,5.81,-7.77,-2.52
26215,0.457,-0.384,0.827,6.02,-5.95,-1.05
26224,0.443,-0.39,0.836,8.54,-2.8,-0.63
26233,0.451,-0.404,0.83,7.49,1.05,0.21
26240,0.455,-0.409,0.817,4.41,4.27,1.4
26248,0.471,-0.415,0.798,1.61,5.81,1.96
26257,0.477,-0.42,0.782,-1.47,7.7,1.61
26265,0.473,-0.417,0.788,-1.75,7.84,0.21
26274,0.475,-0.414,0.793,-1.82,6.72,-1.47
26282,0.466,-0.406,0.801,-0.77,4.27,-2.1
26290,0.466,-0.392,0.818,0.98,2.03,-2.17
26299,0.472,-0.386,0.828,2.66,1.4,-2.59
26307,0.481,-0.38,0.834,4.55,0.91,-3.57
26316,0.478,-0.388,0.827,6.72,0.07,-4.83
26324,0.477,-0.403,0.806,6.93,-0.07,-5.53
26332,0.467,-0.415,0.791,4.76,1.54,-5.81
26341,0.461,-0.422,0.787,1.89,2.45,-4.69
26349,0.462,-0.404,0.799,0.42,1.12,-2.66
26358,0.462,-0.391,0.818,-0.42,-1.47,-1.61
26367,0.463,-0.376,0.842,-0.35,-2.17,-2.03
26374,0.461,-0.364,0.855,1.82,-1.68,-3.15
26383,0.453,-0.362,0.843,4.27,-2.03,-4.55
26391,0.45,-0.368,0.825,6.09,-1.82,-5.53
26399,0.448,-0.369,0.813,7.42,-0.21,-6.16
26408,0.445,-0.378,0.799,6.93,1.33,-5.81
26416,0.456,-0.375,0.795,7.42,1.05,-5.46
26425,0.462,-0.381,0.802,7.14,0.21,-5.46
26433,0.459,-0.381,0.805,7.56,-1.68,-4.83
26441,0.459,-0.384,0.814,9.8,-4.69,-3.57
26450,0.458,-0.388,0.809,10.92,-7.49,-1.82
26458,0.464,-0.389,0.794,8.89,-9.03,-0.14
26466,0.461,-0.383,0.792,6.86,-8.54,0.35
26475,0.465,-0.376,0.78,3.71,-6.44,0.14
26483,0.469,-0.374,0.777,-0.07,-2.8,-0.07
26492,0.472,-0.373,0.794,-1.75,1.61,-0.98
26501,0.467,-0.378,0.801,-5.18,6.02,-1.54
26508,0.458,-0.378,0.815,-6.37,7.35,-1.05
26517,0.463,-0.38,0.835,-4.83,6.16,-0.07
26525,0.463,-0.378,0.848,-3.5,4.41,1.05
26533,0.462,-0.379,0.849,-0.56,1.19,1.96
26542,0.476,-0.386,0.838,1.68,-1.12,2.03
26550,0.48,-0.393,0.824,1.89,-1.47,1.4
26559,0.486,-0.395,0.816,1.19,-1.89,0.28
26567,0.487,-0.392,0.805,-0.77,-2.1,-0.21
26575,0.492,-0.376,0.797,-1.26,-1.54,-0.84
26584,0.487,-0.376,0.794,-2.73,1.33,-1.82
26592,0.466,-0.368,0.806,-7.35,6.44,-2.8
26601,0.451,-0.374,0.806,-8.26,9.1,-3.78
26609,0.438,-0.374,0.814,-6.44,8.75,-3.29
26617,0.431,-0.37,0.822,-3.92,7.0,-1.68
26626,0.441,-0.373,0.822,-0.91,4.48,-0.35
26635,0.449,-0.374,0.817,0.84,2.38,0.14
26642,0.448,-0.383,0.813,1.05,0.98,-0.14
26651,0.445,-0.388,0.798,1.47,-1.12,-0.42
26659,0.452,-0.396,0.791,1.54,-2.38,-0.56
26668,0.457,-0.378,0.807,0.91,-3.29,0.0
26676,0.47,-0.373,0.813,-2.52,-3.15,1.47
26684,0.471,-0.369,0.825,-2.59,-0.77,1.61
26693,0.469,-0.377,0.837,-2.31,2.8,0.98
26701,0.472,-0.384,0.828,-1.68,5.39,0.56
26710,0.465,-0.378,0.83,2.1,7.07,-0.07
26718,0.466,-0.372,0.84,5.25,8.68,-1.75
26726,0.464,-0.376,0.846,6.58,9.66,-3.5
26735,0.454,-0.381,0.834,6.51,9.45,-4.34
26743,0.449,-0.377,0.834,8.05,7.14,-4.41
26751,0.449,-0.377,0.831,9.03,4.48,-3.99
26760,0.444,-0.381,0.82,8.26,2.17,-2.73
26769,0.438,-0.391,0.808,6.58,-0.14,0.14
26778,0.439,-0.385,0.79,2.87,-2.59,3.71
26785,0.456,-0.387,0.777,-2.1,-2.87,5.74
26793,0.472,-0.378,0.784,-4.06,0.14,4.69
26802,0.475,-0.369,0.818,-4.83,3.08,1.82
26810,0.472,-0.366,0.828,-6.44,3.78,-0.98
26819,0.467,-0.361,0.835,-5.25,2.1,-2.59
26827,0.455,-0.354,0.854,-2.66,-0.7,-3.01
26835,0.448,-0.359,0.852,0.0,-3.64,-2.31
26844,0.444,-0.364,0.849,2.8,-5.18,-1.19
26852,0.446,-0.368,0.841,4.69,-4.48,-0.42
26860,0.44,-0.375,0.837,5.04,-3.22,0.28
26869,0.448,-0.386,0.818,3.57,-2.52,1.12
26877,0.454,-0.391,0.796,0.14,-2.31,2.45
26886,0.457,-0.387,0.787,-1.47,-2.52,3.01
26894,0.465,-0.384,0.791,-2.59,-1.47,2.03
26903,0.458,-0.381,0.798,-4.9,0.84,0.49
26912,0.46,-0.376,0.813,-6.02,2.17,-0.7
26919,0.451,-0.371,0.826,-5.53,1.96,-0.84
26927,0.451,-0.373,0.833,-3.92,1.19,-0.42
26936,0.45,-0.382,0.833,-1.82,0.77,0.21
26944,0.455,-0.378,0.833,-0.35,0.49,1.05
26953,0.463,-0.375,0.833,0.77,0.35,1.33
26961,0.465,-0.373,0.84,1.96,-0.28,1.12
26969,0.461,-0.37,0.844,2.94,-2.1,1.05
26978,0.458,-0.375,0.837,3.43,-4.55,0.98
26986,0.455,-0.378,0.818,2.94,-5.74,0.77
26995,0.457,-0.375,0.808,2.17,-5.74,0.42
27003,0.463,-0.384,0.798,0.56,-2.94,-0.56
27011,0.459,-0.387,0.802,-0.35,1.33,-2.59
27020,0.456,-0.387,0.805,-2.45,4.06,-3.64
27028,0.457,-0.378,0.812,-2.59,3.92,-3.85
27037,0.456,-0.368,0.825,-1.26,2.66,-3.99
27046,0.448,-0.363,0.837,0.49,1.12,-3.71
27053,0.443,-0.364,0.838,1.89,-1.19,-2.38
27062,0.44,-0.371,0.825,2.73,-3.57,-0.7
27070,0.442,-0.377,0.806,2.8,-4.2,0.42
27078,0.445,-0.393,0.788,2.03,-3.64,0.91
27087,0.454,-0.399,0.768,-0.14,-3.5,1.96
27095,0.457,-0.403,0.76,-4.2,-4.06,3.29
