Time,aX,aY,aZ,gX,gY,gZ
2120172,0.312,-1.01,0.023,41.09,-15.4,52.43
2120181,0.345,-1.011,-0.006,41.3,-18.69,51.45
2120191,0.393,-1.022,-0.053,42.28,-20.16,52.99
2120200,0.39,-0.979,-0.052,45.64,-18.97,58.66
2120210,0.464,-1.0,-0.062,55.44,-18.62,70.35
2120219,0.439,-0.99,-0.055,64.54,-17.5,78.47
2120229,0.438,-0.947,-0.086,67.41,-17.01,80.78
2120238,0.462,-0.925,-0.12,67.13,-14.91,78.54
2120248,0.476,-0.917,-0.126,66.85,-12.95,77.7
2120257,0.47,-0.897,-0.148,63.98,-12.6,72.8
2120267,0.426,-0.885,-0.147,56.98,-9.45,61.95
2120276,0.358,-0.879,-0.082,48.79,-4.2,46.55
2120286,0.316,-0.868,-0.101,38.36,-1.89,28.35
2120295,0.282,-0.87,-0.097,21.7,-1.33,12.88
2120305,0.295,-0.892,-0.076,9.17,-0.84,0.84
2120314,0.278,-0.875,-0.067,1.47,2.31,-10.85
2120324,0.311,-0.953,-0.033,-5.32,4.69,-17.43
2120333,0.291,-0.911,-0.024,-11.41,6.37,-20.93
2120343,0.28,-0.857,-0.028,-20.93,11.55,-32.62
2120352,0.259,-0.798,-0.035,-32.27,17.99,-53.83
2120362,0.244,-0.808,-0.041,-58.45,21.98,-81.83
2120371,0.258,-0.798,-0.043,-87.22,20.65,-112.98
2120381,0.33,-0.88,-0.038,-108.29,17.64,-137.76
2120390,0.475,-0.871,-0.003,-109.27,10.15,-135.87
2120400,0.542,-0.79,0.0,-89.6,1.75,-108.78
2120409,0.471,-0.923,0.007,-57.12,-9.38,-66.92
2120419,0.433,-0.967,-0.022,-34.37,-11.76,-32.27
2120428,0.416,-0.96,-0.017,-21.56,-5.39,-15.26
2120438,0.402,-0.951,-0.053,-13.37,0.91,-10.71
2120447,0.428,-0.933,-0.056,-11.48,1.89,-13.65
2120457,0.442,-0.904,-0.076,-17.15,2.73,-19.46
2120466,0.434,-0.864,-0.055,-22.4,5.81,-25.76
2120476,0.397,-0.847,-0.04,-28.28,4.97,-31.22
2120485,0.393,-0.844,-0.062,-39.62,-0.49,-39.2
2120495,0.417,-0.865,-0.097,-51.66,-6.72,-47.46
2120504,0.458,-0.865,-0.114,-57.33,-10.22,-48.44
2120514,0.477,-0.882,-0.103,-52.15,-10.08,-37.17
2120523,0.481,-0.944,-0.105,-41.51,-8.33,-19.81
2120533,0.476,-0.998,-0.1,-32.55,-5.6,-6.65
2120542,0.46,-1.038,-0.094,-23.31,-2.94,1.05
2120552,0.464,-1.045,-0.087,-11.83,-1.26,6.23
2120561,0.467,-1.043,-0.089,2.52,-2.8,12.32
2120571,0.475,-1.021,-0.119,13.23,-5.04,17.5
2120580,0.46,-0.966,-0.121,18.34,-6.16,20.51
2120590,0.428,-0.932,-0.113,20.72,-8.61,21.77
2120599,0.441,-0.907,-0.122,19.6,-11.69,20.37
2120609,0.473,-0.895,-0.142,17.43,-12.95,19.53
2120618,0.467,-0.924,-0.127,15.4,-10.92,18.48
2120628,0.499,-0.913,-0.181,11.62,-6.09,19.81
2120637,0.459,-0.848,-0.145,18.34,-0.14,26.18
2120647,0.402,-0.836,-0.125,24.57,-0.7,34.09
2120656,0.336,-0.834,-0.139,33.46,-11.41,44.8
2120666,0.28,-0.868,-0.14,37.03,-25.76,53.55
2120675,0.287,-0.882,-0.139,36.96,-38.5,55.72
2120685,0.293,-0.926,-0.159,30.66,-45.99,48.37
2120694,0.382,-0.931,-0.193,21.0,-45.29,36.33
2120704,0.456,-0.941,-0.189,21.42,-37.45,26.46
2120713,0.484,-0.942,-0.198,25.06,-29.19,20.58
2120723,0.494,-0.928,-0.228,27.93,-20.16,20.02
2120732,0.43,-0.92,-0.193,33.39,-11.62,19.53
2120742,0.338,-0.88,-0.182,32.48,-5.88,14.91
2120751,0.271,-0.841,-0.17,24.43,-3.01,4.97
2120761,0.263,-0.808,-0.159,14.42,-4.13,-5.04
2120770,0.284,-0.793,-0.149,7.63,-8.33,-9.31
2120780,0.309,-0.805,-0.142,5.32,-14.63,-7.63
2120789,0.349,-0.854,-0.141,3.99,-19.67,-3.15
2120799,0.415,-0.895,-0.138,3.43,-21.07,0.63
2120808,0.42,-0.927,-0.095,6.3,-18.76,4.76
2120818,0.434,-0.969,-0.072,9.8,-12.81,5.11
2120827,0.437,-0.999,-0.052,12.6,-6.37,2.38
2120837,0.43,-0.993,-0.022,16.73,-2.66,1.68
