Time,aX,aY,aZ,gX,gY,gZ
2135324,0.054,-0.342,0.959,26.25,9.17,-17.64
2135334,0.067,-0.36,0.938,45.5,24.36,-22.4
2135343,0.047,-0.344,0.929,57.33,37.73,-24.57
2135353,0.01,-0.319,0.899,56.98,39.9,-23.03
2135362,-0.017,-0.312,0.891,50.68,34.16,-19.81
2135372,-0.039,-0.299,0.884,45.5,26.39,-18.48
2135381,-0.029,-0.283,0.884,49.21,21.7,-23.03
2135391,-0.008,-0.292,0.896,59.99,22.26,-30.24
2135400,0.001,-0.298,0.915,67.48,22.75,-35.35
2135410,0.006,-0.29,0.932,66.71,17.85,-37.45
2135419,0.008,-0.285,0.946,60.97,9.73,-37.03
2135429,0.014,-0.3,0.954,54.95,1.75,-36.68
2135438,0.019,-0.311,0.976,48.44,-3.43,-36.05
2135448,0.042,-0.285,0.983,37.94,-6.16,-31.5
2135457,0.051,-0.271,0.969,23.66,-7.07,-23.87
2135467,0.046,-0.265,0.949,11.55,-6.37,-17.15
2135476,0.046,-0.258,0.945,5.53,-4.62,-12.53
2135486,0.051,-0.276,0.972,2.31,-3.64,-7.21
2135495,0.064,-0.295,0.985,-1.61,-4.27,-3.22
2135505,0.087,-0.289,0.978,-5.67,-4.9,-0.98
2135514,0.082,-0.292,0.976,-10.85,-5.46,0.77
2135524,0.06,-0.291,0.968,-15.33,-6.3,2.38
2135533,0.02,-0.32,0.967,-16.1,-7.0,1.68
2135543,0.026,-0.327,0.973,-13.65,-8.05,-0.14
2135552,0.073,-0.317,0.998,-15.12,-10.43,0.49
2135562,0.091,-0.325,1.004,-23.66,-13.93,4.69
2135571,0.087,-0.333,0.996,-33.88,-14.42,9.52
2135581,0.073,-0.343,0.99,-41.23,-11.27,14.14
2135590,0.076,-0.338,0.978,-47.11,-7.98,20.65
2135600,0.091,-0.344,0.969,-52.01,-5.74,27.02
2135609,0.076,-0.35,0.968,-54.32,-2.66,30.17
2135619,0.066,-0.358,0.973,-51.24,1.12,30.03
2135628,0.04,-0.357,0.969,-40.6,5.81,25.97
2135638,0.005,-0.362,0.956,-23.03,12.39,19.6
2135647,-0.035,-0.382,0.948,-3.92,17.01,11.06
2135657,-0.046,-0.359,0.937,15.12,17.15,-0.63
2135666,-0.021,-0.346,0.935,31.57,16.94,-11.34
2135676,-0.015,-0.325,0.945,43.33,17.29,-20.37
2135685,-0.012,-0.343,0.959,53.34,18.62,-26.67
2135695,-0.013,-0.335,0.956,60.41,19.6,-30.59
2135704,-0.016,-0.31,0.939,60.83,18.27,-32.55
2135714,-0.01,-0.282,0.948,54.74,13.3,-31.08
2135723,-0.004,-0.266,0.951,42.98,5.46,-25.69
2135733,0.009,-0.247,0.956,28.77,-1.75,-17.99
2135742,0.014,-0.244,0.945,14.7,-4.69,-9.52
2135752,0.021,-0.241,0.947,4.41,-3.43,-2.52
2135761,0.02,-0.243,0.955,-1.54,-0.21,3.29
2135771,0.012,-0.263,0.962,-3.01,2.59,6.65
2135780,0.013,-0.255,0.959,-0.84,4.76,6.37
2135790,0.017,-0.252,0.947,0.49,5.32,5.32
2135799,0.01,-0.246,0.945,-1.61,3.78,3.92
2135809,0.021,-0.235,0.944,-6.16,2.45,4.48
2135818,0.017,-0.233,0.945,-11.76,1.75,8.68
2135828,0.014,-0.243,0.938,-16.38,0.7,12.74
2135837,0.025,-0.247,0.945,-20.58,1.26,15.19
2135847,0.026,-0.248,0.941,-28.21,1.33,18.9
2135856,0.012,-0.262,0.944,-37.52,0.21,24.15
2135866,-0.012,-0.289,0.932,-44.8,-1.61,28.42
2135875,-0.034,-0.3,0.936,-46.97,-4.13,28.14
2135885,-0.039,-0.319,0.943,-38.57,-4.62,22.05
2135894,0.014,-0.337,0.968,-23.87,-2.1,14.07
2135904,0.058,-0.323,0.986,-19.39,-1.05,10.99
2135913,0.06,-0.32,0.967,-24.43,-3.01,12.6
2135923,0.013,-0.341,0.95,-28.14,-3.99,13.86
2135932,-0.001,-0.36,0.937,-27.86,-5.04,13.16
2135942,0.008,-0.366,0.946,-24.78,-7.21,10.99
2135951,0.042,-0.361,0.939,-19.74,-9.17,8.75
2135961,0.07,-0.351,0.934,-10.64,-8.4,4.97
2135970,0.051,-0.377,0.941,-0.21,-3.64,-2.03
2135980,0.028,-0.398,0.95,6.93,-0.35,-8.33
2135989,0.004,-0.408,0.955,10.57,-1.82,-12.11
2135999,0.004,-0.415,0.954,13.37,-4.9,-14.77
2136008,0.005,-0.408,0.948,16.17,-7.7,-19.11
2136018,0.005,-0.404,0.952,21.21,-9.03,-23.94
2136027,0.014,-0.397,0.968,25.83,-8.82,-26.18
2136037,0.046,-0.359,0.962,27.58,-6.65,-24.01
2136046,0.037,-0.346,0.954,26.81,-1.4,-20.23
2136056,0.003,-0.347,0.939,26.32,4.34,-17.15
2136065,-0.014,-0.337,0.936,29.89,6.79,-17.01
2136075,-0.006,-0.334,0.945,33.81,5.81,-18.62
