Time,aX,aY,aZ,gX,gY,gZ
56826,0.894,0.176,-0.353,2.38,0.84,1.26
56835,0.899,0.176,-0.355,-0.56,0.7,0.21
56843,0.908,0.176,-0.357,-1.47,0.35,-0.14
56852,0.909,0.181,-0.365,-0.56,-0.42,0.7
56860,0.908,0.177,-0.372,0.7,-1.05,1.61
56868,0.903,0.178,-0.37,1.89,-0.63,1.54
56877,0.9,0.181,-0.379,0.35,0.63,-0.07
56885,0.901,0.179,-0.374,-0.63,2.45,-1.89
56894,0.899,0.181,-0.377,0.21,3.92,-2.59
56902,0.907,0.178,-0.373,-0.07,4.55,-2.38
56911,0.915,0.173,-0.371,-0.63,5.18,-2.24
56920,0.917,0.171,-0.359,0.91,4.2,-0.98
56927,0.907,0.172,-0.352,2.66,1.68,1.19
56935,0.897,0.17,-0.355,2.66,-1.05,2.94
56944,0.892,0.166,-0.366,2.17,-3.08,3.15
56952,0.894,0.17,-0.374,0.42,-2.45,0.91
56961,0.896,0.169,-0.367,-0.14,-0.28,-1.54
56969,0.903,0.177,-0.363,1.75,0.84,-1.75
56977,0.909,0.177,-0.368,2.66,0.0,-1.05
56986,0.917,0.175,-0.369,3.36,-0.77,-0.77
56994,0.918,0.18,-0.365,4.27,-0.63,-0.56
57003,0.918,0.179,-0.357,5.04,-0.84,0.7
57011,0.907,0.18,-0.356,6.02,-1.33,2.1
57019,0.901,0.176,-0.358,5.25,-1.47,2.66
57028,0.899,0.173,-0.354,4.2,-1.26,2.87
57036,0.898,0.173,-0.368,3.15,-1.75,3.08
57045,0.902,0.171,-0.369,2.66,-2.03,3.29
57054,0.909,0.172,-0.365,2.38,-1.75,3.99
57061,0.916,0.167,-0.366,1.12,-1.33,4.97
57070,0.907,0.157,-0.365,0.42,-1.19,5.53
57078,0.899,0.157,-0.363,1.75,-0.42,4.41
57086,0.884,0.164,-0.354,3.01,1.47,1.68
57095,0.878,0.167,-0.352,3.36,2.31,-0.56
57103,0.884,0.167,-0.362,4.27,0.84,-1.47
57111,0.9,0.166,-0.367,4.83,-0.63,-1.75
57120,0.913,0.161,-0.374,4.48,-0.84,-1.89
57128,0.923,0.157,-0.377,4.83,-0.42,-1.54
57137,0.924,0.166,-0.37,4.2,-0.42,-0.56
57145,0.918,0.166,-0.369,0.7,-0.84,0.63
57153,0.909,0.162,-0.378,-1.05,-0.7,1.26
57162,0.908,0.171,-0.361,-0.21,0.35,1.47
57170,0.906,0.175,-0.359,-1.12,1.26,1.61
57179,0.903,0.167,-0.365,-1.47,1.19,1.61
57188,0.903,0.167,-0.364,-0.35,1.19,1.05
57195,0.899,0.17,-0.357,1.12,1.33,0.07
57204,0.903,0.168,-0.355,2.31,0.28,-0.07
57212,0.91,0.161,-0.364,3.15,-1.47,0.42
57220,0.912,0.158,-0.361,4.62,-1.68,0.42
57229,0.905,0.167,-0.358,4.76,-0.49,-0.21
57237,0.905,0.164,-0.355,2.8,0.49,-0.49
