Time,aX,aY,aZ,gX,gY,gZ
93723,0.768,-0.536,-0.368,-1.61,0.07,0.56
93732,0.771,-0.532,-0.364,-1.82,0.56,0.35
93741,0.774,-0.53,-0.358,-1.82,0.91,0.07
93748,0.778,-0.527,-0.356,-1.82,1.19,-0.14
93757,0.781,-0.527,-0.353,-1.68,1.05,-0.35
93765,0.782,-0.523,-0.349,-1.47,0.98,-0.63
93773,0.781,-0.516,-0.348,-1.33,0.98,-0.84
93782,0.781,-0.511,-0.345,-1.05,0.84,-0.98
93790,0.781,-0.507,-0.344,-0.84,0.56,-0.91
93798,0.776,-0.506,-0.346,-0.63,-0.07,-0.77
93807,0.776,-0.508,-0.344,-0.07,-0.91,-0.28
93815,0.776,-0.51,-0.349,-0.07,-1.26,0.28
93824,0.775,-0.513,-0.353,-0.07,-1.19,0.56
93832,0.774,-0.515,-0.355,0.07,-1.12,0.56
93840,0.773,-0.516,-0.355,0.49,-0.98,0.21
93849,0.773,-0.52,-0.358,0.77,-0.91,0.0
93857,0.772,-0.525,-0.359,0.91,-0.91,0.0
93866,0.77,-0.529,-0.363,0.7,-0.98,0.28
93875,0.769,-0.53,-0.365,0.42,-0.84,0.42
93882,0.768,-0.531,-0.366,0.28,-0.7,0.35
93891,0.77,-0.535,-0.367,0.28,-0.7,0.21
93899,0.77,-0.533,-0.367,0.28,-0.63,0.0
93907,0.77,-0.529,-0.368,0.28,-0.28,-0.28
93916,0.771,-0.53,-0.366,0.21,0.14,-0.49
93924,0.77,-0.528,-0.369,0.07,0.21,-0.63
93933,0.769,-0.525,-0.369,0.14,-0.07,-0.63
93941,0.77,-0.522,-0.368,-0.14,-0.35,-0.28
93949,0.768,-0.518,-0.367,-0.35,-0.14,-0.07
93958,0.773,-0.518,-0.358,-0.14,0.35,-0.21
93966,0.777,-0.516,-0.353,-0.07,0.84,-0.21
93974,0.777,-0.518,-0.354,0.0,0.63,-0.14
93983,0.771,-0.518,-0.356,0.49,0.14,-0.21
93991,0.768,-0.516,-0.356,1.12,0.07,-0.56
94000,0.768,-0.516,-0.356,1.12,0.63,-0.77
94009,0.767,-0.516,-0.352,0.84,1.05,-0.56
94016,0.766,-0.518,-0.351,0.42,0.91,0.14
94025,0.77,-0.524,-0.349,0.21,0.42,0.98
94033,0.775,-0.53,-0.35,0.21,-0.14,1.61
94042,0.779,-0.533,-0.359,0.28,-0.56,1.75
94050,0.78,-0.536,-0.363,0.56,-0.98,1.4
94058,0.78,-0.532,-0.367,0.63,-0.84,0.84
94067,0.778,-0.535,-0.368,0.56,-0.49,0.42
94075,0.782,-0.542,-0.366,0.42,-0.7,0.42
94083,0.78,-0.545,-0.371,0.14,-1.12,0.56
94092,0.777,-0.544,-0.367,0.14,-1.19,0.21
94100,0.779,-0.544,-0.362,-0.07,-0.56,-0.49
94109,0.776,-0.542,-0.363,-0.35,0.0,-1.05
94117,0.771,-0.54,-0.362,-0.21,-0.07,-1.54
94125,0.77,-0.535,-0.362,-0.07,-0.21,-1.82
94134,0.77,-0.533,-0.363,-0.42,0.14,-1.89
94143,0.768,-0.529,-0.363,-0.91,0.35,-1.61
94150,0.77,-0.523,-0.36,-1.4,0.21,-1.19
94159,0.775,-0.519,-0.355,-1.75,-0.07,-0.63
94167,0.775,-0.516,-0.355,-1.96,-0.42,-0.14
94176,0.772,-0.512,-0.356,-1.68,-0.63,-0.07
94184,0.77,-0.51,-0.355,-0.77,-0.77,-0.56
94192,0.77,-0.511,-0.354,-0.21,-0.56,-0.91
94201,0.766,-0.512,-0.356,-0.21,-0.21,-0.91
94209,0.766,-0.512,-0.356,-0.14,-0.14,-0.7
94218,0.765,-0.513,-0.358,-0.14,-0.21,-0.35
94226,0.763,-0.515,-0.359,-0.28,-0.35,0.21
94234,0.764,-0.516,-0.36,-0.42,-0.42,0.7
94243,0.764,-0.521,-0.36,-0.42,-0.49,1.05
94251,0.767,-0.525,-0.361,-0.35,-0.49,1.19
94259,0.767,-0.528,-0.365,-0.35,-0.42,1.26
94268,0.768,-0.527,-0.369,-0.21,0.0,0.91
94277,0.771,-0.525,-0.367,-0.28,0.77,0.42
94286,0.776,-0.523,-0.363,-0.42,1.33,0.35
94293,0.778,-0.525,-0.36,-0.77,1.26,0.63
94301,0.778,-0.526,-0.362,-0.98,0.42,1.12
94310,0.777,-0.528,-0.361,-0.77,-0.35,1.19
94318,0.775,-0.525,-0.36,-0.56,-0.35,0.84
94327,0.774,-0.528,-0.356,-0.42,0.21,0.21
94335,0.775,-0.533,-0.355,-0.35,0.49,0.07
94343,0.775,-0.535,-0.356,-0.42,0.35,0.14
94352,0.772,-0.535,-0.36,-0.56,0.28,0.14
94360,0.772,-0.531,-0.361,-0.42,0.49,-0.14
94368,0.778,-0.529,-0.356,-0.42,1.05,-0.49
94377,0.783,-0.527,-0.351,-0.7,1.33,-0.7
94385,0.785,-0.522,-0.345,-0.77,1.05,-0.63
94394,0.785,-0.522,-0.345,-0.7,0.28,-0.21
94402,0.787,-0.525,-0.348,-0.56,-0.42,0.14
94411,0.781,-0.525,-0.355,-0.42,-0.7,-0.07
94420,0.778,-0.526,-0.356,-0.07,-0.56,-0.63
94427,0.777,-0.528,-0.355,0.0,-0.28,-1.05
94435,0.775,-0.533,-0.357,-0.21,-0.28,-0.91
94444,0.777,-0.535,-0.358,-0.42,-0.63,-0.42
94452,0.776,-0.534,-0.36,-0.91,-0.7,-0.14
94461,0.776,-0.531,-0.36,-1.05,-0.77,-0.28
94469,0.777,-0.527,-0.357,-0.91,-0.7,-0.56
94477,0.775,-0.522,-0.358,-0.7,-0.56,-0.98
94486,0.772,-0.523,-0.358,-0.28,-0.49,-1.4
94494,0.772,-0.522,-0.359,0.0,-0.42,-1.68
94503,0.768,-0.523,-0.363,0.0,-0.42,-1.61
94511,0.767,-0.521,-0.363,-0.14,-0.21,-1.47
94519,0.767,-0.519,-0.361,-0.49,0.28,-1.4
94528,0.769,-0.514,-0.356,-0.91,0.77,-1.19
94536,0.771,-0.513,-0.355,-1.12,0.63,-0.7
94545,0.772,-0.512,-0.354,-0.77,-0.28,-0.28
94554,0.777,-0.508,-0.351,-0.28,-0.91,0.0
94561,0.774,-0.509,-0.354,-0.28,-0.91,0.07
94570,0.772,-0.509,-0.355,0.21,-0.98,0.07
94578,0.774,-0.517,-0.357,0.42,-1.05,0.21
94586,0.774,-0.52,-0.362,0.42,-1.19,0.35
94595,0.771,-0.521,-0.363,0.42,-1.05,0.14
94603,0.769,-0.524,-0.362,0.28,-0.63,0.07
94612,0.767,-0.526,-0.363,0.07,-0.56,0.35
94620,0.768,-0.53,-0.366,-0.07,-0.63,0.77
94628,0.771,-0.538,-0.37,-0.28,-0.49,0.77
94637,0.773,-0.536,-0.369,-0.42,-0.14,0.35
94645,0.774,-0.533,-0.368,-0.7,0.14,0.0
94653,0.772,-0.529,-0.366,-0.98,0.0,0.0
94662,0.773,-0.523,-0.363,-1.26,-0.14,0.07
94670,0.772,-0.517,-0.36,-1.4,-0.07,0.07
94679,0.772,-0.512,-0.358,-1.26,0.0,0.14
94688,0.771,-0.512,-0.356,-1.12,0.14,0.28
94695,0.772,-0.517,-0.355,-0.77,0.0,0.28
94704,0.773,-0.522,-0.354,-0.42,-0.21,0.35
94712,0.775,-0.523,-0.355,-0.35,-0.21,0.42
94721,0.777,-0.524,-0.354,-0.56,0.21,0.42
