Time,aX,aY,aZ,gX,gY,gZ
36414,0.816,0.089,0.576,-0.91,0.98,0.07
36422,0.819,0.091,0.573,-0.98,0.49,0.21
36430,0.818,0.087,0.577,-1.61,0.42,0.35
36439,0.818,0.087,0.576,-1.54,0.42,0.42
36447,0.818,0.087,0.578,-1.47,0.35,0.56
36456,0.819,0.087,0.575,-1.33,0.28,0.77
36464,0.817,0.086,0.576,-0.91,0.77,1.12
36472,0.817,0.088,0.576,-0.7,1.26,1.54
36481,0.815,0.087,0.578,-0.77,1.19,1.54
36489,0.815,0.087,0.579,-0.77,0.21,1.75
36497,0.815,0.085,0.578,-0.56,-1.26,1.75
36506,0.816,0.084,0.578,-0.07,-2.24,1.4
36515,0.816,0.086,0.576,0.42,-3.01,1.47
36524,0.82,0.089,0.573,0.49,-3.08,2.17
36531,0.82,0.089,0.572,-0.35,-2.45,2.45
36539,0.819,0.086,0.574,-0.98,-1.82,2.59
36548,0.821,0.085,0.574,-0.98,-1.47,2.8
36556,0.821,0.081,0.574,-0.77,-1.26,2.59
36565,0.819,0.082,0.574,-0.42,-0.91,2.24
36573,0.819,0.082,0.574,-0.35,-0.7,1.82
36581,0.822,0.081,0.575,-0.07,-0.42,1.61
36590,0.823,0.081,0.575,0.21,-0.21,1.33
36598,0.822,0.081,0.575,0.14,0.07,0.91
36606,0.822,0.081,0.575,-0.21,-0.07,0.56
36615,0.819,0.081,0.575,-0.28,-0.35,0.28
36623,0.819,0.082,0.574,-0.21,-0.49,-0.14
36632,0.819,0.083,0.573,-0.14,-0.42,-0.28
36640,0.819,0.084,0.574,-0.21,-0.35,-0.07
36649,0.82,0.084,0.576,-0.28,-0.35,0.0
36658,0.819,0.081,0.575,-0.14,-0.14,0.0
36665,0.821,0.083,0.573,0.14,0.28,-0.14
36674,0.821,0.083,0.574,0.07,0.84,-0.21
36682,0.821,0.084,0.575,-0.14,1.4,-0.21
36690,0.82,0.082,0.575,-0.14,1.54,-0.28
36699,0.82,0.083,0.575,0.0,1.82,-0.42
36707,0.817,0.084,0.575,-0.07,2.03,-0.42
36715,0.817,0.082,0.575,-0.14,1.96,-0.28
36724,0.818,0.083,0.576,0.07,1.96,-0.35
36732,0.817,0.084,0.577,0.07,1.61,-0.42
36741,0.818,0.085,0.577,-0.14,1.47,-0.35
36749,0.818,0.084,0.577,-0.28,1.47,-0.14
36757,0.818,0.084,0.578,-0.56,1.96,0.0
36766,0.816,0.084,0.578,-0.98,2.45,0.14
36774,0.815,0.082,0.579,-0.98,1.82,0.21
36783,0.816,0.083,0.579,-0.77,1.19,0.14
36792,0.815,0.081,0.579,-0.63,0.77,0.14
36799,0.816,0.082,0.578,-0.35,0.07,0.07
36808,0.816,0.083,0.579,-0.28,-0.07,0.07
36816,0.816,0.083,0.579,-0.35,-0.49,0.07
36824,0.817,0.082,0.578,-0.35,-0.7,0.14
36833,0.819,0.083,0.576,-0.35,-0.14,0.07
36841,0.818,0.084,0.578,-0.35,0.77,0.07
36850,0.815,0.084,0.579,-0.7,1.12,0.14
36858,0.815,0.082,0.581,-0.7,0.49,0.07
36866,0.816,0.082,0.579,-0.35,0.0,0.0
36875,0.816,0.082,0.579,-0.21,-0.35,-0.07
36883,0.815,0.082,0.58,0.0,-0.35,-0.14
36892,0.817,0.082,0.58,0.28,-0.49,-0.14
36900,0.817,0.084,0.577,0.56,-0.56,-0.21
36908,0.82,0.084,0.577,0.42,-0.07,-0.21
36917,0.817,0.084,0.578,0.14,0.77,-0.07
36926,0.818,0.084,0.579,-0.07,1.54,-0.07
36933,0.815,0.083,0.579,-0.28,1.89,-0.07
36942,0.815,0.083,0.579,-0.56,1.89,-0.07
36950,0.816,0.082,0.581,-0.56,1.68,-0.21
36959,0.816,0.084,0.581,-0.21,1.4,-0.28
36967,0.814,0.083,0.581,-0.28,1.33,-0.28
36975,0.811,0.083,0.582,-0.35,0.42,-0.28
36984,0.814,0.083,0.581,-0.42,-0.77,-0.07
36992,0.816,0.083,0.581,-0.28,-0.91,0.07
37000,0.817,0.084,0.579,-0.42,-0.7,0.21
37009,0.817,0.083,0.58,-0.56,-0.35,0.35
37017,0.815,0.084,0.58,-0.56,0.21,0.42
37026,0.815,0.084,0.583,-0.84,0.21,0.56
37034,0.817,0.082,0.579,-0.77,0.21,0.56
37042,0.819,0.082,0.58,-0.63,0.91,0.42
37051,0.816,0.081,0.581,-0.7,1.61,0.42
37060,0.813,0.083,0.582,-0.7,2.1,0.56
37069,0.813,0.082,0.583,-0.77,1.47,0.56
37076,0.813,0.081,0.583,-0.77,0.56,0.35
37084,0.814,0.082,0.582,-0.63,-0.28,0.28
37093,0.814,0.081,0.581,-0.49,-0.7,0.21
37101,0.817,0.082,0.582,-0.49,-0.49,0.28
37109,0.818,0.082,0.582,-0.42,-0.07,0.28
37118,0.818,0.081,0.58,-0.49,0.84,0.21
37126,0.817,0.083,0.581,-0.42,2.24,0.14
37135,0.813,0.082,0.583,-0.63,3.29,0.21
37143,0.81,0.081,0.585,-0.63,3.22,0.21
37151,0.81,0.081,0.586,-0.42,2.1,0.14
37160,0.809,0.082,0.584,-0.14,0.49,0.14
37168,0.811,0.082,0.584,0.0,-0.7,0.14
37177,0.814,0.082,0.583,0.07,-0.98,0.14
37185,0.812,0.082,0.584,-0.07,-0.77,0.07
37194,0.813,0.082,0.583,-0.21,-1.19,0.14
37203,0.813,0.082,0.582,-0.35,-1.4,0.0
37210,0.815,0.082,0.583,-0.56,-1.47,0.0
37218,0.815,0.08,0.582,-0.84,-1.12,0.14
37227,0.815,0.081,0.581,-0.7,-0.21,0.0
37235,0.814,0.082,0.584,-0.56,0.91,0.0
37244,0.813,0.08,0.584,-0.35,1.26,-0.14
37252,0.811,0.08,0.586,0.14,0.7,-0.42
37260,0.813,0.081,0.585,0.21,-0.56,-0.63
37269,0.814,0.081,0.583,0.14,-1.26,-0.7
37277,0.813,0.081,0.583,0.07,-1.4,-0.7
