setpoint, measured
6.00, 5.37
7.00, 6.38
8.00, 7.40
9.00, 8.42
10.00, 9.43
11.00, 10.45
12.00, 11.45
13.00, 12.46
14.00, 13.47
15.00, 14.48
16.00, 15.49
17.00, 16.50
18.00, 17.50
19.00, 18.51
20.00, 19.52
21.00, 20.53
22.00, 21.54
23.00, 22.55
24.00, 23.56
25.00, 24.57
26.00, 25.58
27.00, 26.60
28.00, 27.61
29.00, 28.61
30.00, 29.65
